Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Atkins, Simon",-,1,1,2,-,3,3,2,1,2,-,1,-,2,1,-,2,3,1,3,1,1,30.0
"Ballantyne, Jon",,,,,,,,,,,,,,,,,,,,,-,-,
"Baxter, Darren",,,,,,,,-,-,-,2,-,-,,,,,,,,,,2.0
"Cameron, Leon",,1,1,1,-,1,-,-,-,1,2,1,-,2,1,-,-,2,-,-,,-,13.0
"Campbell, Adrian",,,,,,,,,,,,,,,-,-,-,4,,-,,,4.0
"Charles, Justin",1,1,-,,1,,,,,,,,,-,2,2,,,-,-,-,,7.0
"Coleman, Glenn",-,,,1,2,1,-,1,1,-,-,-,2,1,1,-,-,2,-,1,-,-,13.0
"Corcoran, Shannon",,,,,,,,,,,,,,,,,,,,,-,1,1.0
"Cullen, Mark",1,,,,,,,-,,,,,,,,,,,1,3,1,2,8.0
"Davies, Darren",,,,-,-,-,1,,,,,,,,-,1,1,3,-,,,,6.0
"Del-Re, Danny",,,2,,,,,,-,-,-,2,-,-,1,2,-,-,1,1,2,,11.0
"Eppelstun, Greg",1,-,-,1,-,1,1,1,1,-,-,-,2,1,-,-,2,-,1,1,-,-,13.0
"Foster, Peter",-,-,1,1,3,3,-,2,2,-,-,1,1,1,-,1,-,1,-,3,2,-,22.0
"Georgiades, John",,-,,,,,,,,,,,,,,,,,,,-,1,1.0
"Grant, Chris",-,-,4,3,-,1,-,-,2,1,2,-,1,-,-,-,-,-,1,-,,,15.0
"Hannebery, Matt",,,-,1,,,,,,,,-,,,,,,,,,,,1.0
"Harrington, Tim",1,,,,,2,1,-,1,-,-,2,,,,,,,,,,,7.0
"Hawkins, Doug",-,1,1,-,1,4,-,1,3,2,-,-,-,-,,-,-,1,1,-,-,1,16.0
"Hogg, Matthew",3,1,1,1,2,1,2,,,2,2,2,-,2,2,1,,,,,,,22.0
"Hunter, Mark",,,,,,,,,,,,,,1,1,1,1,3,1,5,1,-,14.0
"Kellett, Nigel",,,,,,,,,,,,,,,,,,,,-,2,1,3.0
"Kennedy, Rick",,-,-,,,,,,,,-,-,-,-,,,,,1,,,,1.0
"Kolyniuk, Steven",-,3,,3,2,1,1,5,2,-,2,-,1,3,1,1,-,-,,1,1,2,29.0
"Liberatore, Tony",4,2,2,4,3,7,6,4,4,6,5,5,5,2,4,4,3,5,7,,,,82.0
"Macpherson, Stephen",2,,,,,,,,,,,,,,,,,,,,,,2.0
"McGuinness, Tony",1,2,-,1,2,1,2,-,-,2,-,1,-,1,3,3,3,2,1,3,1,2,31.0
"Moloney, Troy",,,,,-,-,-,1,-,-,,,,,,,,,,,,,1.0
"Reynolds, Keenan",,4,-,1,-,1,-,-,-,,,,-,1,-,2,1,-,-,-,2,-,12.0
"Royal, Brian",,,,,,,,1,1,3,-,-,1,2,1,2,2,-,3,-,1,-,17.0
"Standfield, Barry",-,-,1,1,1,,,,,,,,,,,,,,,,,,3.0
"Svilar, Michael",,,,,1,2,-,-,1,,,,,,,,,,,,,,4.0
"Tzatzaris, Zeno",-,,,,,,,,,,,,,,,,,,,,,,
"Wallace, Terry",1,1,3,-,1,1,1,-,2,2,1,-,1,-,1,-,1,1,1,-,1,1,20.0
"Wallis, Stephen",2,-,-,3,4,1,-,,,2,3,,2,4,-,1,-,-,-,1,-,1,24.0
"Wigney, Stuart",-,-,1,1,1,1,1,1,1,1,1,-,-,,,,-,-,-,-,-,-,9.0
"Williams, Mark",-,-,-,2,,,,,,,,,,-,-,,,,,,,,2.0
"Wynd, Scott",,-,1,-,,-,5,4,2,-,1,-,-,,,,1,1,,,,-,15.0
Totals,17,17,19,27,24,32,24,23,24,24,21,15,16,23,19,21,17,28,20,22,15,13,461.0
Opponent,SK,SY,WC,CW,CA,FI,NM,ES,BB,GE,RI,ME,HW,SK,SY,WC,CW,CA,FI,NM,ES,BB,
