Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Alvey, Mark",-,,,,,,1,1,2,-,-,1,,,,,,,,,,-,,5.0
"Bartlett, Trent",1,-,2,2,1,2,1,,,1,3,2,1,1,2,3,-,2,-,1,-,-,2,27.0
"Brown, Nathan",1,1,-,-,-,2,1,-,2,1,1,1,-,-,3,-,-,1,-,-,1,-,1,16.0
"Contessa, Adam",,,2,2,1,-,2,-,1,-,-,1,-,2,-,1,2,-,1,1,1,-,-,17.0
"Cox, Simon",-,-,-,1,1,2,-,1,-,,,,,,,,1,,-,-,-,-,-,6.0
"Croft, Matthew",1,3,,,,,2,2,1,1,-,1,2,2,-,1,1,-,-,-,-,2,1,20.0
"Curley, Todd",-,-,1,1,1,-,1,1,2,-,1,1,-,2,-,1,-,-,,-,-,-,1,13.0
"Darcy, Luke",3,4,2,3,2,1,4,4,4,-,1,-,1,1,-,1,,,,,,,-,31.0
"Dent, Matthew",,,,,,,1,,,,,,,-,2,2,-,2,,,,,,7.0
"Dimattina, Paul",,-,4,-,-,,,3,-,-,1,-,-,-,2,-,,,-,,,,,10.0
"Dooley, Paul",,,,,,,,-,1,,,,,,,,-,1,-,-,-,1,,3.0
"Eagleton, Nathan",3,2,3,2,3,2,-,2,-,1,-,-,-,-,1,1,2,1,1,3,-,1,1,29.0
"Ellis, Craig",,,2,-,2,-,1,-,1,1,-,-,-,,,,,,,,,,,7.0
"Garlick, Simon",-,2,3,3,1,-,1,1,-,-,-,-,-,1,,-,1,1,-,-,1,-,-,15.0
"Grant, Chris",1,1,1,1,,-,3,5,2,3,2,-,1,1,,,,,,-,-,-,3,24.0
"Hahn, Mitch",,,,,,,,,,-,1,-,-,,,,,,1,-,-,-,,2.0
"Hudson, Paul",2,1,-,-,,,1,-,1,-,2,1,2,-,1,2,1,-,1,-,-,1,1,17.0
"Hunter, Kingsley",2,1,-,1,-,1,-,-,-,-,-,-,1,-,,,-,,,,,,-,6.0
"Johnson, Brad",1,,1,-,2,2,2,-,2,-,1,2,-,-,-,1,-,2,-,3,2,,-,21.0
"Kolyniuk, Steven",-,-,,-,-,-,,,,1,,,,,-,,,-,,-,1,1,-,3.0
"Kretiuk, Steven",1,4,,-,1,-,,,,,,,,-,-,2,-,2,1,,-,-,1,12.0
"Liberatore, Tony",1,4,-,3,1,1,-,1,-,2,1,-,3,2,3,1,1,2,1,-,1,-,-,28.0
"Macri, Christin",,,,,-,,1,,,,,,,,,,,,,,,,,1.0
"Mahoney, Josh",,,-,,-,-,,,,,,,,,,,,,,,,,1,1.0
"Murphy, Robert",,,,,,,,,,,,,,,,,,,1,-,-,,,1.0
"Penny, Luke",,,,,,,,,,,,,-,-,1,-,-,2,-,-,,,,3.0
"Plunkett, Jim",-,1,-,,,,,,,,,,,,1,-,-,-,,,,1,,3.0
"Robbins, Matthew",,,,,,2,,,,,,,,,-,1,-,1,-,1,-,-,-,5.0
"Romero, Jose",-,-,,,1,-,-,1,1,2,-,1,1,-,1,-,1,1,-,1,1,1,1,14.0
"Smith, Rohan",-,-,-,-,1,1,-,-,-,1,2,1,2,-,2,-,-,-,-,-,-,2,-,12.0
"Southern, Daniel",-,1,-,-,5,1,-,,,,,,,,,,,,,,,,,7.0
"West, Scott",2,1,-,1,-,-,1,-,-,1,1,-,2,1,-,1,1,2,-,1,1,-,-,16.0
"Wiggins, Patrick",,,,,,,,,,,,,,,-,-,,,1,,,,,1.0
"Wills, Andrew",,-,-,-,,,,1,2,,1,-,-,-,,,,1,,,,,,5.0
"Wynd, Scott",2,-,-,-,-,-,,-,-,-,1,-,-,-,3,-,1,1,1,4,1,-,1,15.0
Totals,21,26,21,20,23,17,23,23,22,15,19,12,16,13,22,18,12,22,9,15,10,10,14,403.0
Opponent,AD,BL,PA,CA,CW,ES,HW,WC,SK,SY,FR,ME,GE,RI,KA,AD,BL,PA,CA,CW,ES,HW,BL,
