Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bontempelli, Marcus",-,3,1,-,3,1,-,1,2,4,-,2,1,3,-,-,-,2,1,1,-,1,-,-,2,3,31.0
"Bruce, Josh",1,3,10,1,2,2,1,5,2,3,3,1,3,-,2,1,1,2,2,3,,,,,,,48.0
"Butler, Louis",,,,,,,,,,,-,,,,,,,,,,,,,,,,
"Cavarra, Ben",,,,,-,,,,,,,,,,,,,,,,,,,,,,
"Cordy, Zaine",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Crozier, Hayden",,,,,-,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,,
"Dale, Bailey",-,-,2,-,-,2,-,-,-,2,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,9.0
"Daniel, Caleb",-,1,-,-,,-,-,-,-,-,1,-,1,-,-,1,1,1,1,-,-,-,-,-,-,-,7.0
"Dunkley, Josh",-,1,1,-,2,-,,,,,,,,,,,-,,-,-,-,1,-,-,-,-,5.0
"Duryea, Taylor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,1.0
"English, Tim",1,1,3,3,1,-,,,,,2,1,-,-,-,1,1,1,1,1,-,2,-,-,-,-,19.0
"Garcia, Riley",,,,,,,,,,,-,,,1,1,-,-,-,1,-,1,,,,,,4.0
"Gardner, Ryan",-,-,-,,,,,,,,,-,-,-,,,,,,,,,-,-,-,,
"Hannan, Mitch",,,,,,,-,-,1,1,,2,-,-,1,-,,2,-,,1,-,2,1,3,-,14.0
"Hunter, Lachie",-,-,-,1,1,1,-,2,,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,1,10.0
"Johannisen, Jason",,-,-,-,-,1,-,1,2,1,-,-,1,-,-,-,2,-,2,1,-,1,-,1,1,1,15.0
"Jong, Lin",,,,,,-,,,,,,,,,,,,,,,,,,,,,
"Keath, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,-,
"Khamis, Buku",,,,,,,,-,,,,,,,,,,,,,,,,,,,
"Liberatore, Tom",-,-,-,1,1,2,-,-,-,1,-,2,1,-,2,-,,-,1,1,-,-,-,2,-,-,14.0
"Lipinski, Patrick",-,-,1,-,-,,-,1,-,,-,,,,-,,,,-,,,,,,,,2.0
"Macrae, Jack",-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,1,-,-,6.0
"Martin, Stefan",1,-,-,-,,-,-,,,,,-,,,,,,,,,,,,,-,-,1.0
"McLean, Toby",,,,,,,,,,,,,1,1,-,,,,,,,,,,,,2.0
"McNeil, Lachlan",1,-,1,-,1,2,-,-,1,-,-,,,,,-,1,,,,,,,,,,7.0
"Naughton, Aaron",2,3,2,2,2,2,3,2,4,5,1,1,-,4,-,,1,2,1,1,1,1,3,1,2,1,47.0
"Richards, Ed",,,,,,,,,,,,,,-,,1,-,-,,-,,,,,,,1.0
"Schache, Josh",,,,,,,1,,,,,,,,,,,-,-,-,,-,2,1,1,-,5.0
"Scott, Anthony",-,-,1,-,1,-,1,2,-,-,,1,2,-,-,1,-,-,-,-,-,,,,1,,10.0
"Smith, Bailey",2,1,-,1,-,-,1,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,1,3,4,-,17.0
"Smith, Roarke",,,,,,,,,-,1,-,-,-,,,,-,-,-,-,,-,-,-,1,1,3.0
"Sweet, Jordon",,,,,-,,,1,-,-,-,,,,,,,,,,,,,,,,1.0
"Treloar, Adam",-,-,3,-,2,1,-,1,-,-,,,,,,,,,,1,-,1,-,-,1,3,13.0
"Ugle-Hagan, Jamarra",,,,,,,,,,,,,,,,-,3,1,2,1,,,,,,,7.0
"Vandermeer, Laitham",2,1,-,-,,-,,,,,,,,,,,,,,,-,1,1,-,1,-,6.0
"Wallis, Mitch",-,-,,,,,,,,,,,-,-,3,1,,,,,,,,,,,4.0
"Weightman, Cody",,,,,,,,,3,2,1,2,1,1,4,-,2,1,1,,2,1,4,1,,-,26.0
"West, Rhylee",-,,,,,,-,-,,,,-,,,,,,,,,,,,,,,
"Williams, Bailey",-,-,-,-,-,,,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Wood, Easton",,,-,-,1,-,-,-,-,,,,,,,,,,-,1,-,-,-,-,-,-,2.0
"Young, Lewis",,,,-,-,,,,,-,,,,,-,1,,,,,-,-,-,-,,,1.0
Totals,10,14,25,10,17,15,7,16,15,21,8,13,11,13,16,8,14,13,15,12,5,10,13,11,17,10,339.0
Opponent,CW,WC,NM,BL,GC,GW,RI,CA,PA,SK,ME,FR,GE,WC,NM,SY,GC,ME,AD,ES,HW,PA,ES,BL,PA,ME,
