Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Barlow, Alex",-,-,-,-,-,,,,,,,,-,,,,,
"Crisfield, Henry",2,-,1,,-,,-,,,,,,,,,,,3.0
"Dashwood, Rob",,,-,,-,,-,,,,,,,,,,,
"Dougall, Andy",,,,,,,,,,,-,,,-,,,,
"Field, Frank",-,-,-,-,-,,-,-,-,-,,,,,,,,
"Fox, Tom",,,-,,,,,1,-,1,,1,2,1,-,1,-,7.0
"Gardiner, Jack",-,,1,,,,,,,,,,,,,,,1.0
"Hainsworth, Herb",,,,,,,,,,2,,,,,,,,2.0
"Hart, Dick",-,,,,,,,,,,,,,,,,,
"Lazarus, Barney",,,,,,,,-,-,-,-,,-,-,-,,,
"Leahy, Paddy",,,-,-,-,,-,,,,,,,,,,,
"Maplestone, Charlie",,,-,-,,,,,,,,,,,,,,
"Marr, Joe",,,,,,-,,,-,,,,,,,,,
"Martin, Jim",,,,,,,,1,-,1,-,,,-,-,,,2.0
"McFarlane, Jim",,-,,,,,,,,,,,,,,,,
"McKenzie, Wal",,,,,,,,,,,,,,,-,,,
"McNamara, Bill",-,-,-,-,-,1,,,,2,-,-,-,-,-,-,-,3.0
"McNulty, Pat",,,,,,,,,,,,,,,,-,,
"McShane, Henry",-,-,-,2,1,-,-,1,,,1,-,1,1,-,-,-,7.0
"McShane, Joe",-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,4.0
"Morrison, Len",-,-,,,,,,,,,,,,,,,,
"Noonan, Paddy",-,-,,-,,1,-,,,,,,,,,,,1.0
"OConnor, Charlie",,,,,,,,,,,,-,-,,-,-,-,
"Opie, Jim",,,,,,,-,-,-,1,1,-,-,-,,-,-,2.0
"Powell, Harry",-,-,,,,,,,,,,,,,,,,
"Powell, Wally",,,,-,-,-,,-,-,-,-,-,-,-,-,,-,
"Pye, Harry",-,-,,,,,,,,,,,,,,,,
"Rigby, Harry",,,-,-,-,-,,,,,,,,,,,,
"Roland, Charlie",-,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Ross, Charlie",,,,,-,-,1,-,-,-,-,-,,-,-,-,,1.0
"Ross, Gordon",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Ryan, Chris",,,,1,,,,,,,,,,,,,,1.0
"Scott, Fred",,,,1,2,-,1,-,2,,1,-,,,,1,1,9.0
"Snell, Archie",,-,1,1,1,-,-,1,-,1,1,1,-,-,1,-,-,8.0
"Stivey, Sam",,,,,,,,,,,,,,,,,-,
"Sullivan, Joe",1,-,,,,1,1,,,,,,,,,-,1,4.0
"Todd, Jack",-,-,-,,,,,,,,,,,,,,,
"Topping, George",,,,,,,,,,-,-,2,-,-,-,-,-,2.0
"Tough, Charlie",,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Walsh, Bobby",2,,-,-,-,-,-,1,-,,-,-,-,-,-,-,-,3.0
"Walton, Ernie",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2.0
"Watson, Tom",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,
"Webber, Fred",,,,,,,,1,-,1,,-,2,,,4,3,11.0
"Wickens, George",,-,,,1,1,,,,,,,,,,,,2.0
Totals,6,0,4,6,5,4,3,7,4,10,4,4,6,2,1,6,5,77.0
Opponent,GE,SM,SK,ME,ES,FI,CW,GE,SM,SK,ME,ES,FI,CW,ME,SK,ES,
