Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,SF,Tot
"Beasy, Maurie",-,,,,,,,,,,,,,-,-,-,-,
"Bell, Harry",-,1,-,-,-,,,,,,,,,,,,,1.0
"Bickford, Edric",,,-,,,,,,,,,,,,,,,
"Blackman, Billy",-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3.0
"Bolt, George",-,1,-,-,,-,,,,,-,-,-,-,-,-,-,1.0
"Boromeo, Bert",-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2.0
"Chandler, Newton",-,1,-,-,-,1,-,-,-,-,,-,-,,-,,,2.0
"Clover, Horrie",2,4,2,5,,3,4,7,3,5,3,2,4,-,4,6,2,56.0
"Credlin, Leo",,,,,,,,,,,,,5,1,5,1,-,12.0
"Davies, Johnny",,,,,,,,-,-,-,-,-,-,-,-,,,
"Dingwall, Ernie",,-,-,1,-,-,-,-,,-,,,,,,,,1.0
"Duncan, Alex",-,2,4,4,,3,-,1,4,2,3,,,,-,1,-,24.0
"Farrow, Alec",,,,,,2,1,-,1,-,2,1,-,1,1,3,-,12.0
"Fraser, Jim",1,1,2,-,1,1,-,2,,-,,,,,,,,8.0
"Goonan, Jimmy",,,,,,,-,-,-,,-,-,,-,-,-,-,
"Greenhill, Charlie",,,,-,,-,-,,,,,,,,,,,
"Hiskins, Rupe",1,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,4.0
"Humphrey, Eric",,,,,-,,,,-,,-,1,,,,,,1.0
"Jamieson, Ernie",-,-,-,,-,,,,,,,,,,,,,
"Johnson, Fred",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kemp, Graham",,,,,,,,,,,-,,,,,,,
"Martin, Frank",-,-,1,-,-,-,-,-,-,-,,-,1,1,1,-,-,4.0
"McKenzie, Croft",,-,-,-,-,,,,-,-,-,-,,,,,,
"McLatchie, Stewart",3,,,3,1,2,1,-,2,2,2,3,1,1,4,3,1,29.0
"Morrissey, Jack",,,,,-,-,-,-,-,-,-,-,-,-,,-,-,
"OBrien, Paddy",-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Pritchard, Frank",,,,,-,-,-,1,-,-,1,-,1,1,1,-,1,6.0
"Russell, Joe",,,,,,,,,1,-,-,1,-,-,,-,-,2.0
"Stephenson, Jack",1,-,,,,,,,,,,,,,,,,1.0
"Toole, Harry",-,-,-,-,2,-,1,-,-,-,,,-,-,-,-,-,3.0
"Whannell, Dan",1,,,-,-,,,,,,,,-,,,,,1.0
"Wright, Vern",,-,-,,,,,,,,,,,,,,,
Totals,9,10,10,14,4,13,8,12,11,9,12,8,14,5,16,14,4,173.0
Opponent,ES,FI,CW,ME,SM,SK,GE,RI,ES,FI,CW,ME,SM,SK,GE,RI,ES,
