Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Armstrong, Barry",,,,-,-,,,,,-,3,3,1,6,2,4,6,16,4,12,5,1,-,5,68.0
"Ashman, Rodney",-,,,3,-,1,-,,,5,1,,3,2,6,4,4,1,4,4,-,3,4,2,47.0
"Austin, Rod",2,1,1,2,2,-,-,3,2,-,-,3,1,,1,3,2,-,1,-,,,1,1,26.0
"Brown, Peter",,,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Buckley, Jim",,,,,,,,,,,2,-,,,,,,,,,,,,,2.0
"Byrne, Ray",8,5,5,6,3,,,,4,4,2,6,5,6,10,3,1,5,4,14,10,11,3,5,120.0
"Catoggio, Vin",,,,-,,,,2,,,2,,,,,,,,,,,,,,4.0
"Crane, Gary",-,,,,,,,,,,,,,,,,,,,,,,,,
"Dickson, David",,,,,,,,,,,3,,,,,,,,,,,-,,,3.0
"Doull, Bruce",2,2,8,,5,4,3,5,1,2,6,5,3,2,4,5,6,6,5,4,5,4,2,8,97.0
"Fitzpatrick, Mike",,,,,,,,,,,,,1,3,5,-,1,2,1,5,4,2,-,-,24.0
"Fletcher, Trevor",,,,,,,,,,,,,,,,,-,,-,,,-,,,
"Galt, Rod",-,1,3,1,-,,,,,3,,2,,,,,,,,,,,,,10.0
"Halloran, Danny",3,3,4,2,,6,2,2,,-,1,6,,,,,,,,,,,,,29.0
"Heath, Kevin",1,2,1,-,3,3,-,1,2,1,-,2,1,7,3,4,6,5,5,4,4,5,-,-,60.0
"Higgins, Garry",,-,1,,,,-,,-,-,3,,,,,,,,,,,,,,4.0
"Jackson, Syd",-,-,,,,5,2,-,2,1,-,-,-,,,,,,,,-,,,1,11.0
"Jesaulenko, Alex",6,2,5,,3,3,,,2,,,,-,6,1,4,2,2,4,4,4,1,1,3,53.0
"Jones, Peter",-,5,4,6,6,1,6,7,4,9,11,3,5,8,4,6,8,8,5,11,7,7,5,6,142.0
"Keogh, Trevor",-,3,3,4,2,1,3,3,1,1,2,2,-,3,2,4,2,3,3,2,1,1,2,2,50.0
"Maclure, Mark",5,2,5,4,5,5,2,1,1,3,2,1,-,2,6,,4,3,5,12,4,2,6,3,83.0
"Mangels, Alan",,2,1,,,,2,1,3,,,,,1,,,1,2,1,5,3,6,5,-,33.0
"McConnon, Leigh",,,-,1,1,4,1,4,1,6,,1,,,,2,,3,,,2,,,1,27.0
"McKay, David",-,1,-,1,4,2,3,2,-,7,5,1,6,5,3,-,2,4,1,5,6,2,1,-,61.0
"OConnell, John",3,2,7,2,1,4,3,4,4,2,7,4,1,2,2,4,2,7,2,7,4,5,2,-,81.0
"Ohlsen, Russell",2,3,7,6,-,7,4,2,2,,,1,,,1,3,,,2,4,3,4,-,,51.0
"Pascoe, Eric",1,-,,,,,,,,,4,2,,-,,,,,,,,,,,7.0
"Pickett, Tony",1,3,7,4,2,1,1,1,1,-,2,1,5,2,4,11,15,3,2,7,3,2,1,4,83.0
"Pinnell, Phillip",,,-,4,1,1,1,1,2,7,1,,1,3,3,6,1,7,3,7,5,3,2,1,60.0
"Southby, Geoff",2,3,2,3,1,4,2,-,2,1,,,5,5,4,8,2,1,2,3,2,3,-,4,59.0
"Towns, Greg",1,-,2,-,,-,,-,-,,,4,4,5,-,9,,2,,-,,,-,,27.0
"Walls, Robert",,,,,3,4,-,4,2,3,,,4,6,1,3,1,2,2,2,4,1,2,1,45.0
"Whitnall, Graeme",,,,4,2,2,4,-,,,,,4,6,1,2,-,,,,,,,,25.0
Totals,37,40,66,53,44,58,39,43,36,55,57,48,50,80,63,85,66,82,56,112,76,63,37,47,1393.0
Opponent,CW,ES,FI,ME,SM,HW,RI,SK,GE,NM,FO,CW,ES,ME,FI,SM,HW,RI,SK,GE,NM,FO,HW,NM,
