Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ackland, Cain",-,-,-,-,-,1,-,-,1,-,-,-,-,,,-,-,-,-,-,-,-,2.0
"Anderson, Joe",,,,-,-,-,,,-,-,,,,,,,,,,,,,
"Austin, Mark",,,,,,,,,,,,,,,,,,,,,,-,
"Bannister, Jordan",,,,,,,,,,1,1,-,-,,1,-,1,1,3,-,2,1,11.0
"Bentick, Adam",-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,,-,,-,-,-,3.0
"Betts, Eddie",-,-,-,-,-,-,-,-,,,,,-,-,-,,-,-,4,1,-,1,6.0
"Blackwell, Luke",,,,,,1,,1,-,-,-,-,,,,-,2,-,-,2,,,6.0
"Bower, Paul",,,,,,,-,,,,,,,2,-,3,1,1,-,2,1,-,10.0
"Carrazzo, Andrew",2,-,1,-,-,2,-,1,-,1,-,-,1,-,-,-,2,-,-,-,1,-,11.0
"Cloke, Cameron",2,1,-,-,-,1,,,,,,,,,,,,,,,,,4.0
"Fevola, Brendan",-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,,,1.0
"Fisher, Brad",-,-,-,-,,,-,-,-,-,-,-,-,-,1,1,-,2,1,-,-,,5.0
"Gibbs, Bryce",-,2,-,5,1,-,-,-,1,-,-,-,-,-,-,2,-,-,-,1,-,-,12.0
"Grigg, Shaun",,,,,,,,,,,,,,-,,,,-,1,,-,1,2.0
"Hampson, Shaun",,,,,,,,,,,,,,,,,,,,,-,-,
"Hartlett, Adam",,,,,,,,,-,,,,-,1,-,,,,,,,,1.0
"Houlihan, Ryan",7,1,1,2,6,1,4,1,1,1,-,-,3,4,2,-,1,4,2,2,,1,44.0
"Jackson, Ryan",,,,,-,,,,,,,,,,,,-,-,-,1,-,-,1.0
"Jamison, Michael",,,,,,,,,,,,,,,,,,-,-,-,-,3,3.0
"Kennedy, Josh",-,-,-,-,-,-,-,,-,,,,,-,-,-,,,,,-,1,1.0
"Koutoufides, Anthony",,,,,,,-,-,-,1,-,-,-,3,-,-,-,,,,,,4.0
"Lappin, Matthew",-,1,2,1,4,1,1,-,1,-,-,-,-,-,-,-,-,,,1,,,12.0
"Murphy, Marc",1,2,-,-,1,-,-,-,-,-,1,1,3,3,1,1,-,-,-,3,1,1,19.0
"OhAilpin, Setanta",-,-,1,1,-,1,1,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,7.0
"Russell, Jordan",-,-,-,-,1,-,-,-,,,1,-,-,-,,-,-,-,-,,-,-,2.0
"Saddington, Jason",,,,,,,-,-,-,-,-,-,-,,,,6,2,1,-,2,,11.0
"Scotland, Heath",-,-,6,-,2,3,4,-,1,-,-,2,6,1,9,2,5,2,1,3,2,4,53.0
"Simpson, Kade",5,3,-,4,4,5,2,2,4,6,2,-,10,5,3,3,3,3,9,6,1,4,84.0
"Stevens, Nick",-,-,-,,,,,,,,,,,,,,,,,,,,
"Thornton, Bret",2,-,-,-,1,3,,-,-,2,1,1,1,5,2,2,5,5,8,,,,38.0
"Waite, Jarrad",-,3,1,-,2,2,-,-,1,6,1,-,-,3,3,2,2,-,2,4,2,3,37.0
"Walker, Andrew",-,6,-,1,2,3,2,-,1,-,5,-,,1,-,2,,,1,5,1,3,33.0
"Whitnall, Lance",-,1,1,-,-,4,-,-,-,-,-,-,,,,,,,,-,-,-,6.0
"Wiggins, Simon",-,-,-,-,-,,,,,4,-,-,-,-,-,1,-,,,,,,5.0
"Young, Ross",,,,,,-,-,-,,,,,-,-,-,,,,,,,,
Totals,19,20,14,14,24,28,14,5,11,24,12,4,24,30,22,20,28,20,33,32,13,23,434.0
Opponent,RI,GE,ES,WC,BL,SK,CW,KA,AD,WB,PA,HW,FR,ME,SY,BL,SK,CW,PA,ES,KA,ME,
