Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ackland, Cain",-,1,2,1,-,3,1,2,3,2,1,1,-,,,3,3,-,2,-,1,2,28.0
"Anderson, Joe",,,,1,2,1,,,1,-,,,,,,,,,,,,,5.0
"Austin, Mark",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Bannister, Jordan",,,,,,,,,,1,5,-,-,,4,1,4,-,-,2,1,2,20.0
"Bentick, Adam",7,-,3,4,5,-,5,2,3,5,2,1,5,3,2,4,,2,,4,5,4,66.0
"Betts, Eddie",2,2,-,2,1,3,-,1,,,,,2,2,-,,3,1,4,3,1,2,29.0
"Blackwell, Luke",,,,,,2,,7,5,-,2,-,,,,6,-,2,2,1,,,27.0
"Bower, Paul",,,,,,,-,,,,,,,-,1,1,2,3,-,3,-,1,11.0
"Carrazzo, Andrew",6,2,7,-,2,5,7,5,-,8,3,4,6,7,1,2,9,2,2,4,4,4,90.0
"Cloke, Cameron",2,2,-,2,2,2,,,,,,,,,,,,,,,,,10.0
"Fevola, Brendan",3,2,2,-,-,4,4,1,-,3,1,-,2,,3,1,4,3,2,2,,,37.0
"Fisher, Brad",4,2,4,2,,,4,1,3,3,1,1,1,2,3,3,2,1,3,2,1,,43.0
"Gibbs, Bryce",2,1,2,-,-,1,1,1,-,1,-,1,-,2,1,2,-,4,1,1,-,8,29.0
"Grigg, Shaun",,,,,,,,,,,,,,1,,,,1,2,,2,2,8.0
"Hampson, Shaun",,,,,,,,,,,,,,,,,,,,,-,1,1.0
"Hartlett, Adam",,,,,,,,,-,,,,4,2,1,,,,,,,,7.0
"Houlihan, Ryan",1,3,4,5,9,1,2,-,2,2,2,4,3,1,3,4,1,2,1,-,,7,57.0
"Jackson, Ryan",,,,,-,,,,,,,,,,,,6,2,3,2,1,-,14.0
"Jamison, Michael",,,,,,,,,,,,,,,,,,1,-,-,-,-,1.0
"Kennedy, Josh",1,-,1,1,1,-,1,,1,,,,,3,1,3,,,,,1,2,16.0
"Koutoufides, Anthony",,,,,,,1,3,3,3,-,-,4,4,2,1,2,,,,,,23.0
"Lappin, Matthew",-,3,1,6,4,4,4,6,2,-,4,2,-,2,2,-,2,,,2,,,44.0
"Murphy, Marc",5,6,7,2,5,1,2,1,5,2,2,4,7,4,5,2,3,3,5,5,4,2,82.0
"OhAilpin, Setanta",-,-,-,1,1,-,-,3,1,1,3,1,5,3,3,-,2,1,1,-,1,3,30.0
"Russell, Jordan",1,1,2,-,2,3,2,-,,,6,2,1,-,,-,2,4,-,,3,3,32.0
"Saddington, Jason",,,,,,,1,1,1,1,1,-,-,,,,-,1,3,-,3,,12.0
"Scotland, Heath",4,4,2,3,4,6,3,2,5,5,3,2,3,4,5,4,5,9,4,7,2,4,90.0
"Simpson, Kade",5,7,1,7,7,1,7,5,7,6,4,3,6,9,2,1,4,4,7,4,2,4,103.0
"Stevens, Nick",7,2,6,,,,,,,,,,,,,,,,,,,,15.0
"Thornton, Bret",-,-,-,1,2,3,,-,1,-,-,-,1,-,1,-,-,-,-,,,,9.0
"Waite, Jarrad",-,2,4,1,-,1,2,2,4,5,4,1,5,1,2,1,1,1,1,1,2,1,42.0
"Walker, Andrew",5,5,3,1,4,6,4,5,4,4,6,4,,5,6,5,,,2,10,6,6,91.0
"Whitnall, Lance",2,-,4,-,4,2,1,4,3,5,-,2,,,,,,,,3,6,1,37.0
"Wiggins, Simon",3,3,2,1,-,,,,,4,3,2,1,-,2,1,-,,,,,,22.0
"Young, Ross",,,,,,-,-,3,,,,,1,4,1,,,,,,,,9.0
Totals,60,48,57,41,55,49,52,55,54,61,53,35,57,59,51,45,55,47,45,56,46,60,1141.0
Opponent,RI,GE,ES,WC,BL,SK,CW,KA,AD,WB,PA,HW,FR,ME,SY,BL,SK,CW,PA,ES,KA,ME,
