Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ackland, Cain",,,,,,,,6,,,,,,,,,,,,,,,6.0
"Anderson, Joe",,,,,,,,,,,,,,4,5,,,,,,8,7,24.0
"Armfield, Dennis",,,,,,,,,,16,5,5,1,,,,,5,8,5,4,13,62.0
"Austin, Mark",,,,,,,,,,,,,,,,4,5,5,,,,5,19.0
"Bannister, Jordan",4,2,5,-,2,,,,,,,,,,,,,,,,,,13.0
"Bentick, Adam",,,,,7,10,15,14,21,13,16,10,5,16,5,7,,,,,5,11,155.0
"Betts, Eddie",2,6,12,6,6,6,3,3,5,6,4,7,4,5,3,5,6,1,,,,,90.0
"Bower, Paul",6,4,12,9,7,11,8,7,5,8,,,,,,,,,,,4,8,89.0
"Browne, Steven",,,,,,4,8,5,6,14,4,,7,3,6,,4,7,6,2,,,76.0
"Carrazzo, Andrew",10,5,9,12,6,8,24,10,6,18,11,15,9,13,10,14,12,19,23,7,14,,255.0
"Cloke, Cameron",4,9,5,5,9,4,5,,,6,9,9,4,1,6,8,9,5,3,6,5,5,117.0
"Edwards, Jake",4,-,,,,,,,1,,,,,5,3,,,,,,,,13.0
"Ellard, David",,,,,,,-,,,,,,,,,,,,,,,,
"Fevola, Brendan",3,4,4,1,2,-,3,-,3,-,1,3,2,3,-,1,2,5,2,3,2,-,44.0
"Fisher, Brad",,2,3,2,1,4,6,5,2,3,5,6,5,3,5,4,5,3,4,5,4,4,81.0
"Gibbs, Bryce",7,9,8,7,,8,10,13,10,12,1,4,7,3,9,11,12,9,15,7,14,17,193.0
"Grigg, Shaun",5,,,3,9,9,8,11,11,5,7,3,6,8,5,1,12,5,13,5,14,10,150.0
"Hadley, Richard",7,4,10,12,6,,,10,,,,,,,,,,,,,,,49.0
"Hampson, Shaun",,2,2,,,,,,3,4,3,3,,,,,,,6,2,2,7,34.0
"Hartlett, Adam",2,,,,,1,,,,,,,,,,3,1,,,,,,7.0
"Houlihan, Ryan",6,6,11,,,,,,,,,,,,,,,,,,9,6,38.0
"Jackson, Ryan",3,,,,,,,,,,,,,,,,,,,,,,3.0
"Jamison, Michael",2,,2,4,2,1,2,3,,,,6,1,3,1,3,5,1,3,5,,,44.0
"Judd, Chris",9,11,16,9,14,6,13,13,7,15,17,13,7,,17,12,16,9,12,8,18,16,258.0
"Kreuzer, Matthew",,,9,1,8,9,2,6,2,4,1,4,7,3,3,4,8,4,4,8,6,6,99.0
"Murphy, Marc",6,6,5,4,5,5,5,10,4,13,10,10,10,8,7,10,12,11,15,13,16,22,207.0
"OhAilpin, Setanta",5,2,,-,1,,7,7,9,8,6,6,3,4,,,,,,,,,58.0
"Pfeiffer, Darren",,7,7,6,2,6,,,3,,,,,,,,,,,,,5,36.0
"Russell, Jordan",,4,4,7,5,5,8,7,6,10,13,9,2,3,1,4,6,7,9,8,7,7,132.0
"Saddington, Jason",,,,,,,,,,,,,,,,,,,6,9,,,15.0
"Scotland, Heath",4,4,6,8,6,14,16,22,8,12,18,9,3,8,9,10,11,13,9,10,7,,207.0
"Simpson, Kade",12,4,7,5,7,10,7,7,9,9,11,5,5,4,9,5,4,6,14,11,10,9,170.0
"Stevens, Nick",5,5,9,9,5,11,9,11,7,13,11,7,13,12,11,8,17,14,8,8,12,8,213.0
"Thornton, Bret",4,3,6,11,8,1,,,,9,5,3,5,5,5,1,8,3,1,8,4,5,95.0
"Waite, Jarrad",4,5,3,8,5,4,6,10,10,,6,5,9,6,5,11,7,5,8,6,4,4,131.0
"Walker, Andrew",,,,,,,,,,,,,,,,7,2,10,7,6,7,12,51.0
"Wiggins, Simon",,,,,,,5,7,6,13,11,6,11,6,5,9,7,5,9,7,,,107.0
Totals,114,104,155,129,123,137,170,187,144,211,175,148,126,126,130,142,171,152,185,149,176,187,3341.0
Opponent,RI,SK,ES,CW,ME,AD,WC,BL,FR,GE,PA,CW,ES,RI,SK,SY,WB,AD,PA,NM,BL,HW,
