Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Anderson, Joe",,,,,,,,,,,,,,,5,3,,,,,1,,,9.0
"Armfield, Dennis",,,,1,4,5,-,1,2,2,5,3,5,1,1,,,-,6,2,,4,7,49.0
"Austin, Mark",,,,,,,3,4,3,6,,4,3,4,,,7,5,,,,,,39.0
"Bannister, Jordan",,,,,,,,,,,,-,6,,,,,,,,,,,6.0
"Bentley, Greg",,,,,,1,,,,,,,,1,-,1,1,,,,,,,4.0
"Betts, Eddie",-,1,-,-,-,1,-,1,2,-,2,3,1,-,1,1,1,2,-,1,1,,-,18.0
"Bower, Paul",2,1,2,10,9,11,7,7,6,11,2,13,8,,,4,8,5,7,8,5,5,11,142.0
"Browne, Steven",,,,,,,,-,1,2,1,2,3,,,,,,,,,2,,11.0
"Carrazzo, Andrew",,,,,-,-,,,,,-,2,3,2,1,2,2,-,1,3,-,1,3,20.0
"Cloke, Cameron",2,1,2,-,4,3,2,,,,,,,,,,,,,-,-,,2,16.0
"Fevola, Brendan",2,-,-,-,-,1,1,-,-,-,-,3,-,1,-,1,1,-,1,2,-,2,-,15.0
"Fisher, Brad",,,,,,,,,,-,1,,2,2,-,1,2,,,,,,,8.0
"Garlett, Jeff",2,3,-,,,,,,,1,-,-,,-,-,,,,,,3,,2,11.0
"Gibbs, Bryce",1,-,1,3,2,5,1,1,2,-,1,-,3,1,-,2,1,1,1,2,2,-,1,31.0
"Grigg, Shaun",,,2,1,,,,,,,1,-,1,1,-,3,2,,,,,,2,13.0
"Hadley, Richard",1,-,-,-,,,1,-,-,,,,,,,,,2,-,3,-,,,7.0
"Hampson, Shaun",,,,,,,-,2,1,3,-,1,4,-,1,2,-,1,1,,,1,3,20.0
"Hartlett, Adam",,,,,,,,,,,,,,,6,7,1,,,,,,,14.0
"Houlihan, Ryan",2,2,2,1,2,3,,,,-,1,2,-,2,2,3,1,2,3,-,1,2,3,34.0
"Jacobs, Sam",3,1,1,-,,,,,,,,,,,,,,,,,,,,5.0
"Jamison, Michael",2,1,,,-,1,3,5,3,3,4,6,3,6,4,,,,,,,,,41.0
"Johnson, Chris",4,2,2,2,2,,,,,,,,,2,3,4,1,,,,,2,,24.0
"Joseph, Aaron",3,1,2,2,5,1,1,-,4,1,6,2,1,2,1,3,4,1,3,3,5,2,5,58.0
"Judd, Chris",1,1,-,1,1,1,1,2,1,-,-,1,2,1,-,4,4,1,1,-,-,2,1,26.0
"Kreuzer, Matthew",3,3,2,5,1,7,7,1,3,2,6,5,2,2,6,-,1,2,6,3,-,2,4,73.0
"Murphy, Marc",3,-,3,-,-,-,2,1,-,1,4,1,3,3,1,1,1,-,3,-,2,-,-,29.0
"OhAilpin, Setanta",,,,,4,1,,,,4,2,-,-,2,,,,6,3,2,1,2,,27.0
"Robinson, Mitch",3,1,-,2,,,,1,1,2,,,,,,,,1,-,2,,,,13.0
"Russell, Jordan",1,3,-,1,-,1,3,2,1,2,,,,2,1,3,3,1,9,4,2,2,3,44.0
"Scotland, Heath",2,2,,,-,-,1,2,,,1,1,1,,,-,1,1,1,1,3,3,1,21.0
"Simpson, Kade",2,2,2,-,2,-,2,1,1,2,-,3,1,3,2,1,2,2,3,2,2,1,3,39.0
"Stevens, Nick",,,2,-,-,1,3,-,1,3,2,1,1,,,,,1,-,1,1,1,1,19.0
"Thornton, Bret",3,3,5,4,1,2,5,3,4,7,8,,,2,8,3,6,4,8,7,1,4,5,93.0
"Waite, Jarrad",4,3,5,4,4,4,5,2,-,,,,,,,,,,,,,,,31.0
"Walker, Andrew",,,,,,,,,,,,,,,,,,-,1,2,1,1,4,9.0
"Wiggins, Simon",-,-,2,-,1,-,3,,-,,,,,,,,,,1,4,1,9,2,23.0
"Yarran, Chris",,,,,,,1,-,1,,,,,,,1,-,,,,,-,,3.0
Totals,46,31,35,37,42,49,52,36,37,52,47,53,53,40,43,50,50,38,59,52,32,48,63,1045.0
Opponent,RI,BL,ES,SY,WB,HW,FR,CW,AD,WC,BL,SK,ES,FR,RI,SY,CW,NM,GE,PA,ME,AD,BL,
