Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Carmody, Tom",-,,2,,1,,,,,,,,,,,,,3.0
"Catlin, Alf",,-,2,-,,,1,-,-,,,1,-,,,-,,4.0
"Condon, Dick",2,-,1,-,1,-,-,1,-,-,-,1,-,1,-,1,-,8.0
"Denning, Jack",,,,,,,,,,-,1,,,,,,,1.0
"Dow, Charlie",-,-,-,-,,,,,,,-,-,-,-,-,,-,
"Dowdall, Harry",,,2,-,,,,,1,3,1,-,,,,-,,7.0
"Fell, Matthew",-,-,-,-,-,-,1,-,1,,,,-,-,-,-,-,2.0
"Fell, Wilfred",,,,-,-,-,-,-,,-,,-,,,,,,
"Fitzgerald, Pat",-,,,,,,,,,,,,,,,,,
"Geddes, Jack",-,-,,,,,,,,,,,,,,,,
"Gillard, Wal",1,-,-,-,,-,,,-,2,-,,,,,,,3.0
"Gregory, Jim",,,,,,,,-,,,,,,,,,1,1.0
"Hailwood, Frank",-,1,1,-,-,1,-,1,-,3,-,1,-,-,-,-,-,8.0
"Hellwig, Herman",-,-,,,,-,,,,,,,,,,,,
"Kennedy, Bill",-,,,,,,,,,,,,,,,,,
"Leach, Arthur",-,-,-,1,2,-,-,-,-,1,1,-,-,-,-,2,1,8.0
"Leach, Fred",,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Lyons, Johnny",,,,,,,3,-,1,1,1,,-,1,1,-,-,8.0
"Monohan, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"OBrien, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pannam, Charlie",-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,1,-,5.0
"Proudfoot, Bill",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rush, Bob",,-,-,-,-,-,-,-,-,-,,-,,1,-,-,,1.0
"Ryan, Jimmy",,,-,,-,,,,,,,,,,,,,
"Sime, Charlie",-,-,,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Smith, Archie",,,5,-,1,-,1,-,-,,1,1,2,2,1,1,2,17.0
"Tame, Alby",,-,-,,-,-,-,,-,-,,,1,-,-,-,-,1.0
"Tulloch, Lardie",-,3,,1,2,-,-,-,-,1,-,1,1,2,1,,-,12.0
"Walsh, Albert",,,-,,,,,,,,,,,,,,,
"Watsford, Doug",,,,,,,,,,2,-,-,-,-,2,-,-,4.0
"Williams, George",-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,3,4,13,3,7,1,6,2,3,13,5,5,5,8,6,5,4,93.0
Opponent,GE,ME,SK,SM,CA,FI,ES,GE,ME,SK,SM,CA,FI,ES,ME,CA,FI,
