Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Bone, Michael",,,,,,16,18,24,14,11,22,24,27,15,24,11,16,14,14,18,268.0
"Boyne, Peter",,,8,10,,11,8,7,6,8,2,7,9,9,14,14,3,8,3,9,136.0
"Chapman, Bert",12,13,10,16,9,13,-,4,,,,,,-,,,,,2,4,83.0
"Clark, Len",,,,,,,,,,,,,,,1,-,,7,,,8.0
"Dalton, Denis",7,,,,,,,,,,2,,,,,,,,,,9.0
"Ellis, Vaughan",2,,,,,,,,,,,,,-,,,-,,,3,5.0
"Erwin, Mick",,-,,2,5,,,,,,,,,,,,,,,,7.0
"Farmer, Bob",,,,,,12,15,11,13,9,13,6,12,13,-,,12,11,,,127.0
"Gabelich, Ray",,,6,6,,,,,,,8,11,6,10,7,10,15,10,11,,100.0
"Graham, Ian",6,12,,,,,,,,,,,9,12,8,11,9,10,12,7,96.0
"Gray, Brian",,-,-,,,,,,,,,3,22,23,,9,14,23,15,17,126.0
"Henderson, John",7,12,12,,,,9,12,12,13,15,13,12,14,23,11,19,14,18,11,227.0
"Hill, Laurie",13,14,11,11,10,9,13,6,17,15,,17,14,9,13,17,22,12,21,17,261.0
"Hug, Ernie",7,9,13,6,-,13,15,8,9,8,,,,,10,14,9,7,5,,133.0
"Huppatz, Kevin",,,,,,-,,,,,,,,,,,,,,,
"Hutchesson, Errol",14,16,14,15,8,,,,6,5,,,,,,,,,,,78.0
"Mahon, John",11,11,,13,14,,,,11,,15,,2,,,,,,,15,92.0
"Marshall, Peter",20,12,10,13,15,14,9,5,12,7,,1,,,,,,,,,118.0
"McKenna, Peter",10,15,23,5,12,,,,9,7,7,9,1,,,,,,3,9,110.0
"McLean, Kevin",,,-,,,-,1,13,,,21,14,,,10,10,15,8,11,,103.0
"Montgomery, Ian",,,,,,8,14,11,15,9,15,9,9,7,13,15,8,5,7,4,149.0
"Norman, David",18,22,20,20,19,,19,16,20,24,21,19,27,20,24,21,30,11,14,17,382.0
"Patterson, Peter",,,,1,15,9,13,12,1,10,15,15,,,6,,,,,,97.0
"Potter, Ted",,11,11,12,18,7,2,,,5,,8,10,10,4,8,10,9,18,10,153.0
"Reeves, Ron",11,10,19,8,12,,,,,,,,,,,,,,,,60.0
"Roper, Warren",,,,,8,6,8,8,14,8,,,,,,,,,,,52.0
"Rose, Kevin",8,14,17,13,17,18,14,11,17,14,15,16,14,13,9,8,8,18,16,13,273.0
"Steer, Trevor",8,10,16,8,14,9,15,13,,2,18,10,3,8,,10,5,8,3,,160.0
"Thompson, Len",,,,,,,,,,,,,,,,,,,,11,11.0
"Tuddenham, Des",19,27,20,16,10,10,19,16,10,16,,18,17,13,20,15,21,27,12,11,317.0
"Tully, Colin",,,,,5,7,16,13,5,7,14,14,14,19,14,11,16,10,8,3,176.0
"Turner, Ken",13,13,17,15,17,17,17,9,13,26,13,18,23,20,13,20,21,22,13,15,335.0
"Urquhart, Max",9,14,17,16,12,7,,,,,-,,12,15,10,1,1,,,,114.0
"Wadham, Paul",,,,,,,,-,-,,8,,,,,,,1,,7,16.0
"Waters, Terry",16,17,21,16,21,8,8,8,12,5,13,8,13,18,8,9,,,17,,218.0
"Wright, Duncan",2,,,,,,,,,,9,,,,,,,,,8,19.0
Totals,213,252,265,222,241,194,233,207,216,209,246,240,256,248,231,225,254,235,223,209,4619.0
Opponent,SK,RI,HW,GE,CA,ME,SM,FO,ES,NM,FI,SK,RI,HW,GE,CA,ME,SM,SK,ES,
