Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,Tot
"Brown, Gavin",1,,,,2,1,-,1,4,2,2,-,1,1,1,,,,3,3,3,,-,25.0
"Christian, Michael",1,-,2,-,1,2,1,,,,,,,,,,,,-,1,,,-,8.0
"Croall, Jason",,,,,,,,,,,,,,,,,,,,3,,,,3.0
"Crosisca, Gavin",2,3,4,3,3,3,3,,,,3,3,3,4,4,5,4,-,,,,1,2,50.0
"Daicos, Peter",-,1,4,1,2,2,-,1,2,,,,,-,-,-,1,1,1,1,1,2,-,20.0
"Francis, Tony",3,,5,3,1,8,3,5,6,3,5,-,2,5,5,4,2,5,6,,2,1,1,75.0
"Fraser, Mark",,,,,,,,1,,5,,2,1,1,2,4,1,3,-,3,2,3,2,30.0
"Gayfer, Michael",-,1,-,3,1,-,-,1,1,3,1,2,3,2,1,1,3,-,2,1,4,1,3,34.0
"Hardie, Brad",,,,,,,,,,,,,,,,,,,2,1,,,,3.0
"Hecker, Terry",-,-,,3,1,,,,,,,,,,,,,,,,,,,4.0
"Kelly, Craig",1,-,,,,,,3,4,2,3,-,,,,,,,,,,,,13.0
"Kerrison, Shane",,,1,,,4,,,,,,3,5,6,1,2,,,1,,,,,23.0
"Lehmann, Troy",-,1,1,1,-,1,,1,1,1,1,2,,,,-,,,,3,,,1,14.0
"Manson, James",,-,-,1,-,-,-,-,-,-,1,-,,,,,,1,,,,,,3.0
"McCartney, Jason",,,,,,,,,-,,,,,,1,2,1,-,3,4,-,-,-,11.0
"McGuane, Mick",3,2,1,4,3,-,1,-,-,-,2,1,-,2,4,1,-,-,,1,2,2,3,32.0
"McKeown, Ron",,,1,-,2,1,-,-,-,1,-,,,,,,-,,,,-,2,-,7.0
"McMullin, Ian",,,,,,,,,,,,,,,,,1,,,,1,-,,2.0
"Monkhorst, Damian",1,,,2,,-,2,-,1,-,1,1,1,-,-,2,1,-,-,1,3,-,1,17.0
"Morwood, Shane",4,2,1,,,2,2,-,2,1,-,,-,1,1,3,2,4,1,,,,,26.0
"Pert, Gary",1,5,-,3,-,-,-,1,4,-,1,-,3,5,1,2,-,4,1,3,2,-,-,36.0
"Richardson, Alan",2,1,-,2,2,,2,2,5,-,-,1,8,1,1,3,-,1,3,1,5,-,1,41.0
"Richardson, Mark",,,,,,,,,,,,,-,-,,,,,,,,,,
"Rocca, Saverio",,,,,,,,,,,,,1,1,1,2,-,3,-,-,-,1,,9.0
"Rowe, Brad",,,3,1,,,3,,,,,1,2,2,1,-,1,3,2,4,2,3,1,29.0
"Russell, Scott",2,3,1,2,3,2,3,2,7,1,3,-,1,3,-,-,-,3,2,2,2,2,1,45.0
"Saunders, Darren",,,,,,,,1,2,-,3,2,1,,1,1,2,2,3,3,,,,21.0
"Shaw, Tony",,3,,,2,1,-,,,,5,2,1,3,2,-,-,3,1,3,1,3,-,30.0
"Starcevich, Craig",-,2,1,-,-,4,1,-,1,1,1,-,-,1,1,1,1,,,1,2,1,1,20.0
"Tranter, Brendan",,,,2,1,,,,,,,,,,,,,,,,,,,3.0
"Turner, Jamie",2,1,,,,,2,-,-,2,,,,,,,,1,4,3,1,3,,19.0
"Watson, Shane",2,1,1,-,-,3,2,-,,4,1,,,,,,,-,,,,,,14.0
"Williams, Paul",,3,2,2,-,1,,,,,1,1,3,3,,,2,1,1,,2,,,22.0
"Woods, Tony",3,-,-,,,,,,1,-,,,,,,,,,,,,-,1,5.0
"Wright, Graham",-,4,1,2,2,3,1,2,2,3,2,3,3,2,7,1,,,,,3,1,-,42.0
Totals,28,33,29,35,26,38,26,21,43,29,36,24,39,43,35,34,22,35,36,42,38,26,18,736.0
Opponent,BB,SY,ES,ME,HW,NM,CA,AD,GE,FI,SK,WC,FO,RI,BB,SY,ES,ME,HW,NM,CA,AD,SK,
