Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Buckley, Nathan",3,,,,,,,,,,,,2,1,3,2,1,5,1,4,1,1,24.0
"Burns, Scott",6,1,1,1,1,1,1,2,1,2,2,4,-,1,1,2,-,-,-,4,-,-,31.0
"Caracella, Blake",3,3,2,2,2,6,2,3,6,1,1,1,2,2,5,2,1,1,1,,2,2,50.0
"Clement, James",3,1,3,2,1,1,2,3,3,2,1,2,2,-,3,2,-,3,3,-,5,7,49.0
"Cloke, Cameron",,4,3,3,1,2,,-,2,,2,3,2,2,1,,,,,,,,25.0
"Cloke, Jason",,,,,,1,1,,,,,,,,,,2,7,1,1,2,2,17.0
"Cloke, Travis",,,,,3,2,1,3,1,3,3,6,5,3,1,1,,4,3,2,,,41.0
"Cole, Richard",3,2,3,1,2,3,3,,,,,,,,,3,,,,,,,20.0
"Davies, Ben",,,,,,,2,1,2,,,,,,,,,,1,3,4,1,14.0
"Davis, Leon",2,1,2,1,,,,,,,,,,,-,2,2,1,4,3,4,-,22.0
"Didak, Alan",,,,,1,2,-,4,1,1,1,3,3,4,,,3,,-,,,,23.0
"Egan, Chris",,,,,,,,6,2,1,1,,1,2,-,3,5,4,2,1,,1,29.0
"Fanning, David",3,,,,,,,-,2,2,,,3,2,1,1,6,5,-,3,2,,30.0
"Fraser, Josh",,,,,,1,2,,,1,3,2,,,,,,,,,,,9.0
"Hall, Brent",,,,,,,,,,,,,,,,1,,,,,,,1.0
"Holland, Brodie",2,-,-,-,-,5,1,2,2,3,-,3,2,2,1,5,3,1,1,1,4,4,42.0
"Iacobucci, Adam",,,,,,1,-,,,,,,,,,,3,,,,,,4.0
"Johnson, Ben",5,4,1,-,2,2,,1,3,1,,,,1,4,3,-,,,,,,27.0
"Licuria, Paul",2,5,10,2,1,2,2,5,3,2,7,1,1,2,2,5,1,6,1,2,4,3,69.0
"Lockyer, Tarkyn",2,1,3,-,5,4,2,1,1,2,3,4,1,2,-,1,3,2,5,4,-,1,47.0
"Lokan, Matthew",,,,,,,,,,,,,-,,,,,,,1,3,,4.0
"Lonie, Ryan",1,3,,,,,,,,,,2,2,-,2,-,-,1,,,,2,13.0
"Lumumba, Heritier",,,,,,,,,,,,,,,,,,-,-,4,1,,5.0
"Maxwell, Nick",,,1,-,-,1,2,2,-,-,1,2,-,5,2,-,-,-,3,1,3,3,26.0
"Morrison, Chad",1,2,3,1,-,4,6,1,2,-,1,1,,,,,,,,2,3,2,29.0
"OBree, Shane",3,1,1,1,-,1,2,4,3,2,6,1,4,4,1,1,,4,4,3,2,4,52.0
"Prestigiacomo, Simon",2,1,2,2,2,2,,4,1,4,-,-,2,1,2,5,,-,-,1,1,3,35.0
"Richards, Guy",,,,,,,,,,,,,,,,,,,,,1,1,2.0
"Rocca, Anthony",2,2,3,1,,,,,,,,,,,,,,,,,,,8.0
"Rowe, Julian",,2,2,-,-,1,2,4,-,1,3,1,3,4,-,3,,,,,,-,26.0
"Rusling, Sean",,,,,,,,,,-,-,-,,-,1,,-,,,,,,1.0
"Shaw, Heath",,,,,,,,,,,,,,,,,6,1,2,2,1,-,12.0
"Shaw, Rhyce",4,1,9,1,3,4,2,1,2,2,2,2,,,,,,,,,,,33.0
"Swan, Dane",,,,,,,,-,2,2,4,-,4,3,-,-,,3,1,1,1,3,24.0
"Tarrant, Chris",1,-,1,2,1,1,-,,3,1,4,5,1,3,3,6,1,5,,,,,38.0
"Wakelin, Shane",1,1,1,-,3,-,1,2,-,1,2,-,-,2,-,-,4,-,-,-,-,3,21.0
"Walker, Tristen",4,2,5,3,3,,2,1,,,,,,,,,2,,,,,,22.0
"Williams, Andrew",-,-,-,4,2,,,,,,,,,,,,,,,,,,6.0
"Woewodin, Shane",2,-,2,-,6,,-,,,,4,3,-,,,,3,3,-,2,-,5,30.0
Totals,55,37,58,27,39,47,36,50,42,34,51,46,40,46,33,48,46,56,33,45,44,48,961.0
Opponent,WB,AD,CA,KA,ES,SK,FR,RI,WC,HW,GE,ME,SY,PA,BL,ES,SK,FR,KA,CA,AD,WB,
