Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Buckley, Nathan",-,-,1,3,4,1,,-,-,6,-,-,-,2,2,2,2,-,-,2,,1,-,26.0
"Burns, Scott",,,,-,-,1,2,1,1,-,1,-,-,2,1,-,-,-,-,-,2,-,-,11.0
"Caracella, Blake",,-,-,,,,-,-,-,-,,,,,,,,,,,,,,
"Clement, James",-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2.0
"Cloke, Cameron",,,,,,,,-,-,,,,,,,,,,,,,,,
"Cloke, Jason",-,,,,,,-,,,,,,,,-,,-,-,-,-,,,,
"Cloke, Travis",1,1,-,1,-,-,,,,,-,-,-,,,-,2,-,-,1,-,,,6.0
"Davies, Ben",,,,,-,,,,-,,,,,-,,1,-,,,,,,,1.0
"Davis, Leon",1,2,2,-,-,2,3,4,3,2,3,1,-,,-,,-,,,,,,,23.0
"Didak, Alan",3,1,3,4,-,3,1,-,3,-,2,4,3,-,3,1,3,2,1,1,2,1,-,41.0
"Egan, Chris",1,,,,,,,,,,,1,-,,,2,-,1,2,-,3,3,1,14.0
"Fanning, David",,,,,,,,,,,,,,,-,,,,,,,,,
"Fraser, Josh",-,2,1,-,-,-,2,-,1,2,1,1,-,1,1,2,-,-,-,1,-,-,1,16.0
"Holland, Brodie",-,1,2,1,,2,-,1,-,2,,,,,,1,-,-,-,-,2,1,2,15.0
"Iacobucci, Adam",,,,,,,,,,,-,,,,,,,,,,,,,
"Iles, Sam",,,,,,,,,,,,,,,,,,-,-,-,-,,,
"Johnson, Ben",-,1,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,-,1,1,2,1,-,10.0
"Licuria, Paul",-,-,-,1,-,2,1,1,1,-,-,1,-,-,-,,,-,1,-,1,4,1,14.0
"Lockyer, Tarkyn",-,-,1,-,-,2,-,-,-,-,1,-,-,1,-,-,1,2,1,1,-,2,1,13.0
"Lonie, Ryan",1,1,1,1,2,-,-,-,-,1,-,2,-,-,-,-,-,1,-,,1,1,-,12.0
"Lumumba, Heritier",,-,-,-,-,-,-,,,,,-,-,,,,,,,-,,,,
"Maxwell, Nick",1,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,1,-,-,2.0
"Morrison, Chad",,,,,,,,,,-,-,-,,-,-,-,,,,,,,,
"OBree, Shane",1,-,-,-,2,-,-,1,-,-,-,-,-,-,-,3,1,-,-,1,-,-,-,9.0
"Pendlebury, Scott",,,,,,,,,,1,1,-,-,-,1,-,-,,1,,,,,4.0
"Prestigiacomo, Simon",-,-,,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,,-,-,-,
"Richards, Guy",-,-,-,-,-,,,,,-,,,,,,,,,,,-,-,-,
"Rocca, Anthony",1,8,3,1,5,2,3,4,5,2,1,2,3,-,2,1,4,-,-,-,6,1,1,55.0
"Rowe, Julian",,,,,,,,,,,-,,,,,,,,,,-,,,
"Rusling, Sean",,,,,,,,,,,,,,-,,,,,,3,2,-,1,6.0
"Shaw, Heath",,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,2,1,-,1,1,-,-,9.0
"Shaw, Rhyce",,,,,,,,,-,,,1,-,-,-,,,,,-,1,1,-,3.0
"Swan, Dane",-,-,2,-,1,2,3,4,3,-,,,-,-,1,1,-,-,1,-,-,1,-,19.0
"Tarrant, Chris",-,1,6,-,4,1,-,3,4,,2,-,-,-,3,4,1,-,1,,,3,3,36.0
"Thomas, Dale",2,-,-,2,-,1,-,-,-,,2,-,,1,1,1,,-,,,,,-,10.0
"Wakelin, Shane",-,,-,,,-,-,-,,-,-,,-,-,-,-,,,,-,,-,,
Totals,12,18,23,15,18,21,15,22,21,16,14,14,6,9,15,19,16,7,9,12,24,20,11,357.0
Opponent,AD,HW,KA,ES,PA,CA,WC,GE,WB,BL,ME,SY,RI,SK,FR,WC,HW,AD,ES,PA,CA,KA,WB,
