Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,QF,PF,GF,Tot
"Ball, Luke",3,8,2,2,1,3,2,2,2,1,2,3,2,5,2,8,4,6,1,7,,2,2,4,2,76.0
"Beams, Dayne",4,5,4,4,3,,,7,1,2,,,,,,,2,9,4,6,6,2,1,-,,60.0
"Blair, Jarryd",1,3,2,7,5,5,2,3,1,,6,3,2,1,3,6,4,2,1,1,2,3,3,6,-,72.0
"Brown, Leigh",2,3,2,1,3,5,1,,,2,3,-,4,1,1,4,3,4,-,1,-,-,-,2,1,43.0
"Buckley, Simon",3,-,,,,3,-,3,5,,1,,6,3,,6,5,3,,4,,,,,,42.0
"Cloke, Travis",3,3,7,3,8,4,4,1,7,6,6,4,5,8,2,10,6,5,3,5,7,4,2,8,6,127.0
"Davis, Leon",,,1,5,1,3,2,1,2,3,6,4,4,2,1,3,4,3,5,,2,,1,1,2,56.0
"Dawes, Chris",3,5,4,3,1,5,1,1,2,4,5,-,-,,,,,,,,-,2,2,-,3,41.0
"Dick, Brad",,,,,-,2,-,,,,,,,,,,,,,,,,,,,2.0
"Didak, Alan",6,1,3,7,2,5,1,3,4,5,4,3,,,,,,3,2,6,6,4,2,-,3,70.0
"Fasolo, Alex",,,,,,,,,,,4,,1,3,-,3,1,4,1,6,4,3,1,,-,31.0
"Goldsack, Tyson",,,,,,,2,2,,-,1,-,,,,-,-,2,1,1,2,-,2,,,13.0
"Johnson, Ben",8,5,1,2,2,1,,,,,,,,,4,10,4,2,2,,4,2,4,3,7,61.0
"Jolly, Darren",-,-,2,,3,,,,,,,,1,-,2,,1,1,4,2,2,1,-,3,1,23.0
"Keeffe, Lachlan",,,,,,,,,,,,,,-,1,-,3,,,1,,,,,,5.0
"Krakouer, Andrew",5,3,1,1,,8,4,3,2,4,4,3,2,3,8,1,5,3,3,,4,2,3,1,2,75.0
"Lumumba, Heritier",2,3,2,2,3,1,2,2,-,-,2,4,1,-,1,1,1,,2,3,1,1,3,1,1,39.0
"Macaffer, Brent",2,-,,,,,,,,,,,,,,3,2,,,,,,,,,7.0
"Maxwell, Nick",,,1,1,-,-,,1,2,2,-,1,2,1,2,3,1,4,1,,,,-,1,3,26.0
"McCarthy, John",,,,,,,,3,2,2,3,2,,,4,1,,,,-,,,,,,17.0
"Pendlebury, Scott",7,8,4,6,5,4,2,6,3,2,6,7,3,3,3,5,7,4,2,3,2,-,7,7,4,110.0
"Reid, Ben",-,1,-,2,1,-,-,2,4,1,3,2,1,4,-,2,2,1,2,1,2,-,,-,2,33.0
"Rounds, Luke",,,,,,,,,,,,,1,-,3,,,1,3,,,,,,,8.0
"Shaw, Heath",2,2,5,2,5,3,4,3,3,5,-,5,1,5,,,,,,,,,2,2,2,51.0
"Sidebottom, Steele",-,4,3,2,1,3,1,2,1,1,4,3,5,3,5,4,2,4,3,2,2,3,5,4,4,71.0
"Sinclair, Ben",,,,,,,,,,,,,,,,,3,,,3,1,-,,,,7.0
"Swan, Dane",9,6,2,9,2,5,5,4,5,3,,6,4,8,3,5,11,5,5,6,4,2,9,4,2,124.0
"Tarrant, Chris",2,-,-,-,1,,-,2,-,-,-,-,1,1,-,-,-,2,-,-,,-,-,-,-,9.0
"Thomas, Dale",5,4,3,2,3,6,5,8,1,7,,4,5,9,3,1,,3,2,5,1,,,2,4,83.0
"Toovey, Alan",1,4,3,-,2,-,1,,1,2,-,1,3,2,2,,,,,2,2,-,2,1,1,30.0
"Wellingham, Sharrod",2,4,3,2,6,1,2,5,3,5,12,2,5,4,8,,,,1,,,2,2,2,1,72.0
"Wood, Cameron",,,,-,,3,1,3,1,3,2,1,,,,1,,2,,,5,2,,,,24.0
"Young, Tom",,,,,,,,,,,,,,,,,,,,6,-,,,,,6.0
Totals,70,72,55,63,58,70,42,67,52,60,74,58,59,66,58,77,71,73,48,71,59,35,53,52,51,1514.0
Opponent,PA,NM,CA,RI,ES,WB,GE,AD,WC,SK,ME,SY,HW,NM,CA,GC,ES,PA,SK,BL,FR,GE,WC,HW,GE,
