Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Adams, Taylor",-,-,-,,,,-,,,1,,2,2,1,2,3,2,1,,,,,14.0
"Armstrong, Tony",,,,,,,,,,,,,,,,,,-,2,-,-,-,2.0
"Ball, Luke",3,1,1,2,-,-,1,-,1,,-,2,1,1,,1,,,,-,1,2,17.0
"Beams, Dayne",1,-,-,1,1,4,2,1,1,1,-,,-,-,1,1,1,4,2,-,,,21.0
"Blair, Jarryd",,3,-,-,-,1,2,-,-,-,-,1,2,1,1,1,3,-,-,1,2,1,19.0
"Broomhead, Tim",,,,,,,,,,,,-,-,,,,-,1,-,-,-,-,1.0
"Brown, Nathan",-,-,,,,,,,-,,,,,,,,,,,,,,
"Clarke, Martin",-,,,,,,,,,,,,,,,,,,,,,,
"Cloke, Travis",-,1,-,-,1,-,3,2,-,3,4,-,-,-,1,-,1,-,-,4,,,20.0
"Dwyer, Sam",,-,1,,,,-,-,,,-,1,-,-,-,,,1,-,,-,1,4.0
"Elliott, Jamie",1,1,1,1,-,4,-,-,1,1,1,-,1,-,,,1,-,-,,,,13.0
"Fasolo, Alex",,,1,1,-,-,,,-,2,-,,,,,,,-,-,1,-,1,6.0
"Frost, Jack",-,-,2,-,-,-,-,-,-,1,-,2,2,-,-,-,1,-,-,-,3,1,12.0
"Gault, Corey",,,,,,,,,,,,,,,,,,,,,,-,
"Goldsack, Tyson",-,1,-,-,2,1,2,-,-,-,1,,,-,1,-,-,2,2,-,1,2,15.0
"Grundy, Brodie",-,1,-,1,2,-,-,1,-,,1,-,,,1,,,,,1,2,1,11.0
"Keeffe, Lachlan",,,2,-,-,1,-,-,,1,1,-,-,-,-,,-,-,1,-,-,1,7.0
"Kennedy, Ben",-,,,,,,-,,,,,,,-,-,-,-,,-,2,,,2.0
"Langdon, Tom",2,-,-,-,-,-,1,1,-,-,-,1,-,,-,-,-,1,,,-,1,7.0
"Lumumba, Heritier",2,1,-,-,-,-,-,1,3,-,-,-,-,-,1,1,1,-,-,-,,1,11.0
"Macaffer, Brent",-,-,1,1,-,-,-,2,-,-,-,1,3,-,2,-,-,-,-,1,-,,11.0
"Martin, Kyle",,,,,,,,,,,,,,,,,2,-,,,,,2.0
"Maxwell, Nick",-,-,1,3,1,1,,1,3,-,,,,,,1,,,,,,,11.0
"Pendlebury, Scott",3,4,2,2,2,3,1,-,-,1,1,3,-,1,3,2,3,1,2,,3,1,38.0
"Ramsay, Jackson",,,,,,,,,,,,,,,,,,,,,-,-,
"Reid, Ben",,,,,,,,,,,,,,,,,-,-,1,-,,,1.0
"Seedsman, Paul",,,,,,,,,,1,-,1,-,1,-,2,2,,,,,-,7.0
"Sidebottom, Steele",1,-,1,-,-,3,1,-,1,-,,,,1,-,-,-,1,-,-,1,2,12.0
"Sinclair, Ben",-,-,,,,,,,,,,,,,,,,,,1,-,1,2.0
"Swan, Dane",-,-,1,-,1,-,-,-,1,,1,1,1,-,3,2,,,,-,-,,11.0
"Thomas, Josh",,,,-,1,2,-,,,3,-,1,-,-,-,1,,,,,-,1,9.0
"Toovey, Alan",-,-,-,1,-,1,,-,-,1,1,1,1,-,-,-,,,-,1,,,7.0
"White, Jesse",,2,-,1,-,-,-,-,-,-,,1,1,-,,1,1,1,-,,-,2,10.0
"Williams, Marley",,,,,,,-,-,1,1,2,2,-,,1,-,-,-,-,-,2,-,9.0
"Witts, Jarrod",-,,,-,-,1,1,-,1,1,-,-,1,1,1,1,-,2,-,-,1,-,11.0
"Young, Clinton",-,-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,,-,1,-,,2.0
Totals,13,15,14,14,11,22,14,9,13,18,13,20,15,7,19,17,18,15,10,13,16,19,325.0
Opponent,FR,SY,GE,RI,NM,ES,CA,AD,WC,SK,ME,WB,HW,CA,GC,ES,AD,PA,WC,BL,GW,HW,
