Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Beckton, Norm",-,1,1,1,-,-,1,-,1,-,2,-,3,1,1,-,1,1,14.0
"Campbell, Garnet",-,-,-,1,-,-,-,-,-,-,-,-,,-,-,-,-,,1.0
"Carman, Syd",-,,,,,,,,,-,1,-,-,1,-,-,,-,2.0
"Clarke, Thomas",-,,,,,,,,,,,-,-,-,-,-,1,-,1.0
"Cross, Jack",,-,,,,,,,,,,,,,,,,,
"Dolan, Jack",,,,-,-,,,,,,,,,,,,,,
"Forbes, Keith",1,-,-,1,2,4,8,3,2,,,2,3,3,5,4,2,,40.0
"Freyer, Ted",,,,,,,,,,,,,,,1,,-,1,2.0
"Gomez, Frank",,,,,,,,,,,,,,,-,1,-,-,1.0
"Gregory, Harry",,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hammond, Joe",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Hearn, Clarrie",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Hunter, Harry",-,,,,,,,,-,-,-,-,-,-,-,,,,
"Johnson, Len",3,9,1,1,-,,,,,3,5,3,-,3,4,6,2,,40.0
"Kidd, Jack",,,-,,,,,,,,,,,,,,,,
"Martin, Ernie",,,,,,-,-,-,-,,-,,,,,,-,,
"McKenzie, Jack",,,,,-,-,1,-,-,,,,,,,,,,1.0
"Milburn, Charlie",,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Nash, Frank",1,,,,,,,,,1,1,,,,,,-,1,4.0
"Okey, Howard",1,1,2,1,3,1,3,-,1,1,-,1,-,1,1,1,-,-,18.0
"Parris, Keith",-,-,-,-,-,,,,,-,-,-,,,,,,,
"Payne, Roy",,,,,2,-,2,2,3,1,1,,1,,,-,-,1,13.0
"Quinn, Jim",-,2,1,-,,,1,-,1,,,1,,,,,,1,7.0
"Rennie, Artie",-,,,,,-,,,,,,,-,-,,-,-,,
"Sarsfield, Vern",,,,,,,,,,,,,-,,,,,1,1.0
"Simpson, Norm",,1,-,3,-,2,1,2,2,-,,,2,-,-,-,,1,14.0
"Speakman, Bill",-,-,-,-,,,,,,,,,,,,,,,
"Vosti, Jack",-,-,-,-,-,-,-,-,,,,,,,,,,,
"Walsh, Paddy",-,-,,,-,-,-,1,-,,,-,,1,3,1,-,-,6.0
"Watson, Ernie",,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Watt, Rowley",,-,-,1,-,-,-,-,1,-,-,,,,-,-,1,-,3.0
"Webster, Len",2,3,3,1,3,-,1,2,-,1,1,1,1,-,,,,,19.0
"Williamson, Jack",-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2.0
Totals,8,17,9,10,10,8,18,10,11,7,11,8,10,10,15,13,7,7,189.0
Opponent,CA,FO,RI,HW,SM,GE,FI,NM,ME,SK,CW,CA,FO,RI,HW,SM,GE,FI,
