Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,GF,Tot
"Abbott, Gordon",,,,1,-,1,-,-,1,-,-,-,6,-,-,-,1,-,1,-,1,12.0
"Baker, Norm",-,-,,,,,-,,,,-,,-,,-,,,,,,,
"Begley, Les",,,,,,,,,,,,-,-,-,,-,-,,,,,
"Bell, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
"Betson, Norm",,,,,,,,,-,2,-,-,2,-,-,,,,,,,4.0
"Bryce, Ted",2,,4,2,2,-,,1,1,1,3,-,,,,,2,4,4,1,2,29.0
"Bushby, Percy",-,,1,1,-,-,-,,,,-,-,,,,,,,,-,,2.0
"Buttsworth, Wally",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Caesar, Jack",1,-,-,-,-,1,-,-,-,-,-,1,,1,-,-,-,-,-,-,-,4.0
"Cassin, Jack",-,2,4,,,,,1,5,-,,3,-,3,1,2,3,,2,6,1,33.0
"Coward, Ernie",-,-,-,,,,,-,-,1,,,1,1,-,1,-,-,-,-,-,4.0
"Evans, Joe",,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,,,1.0
"Exelby, Murray",2,3,1,2,1,1,2,,,,,,2,2,-,-,-,2,-,-,1,19.0
"Flanigan, Bob",-,-,-,,,,,,-,,-,-,,,-,,,1,-,-,-,1.0
"Forsyth, Keith",,-,,-,,,,,,,,,,,,,,,,,,
"Green, Fred",-,-,-,-,1,-,-,2,-,-,-,-,-,-,,2,-,-,-,-,-,5.0
"Griggs, Les",1,3,1,1,3,1,-,-,-,-,5,,,2,2,2,1,2,4,1,-,29.0
"Hird, Allan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Keddie, Jack",,,,,,,,,,,,,,,,,,-,,,,
"Lambert, Chris",,,,,1,-,-,,,,1,,3,1,2,-,,,,,,8.0
"Lambert, Harold",1,,,,,,,,,,-,-,-,-,-,-,-,,-,-,-,1.0
"Lane, Gordon",4,3,3,5,7,3,1,2,7,-,,,,,,5,1,-,5,3,1,50.0
"McPartland, Andy",,,,,,,,,,,,,,,,-,,,,,,
"Molloy, Dick",,,,,,,,,,-,-,,,,,,,,,,,
"Plummer, Elton",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Regan, Ted",,,,,,,,-,-,-,,-,,,,,,,,,1,1.0
"Reynolds, Dick",2,4,-,-,4,3,2,1,1,2,,3,1,1,4,2,-,2,-,2,2,36.0
"Reynolds, Tom",2,7,2,3,,,4,-,3,1,6,5,2,5,3,5,4,5,5,,3,65.0
"Ruddell, Cec",,-,-,-,-,-,-,-,,,,,-,,,,-,-,-,-,-,
"Silk, Sid",,,,,,,,,,,,,,,,,,,,-,,
"Smith, Ron",,,,,,,,,,,-,-,-,-,-,,,-,,,,
"Thomas, Richie",,,,,,,,,,,,,,,,-,-,-,-,,,
"Torney, Hugh",-,-,-,-,-,-,-,-,-,1,,,,-,-,-,-,2,-,-,1,4.0
"Watts, Ray",,,,,4,3,,,,,,,,,,,,,,,,7.0
"Wilson, Stan",,,,-,-,-,-,-,,,,,,,,,,,,,,
Totals,15,22,16,15,23,13,9,7,18,9,15,12,17,16,12,19,12,18,21,13,13,315.0
Opponent,CA,NM,SK,RI,HW,SM,FI,CW,GE,ME,FO,CA,NM,SK,RI,HW,SM,FI,RI,CA,ME,
