Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Andrews, Ron",-,-,,,,,-,1,-,-,-,-,-,-,-,1,-,1,,,,-,,3.0
"Brown, Brian",,,,,,,,,,,,,,,,,-,-,,,,,,
"Buhagiar, Tony",4,1,1,3,4,2,2,1,4,3,-,1,1,3,2,1,1,-,1,1,-,3,2,41.0
"Carey, Stephen",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,1.0
"Clarke, Neil",-,-,-,-,-,1,-,2,,-,-,-,-,-,,-,-,-,-,-,-,-,1,4.0
"Copping, Stephen",2,-,2,-,2,1,1,3,2,3,-,2,-,3,3,1,2,4,2,4,2,2,4,45.0
"Crow, Max",3,2,1,3,1,-,,,2,1,3,-,-,-,,-,,,3,-,,,-,19.0
"Daniher, Terry",-,-,-,-,6,1,-,-,2,-,-,1,1,-,1,2,1,1,1,-,2,-,4,23.0
"Davis, Michael",,,,-,,,,,,,,,,,,,,,,,,,,
"Duckworth, Bill",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,,,3,,6.0
"Dunell, Frank",,,,,,,-,,-,,,,,,,,,,,,,,,
"Eustice, Mark",-,2,-,-,1,2,1,-,,,,,,,,,,,,,-,,,6.0
"Fields, Neville",,,-,2,-,,,,,,,,,,,,,,,,,,,2.0
"Foulds, Garry",-,-,1,1,1,1,1,1,1,-,1,2,-,-,-,-,1,1,-,-,-,2,-,14.0
"Fowler, Grant",1,-,1,-,,-,,1,1,,1,1,1,-,1,-,-,,,-,-,3,-,11.0
"Grbac, Anton",,,,,,,,,,,,,,,,,,,,-,-,,,
"Hawker, Glenn",1,3,5,-,-,-,-,-,2,2,4,-,3,1,2,-,2,1,2,-,-,2,-,30.0
"Heard, Shane",,-,,,,1,-,-,1,1,-,1,-,-,1,-,-,-,,,-,1,-,6.0
"Madden, Justin",2,-,1,-,-,2,1,-,-,1,-,2,-,-,-,-,1,-,1,3,1,2,-,17.0
"Madden, Simon",2,1,-,,,3,4,1,2,6,-,1,-,3,8,3,4,2,3,2,2,1,1,49.0
"Merrett, Roger",,,,1,-,-,-,-,,,,,,,-,,-,-,-,-,2,-,1,4.0
"Neagle, Merv",-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Otway, Wayne",5,2,3,,-,3,1,3,1,2,4,4,1,3,2,2,2,1,1,1,1,3,1,46.0
"Ramsay, Roy",,,,,,,,,,-,,,,,-,,,,,,,-,,
"Reid, Alan",,,,,,,,,,,,,,,,,-,,1,-,,,,1.0
"Schultz, Graeme",,,,,,,,,,,,,,,,,,,1,-,3,1,-,5.0
"Stoneham, Alan",-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,,-,-,-,-,,-,4.0
"Thomson, Michael",5,,-,,-,,,,,,,,,,,,,,,,,,,5.0
"Vander Haar, Paul",1,1,-,-,-,-,3,3,-,-,-,3,3,-,1,-,2,1,,,1,5,-,24.0
"Walsh, Kevin",,,-,-,-,-,-,-,-,-,1,1,-,-,-,-,,-,-,-,-,-,-,2.0
"Waterson, Chris",,,,,,,,,,,,,,,-,,,,1,1,,,,2.0
"Watson, Tim",3,1,1,2,-,-,2,-,1,1,1,-,-,2,,-,1,-,3,1,-,3,2,24.0
"West, Tony",,,,-,-,,,,,,,,,,,,,,,,,,,
Totals,29,13,16,12,15,18,17,16,19,22,17,19,10,15,21,12,17,12,20,13,14,32,16,395.0
Opponent,FO,CA,RI,NM,FI,SY,CW,HW,ME,SK,GE,CA,RI,NM,FI,SY,CW,HW,ME,SK,GE,FO,NM,
