Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Baguley, Mark",1,6,,11,3,8,3,9,4,6,8,10,4,7,4,14,11,10,12,15,6,7,159.0
"Bellchambers, Tom",3,3,4,4,7,6,4,4,6,2,,,-,7,5,3,4,5,3,2,,,72.0
"Carlisle, Jake",4,7,5,5,1,,4,13,3,1,3,8,7,4,5,4,3,4,4,8,3,2,98.0
"Colyer, Travis",,,2,,2,,,,,,,,,4,11,3,8,2,,,,,32.0
"Crameri, Stewart",1,3,4,,7,5,3,7,2,4,10,11,6,,,10,,,,4,4,5,86.0
"Dalgleish, Lauchlan",,,,,,,,,,,,,,,,,,,,4,4,3,11.0
"Daniher, Joe",,,,,,,,,,,5,9,,,,,1,,,4,6,,25.0
"Davey, Alwyn",9,5,4,3,4,6,4,,,,1,3,2,,,,,,3,4,2,5,55.0
"DellOlio, Cory",,,,,,,,,,,,,,,,8,1,7,,,,,16.0
"Dempsey, Courtenay",5,6,3,4,2,10,,,8,1,,,5,6,6,8,4,1,,,,,69.0
"Fletcher, Dustin",-,5,4,,,,4,3,1,1,3,,,9,6,4,,3,4,,,,47.0
"Goddard, Brendon",1,14,10,9,9,12,10,9,12,7,14,10,6,13,16,9,8,10,9,15,15,9,227.0
"Gumbleton, Scott",,,,6,4,4,4,,,1,,,,,,,,5,5,,,,29.0
"Hams, Will",,,,,,,,,,3,3,,,,,,,,,,,,6.0
"Hardingham, Kyle",,,,,5,9,7,,,,,,,,,,,3,5,5,6,3,43.0
"Heppell, Dyson",9,17,8,13,10,,12,11,15,10,8,4,9,12,7,7,13,11,13,3,,,192.0
"Hibberd, Michael",5,8,6,4,5,11,5,9,10,12,6,10,9,6,6,14,16,13,8,11,6,6,186.0
"Hille, David",,,,7,6,7,,,,,,,,,,,,,,,,7,27.0
"Hocking, Heath",2,4,4,6,6,2,11,12,11,8,10,10,,,,,3,11,13,10,13,,136.0
"Hooker, Cale",6,9,12,8,7,8,6,13,5,6,9,13,4,19,10,9,9,16,7,9,8,5,198.0
"Howlett, Ben",9,15,4,8,7,6,8,7,6,,3,17,6,8,5,,7,,2,7,3,2,130.0
"Hurley, Michael",6,5,7,2,,,4,-,2,,9,7,4,4,8,7,2,,,,2,5,74.0
"Jetta, Leroy",,,,,,7,,,7,4,,,,,,6,2,9,,9,,3,47.0
"Kavanagh, Elliott",,,6,,,,,8,,,,,,,,,,,,,,7,21.0
"Kommer, Nick",7,6,8,,,7,8,3,6,4,1,8,7,5,4,4,6,3,4,5,7,,103.0
"Lovett-Murray, Nathan",,,,,,,3,,,,,,,,,4,,,,,,13,20.0
"Melksham, Jake",9,11,9,12,,6,9,6,3,5,6,6,11,9,5,9,15,5,13,6,2,8,165.0
"Merrett, Jackson",8,3,,3,6,3,,6,,,,3,2,2,2,9,,,,,4,6,57.0
"Myers, David",10,11,6,4,-,8,8,9,11,7,9,9,2,8,3,7,9,11,7,,8,,147.0
"OBrien, Nick",,,,,,,,,,,,,,,3,9,,,,4,,,16.0
"Pears, Tayte",,,,6,,9,,,,,,12,4,11,11,,5,,8,6,7,4,83.0
"Ryder, Paddy",2,5,5,,,,,8,7,3,5,5,1,5,9,3,4,10,7,,2,3,84.0
"Stanton, Brent",9,7,4,6,9,2,,8,11,8,4,12,9,5,7,9,7,10,13,6,6,10,162.0
"Watson, Jobe",11,19,14,22,19,14,9,14,13,10,10,18,13,2,,,,12,17,17,13,17,264.0
"Winderlich, Jason",,,,1,6,,5,8,2,7,9,9,8,7,10,,,,2,,,,74.0
"Zaharakis, David",3,12,10,14,13,10,10,9,4,11,11,17,14,8,6,,8,12,12,10,7,9,210.0
Totals,120,181,139,158,138,160,141,176,149,121,147,211,133,161,149,160,146,173,171,164,134,139,3371.0
Opponent,AD,ME,FR,SK,CW,GW,GE,BL,RI,SY,CA,GC,WC,PA,WB,GW,HW,CW,WC,NM,CA,RI,
