Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ambrose, Patrick",-,-,1,-,,,,-,1,1,-,-,-,,1,-,1,3,-,-,2,1,11.0
"Ashby, Jason",,,,,,,,,,,,,1,-,,,,,,,,,1.0
"Baguley, Mark",1,1,-,-,-,,-,2,1,-,1,,,,,,,,,,,,6.0
"Bird, Craig",-,,,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Brown, Mitch",-,1,-,1,-,2,2,1,2,-,1,4,-,2,1,3,-,,-,2,-,-,22.0
"Cooney, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,,1.0
"Crowley, Ryan",1,1,1,,,-,-,-,,1,-,,,,,,,,,,,,4.0
"Daniher, Joe",2,7,2,-,2,2,-,2,1,2,-,3,2,3,6,-,3,6,1,3,5,-,52.0
"Dea, Matt",-,1,1,-,-,-,-,2,2,-,-,4,,1,1,1,1,1,-,2,1,1,19.0
"Dempsey, Courtenay",,,,,-,2,-,,,1,-,-,-,-,-,-,1,-,-,,,1,5.0
"Edwards, Shaun",,,,,,,,,,-,-,-,,,,,,,,,,,
"Fantasia, Orazio",,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,,-,-,,4.0
"Francis, Aaron",,,,,,,,,,,,,,,,,4,-,-,,,,4.0
"Gleeson, Martin",-,-,-,-,-,-,,,-,-,-,1,1,-,2,-,-,-,-,1,-,-,5.0
"Goddard, Brendon",-,-,1,-,-,1,2,-,-,1,-,-,-,-,-,-,3,-,-,,,-,8.0
"Grima, Nathan",,,,,,,1,-,,,,,,,,,,,,,,,1.0
"Grimley, Sam",,,,,-,1,,,,,,,,,,,,,-,-,,,1.0
"Gwilt, James",-,-,-,-,-,-,-,,-,1,-,-,2,-,2,-,,,,,,,5.0
"Hams, Will",,,,,,,,,,,-,-,-,-,1,-,-,-,,,,,1.0
"Hartley, Michael",,1,-,-,3,1,-,2,-,-,,,-,-,1,-,-,-,-,2,-,-,10.0
"Jamar, Mark",,,,,,,,,,2,,2,5,1,,,,,,,1,,11.0
"Kelly, James",-,1,1,-,-,-,-,-,-,-,,-,1,-,-,-,1,,-,1,-,-,5.0
"Kommer, Nick",,-,-,,,,,,,,,,,,,,,,,,,-,
"Langford, Kyle",-,1,-,-,-,-,,-,1,-,1,-,,,-,-,2,2,,,1,2,10.0
"Laverde, Jayden",,,,-,,,,,,,,,,,-,1,2,-,1,1,-,-,5.0
"Leuenberger, Matthew",-,-,1,-,-,-,1,-,1,,-,1,1,1,,-,-,-,1,2,-,-,9.0
"Long, Jake",,,,,,,,,,,,,,,,,,,,-,-,-,
"McDonald-Tipungwuti, Anthony",-,-,-,-,-,-,-,-,-,1,-,,-,-,2,-,-,-,1,-,-,-,4.0
"McKenna, Conor",,,,-,-,,,1,-,,,,,,-,-,-,-,-,-,-,-,1.0
"McKernan, Shaun",-,,,,,,2,,,,,,,,1,-,1,,,,,1,5.0
"Merrett, Jackson",-,-,-,,,,,,,,-,-,-,1,,,,,-,1,-,1,3.0
"Merrett, Zach",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Michael, Sam",,,,,,,,,,,,,,,2,,,-,,,,,2.0
"Parish, Darcy",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,3,-,-,,-,-,3.0
"Polkinghorne, James",,,,,,-,-,1,1,,,,,,,,,-,-,-,,,2.0
"Redman, Mason",,,,,,,-,-,1,,,,,,,,,,,,,,1.0
"Simpkin, Jonathan",-,,,,,-,-,,,,,,,,,,,,,-,,,
"Stokes, Mathew",-,1,-,-,-,-,,,,,,-,-,-,,,,,,-,-,,1.0
"Zaharakis, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
Totals,4,15,8,1,5,9,8,11,11,10,3,15,14,10,20,6,22,15,4,15,10,7,223.0
Opponent,GC,ME,PA,GE,CW,CA,SY,NM,SK,RI,FR,HW,GW,WC,SK,RI,BL,AD,GE,GC,WB,CA,
