Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ambrose, Patrick",7,9,13,5,,,,7,12,4,9,8,3,,4,4,5,8,10,15,7,8,138.0
"Ashby, Jason",,,,,,,,,,,,,8,4,,,,,,,,,12.0
"Baguley, Mark",10,17,13,18,11,,10,14,10,6,12,,,,,,,,,,,,121.0
"Bird, Craig",8,,,12,14,,12,18,11,7,14,5,5,14,8,7,,15,9,14,14,14,201.0
"Brown, Mitch",10,7,7,7,10,10,11,5,8,7,7,8,5,2,3,8,6,,22,15,15,17,190.0
"Cooney, Adam",8,15,15,21,11,15,11,26,20,18,13,22,19,9,23,,12,15,17,16,15,,321.0
"Crowley, Ryan",8,11,10,,,9,19,11,,7,16,,,,,,,,,,,,91.0
"Daniher, Joe",6,11,7,4,4,9,11,9,6,9,7,11,6,7,8,5,5,11,10,10,4,13,173.0
"Dea, Matt",11,9,13,8,7,11,13,14,18,13,7,16,,11,8,8,13,9,7,11,10,18,235.0
"Dempsey, Courtenay",,,,,13,14,18,,,15,11,6,10,12,12,8,9,8,11,,,11,158.0
"Edwards, Shaun",,,,,,,,,,8,13,14,,,,,,,,,,,35.0
"Fantasia, Orazio",,13,15,25,13,5,7,6,8,6,6,22,6,8,6,2,5,7,,5,10,,175.0
"Francis, Aaron",,,,,,,,,,,,,,,,,7,2,5,,,,14.0
"Gleeson, Martin",16,19,13,12,13,5,,,16,12,15,15,10,10,6,15,14,10,20,18,11,14,264.0
"Goddard, Brendon",14,21,15,19,16,18,19,26,27,26,21,18,16,11,19,16,15,23,5,,,17,362.0
"Grima, Nathan",,,,,,,8,12,,,,,,,,,,,,,,,20.0
"Grimley, Sam",,,,,11,-,,,,,,,,,,,,,4,2,,,17.0
"Gwilt, James",14,18,16,25,16,13,11,,19,16,14,16,12,20,14,2,,,,,,,226.0
"Hams, Will",,,,,,,,,,,10,8,12,5,9,5,9,11,,,,,69.0
"Hartley, Michael",,9,8,4,8,6,8,7,11,2,,,5,5,7,4,5,8,10,4,14,5,130.0
"Jamar, Mark",,,,,,,,,,3,,5,4,3,,,,,,,4,,19.0
"Kelly, James",16,19,16,18,20,14,21,19,24,15,,16,9,21,13,14,9,,18,15,29,16,342.0
"Kommer, Nick",,3,6,,,,,,,,,,,,,,,,,,,5,14.0
"Langford, Kyle",11,14,9,11,15,15,,13,8,9,10,7,,,14,11,11,11,,,7,10,186.0
"Laverde, Jayden",,,,4,,,,,,,,,,,4,9,9,11,12,8,7,8,72.0
"Leuenberger, Matthew",9,5,6,9,8,11,5,7,7,,8,8,3,2,,9,10,6,5,6,6,10,140.0
"Long, Jake",,,,,,,,,,,,,,,,,,,,11,8,9,28.0
"McDonald-Tipungwuti, Anthony",7,15,11,15,9,7,13,14,14,9,8,,12,7,10,7,8,8,7,12,6,7,206.0
"McKenna, Conor",,,,8,9,,,9,2,,,,,,8,8,10,9,12,17,11,16,119.0
"McKernan, Shaun",5,,,,,,6,,,,,,,,3,4,2,,,,,8,28.0
"Merrett, Jackson",16,20,3,,,,,,,,12,12,13,16,,,,,14,10,10,12,138.0
"Merrett, Zach",23,23,20,19,15,18,15,19,19,16,23,22,18,13,22,21,24,20,17,27,22,24,440.0
"Michael, Sam",,,,,,,,,,,,,,,4,,,4,,,,,8.0
"Parish, Darcy",14,16,12,10,11,7,,16,15,19,13,15,10,6,16,13,8,9,15,,7,12,244.0
"Polkinghorne, James",,,,,,5,7,14,5,,,,,,,,,13,9,16,,,69.0
"Redman, Mason",,,,,,,4,5,1,,,,,,,,,,,,,,10.0
"Simpkin, Jonathan",10,,,,,17,6,,,,,,,,,,,,,19,,,52.0
"Stokes, Mathew",20,13,14,15,10,10,,,,,,9,10,6,,,,,,24,23,,154.0
"Zaharakis, David",20,26,16,24,12,18,20,9,25,18,7,24,14,3,,8,10,11,10,29,23,18,345.0
Totals,263,313,258,293,256,237,255,280,286,245,256,287,210,195,221,188,206,229,249,304,263,272,5566.0
Opponent,GC,ME,PA,GE,CW,CA,SY,NM,SK,RI,FR,HW,GW,WC,SK,RI,BL,AD,GE,GC,WB,CA,
