Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Ambrose, Patrick",-,-,-,-,-,-,-,-,-,1,-,-,-,,,,-,-,-,-,-,-,-,1.0
"Baguley, Mark",-,1,1,3,-,-,-,,-,,-,,,,,,,,,-,,,,5.0
"Begley, Josh",,,,,,,,,-,-,-,-,-,2,,,,,,-,,-,,2.0
"Bellchambers, Tom",-,-,2,-,3,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,5.0
"Brown, Mitch",1,-,,1,-,-,,,,,,,-,-,-,1,-,-,-,-,1,1,-,5.0
"Clarke, Dylan",,,,,,,,,,,-,-,-,1,-,-,-,1,-,-,,-,,2.0
"Clarke, Zac",,,-,-,,,,-,,,,,,,-,-,,-,-,-,-,,,
"Daniher, Joe",,,,,-,-,-,,2,,,,,,,,,,,,,,,2.0
"Fantasia, Orazio",-,-,1,1,-,,,1,,,,1,-,-,-,-,,,-,-,1,,1,6.0
"Francis, Aaron",-,-,-,,,,1,1,3,-,1,,,-,-,-,2,-,-,,-,-,-,8.0
"Gleeson, Martin",,,,,,,,,,,,,,-,1,1,-,-,-,-,-,-,,2.0
"Guelfi, Matt",-,-,-,,1,-,1,-,1,-,-,-,-,,-,-,1,-,-,,,,,4.0
"Ham, Brayden",,,,,1,,,-,,,,,,,,,,,,,-,-,-,1.0
"Hartley, Michael",,,,,,,,,,,,,,,,,-,,-,,,-,,
"Heppell, Dyson",-,-,2,-,1,-,-,-,-,1,2,-,1,-,,,-,,,-,-,,1,8.0
"Hooker, Cale",,,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,-,1.0
"Hurley, Michael",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
"Jok, Tom",,,,,,,,,,,,,,,,,,,,,,-,,
"Langford, Kyle",-,-,,,,,-,,1,-,-,1,1,-,-,-,-,1,-,-,-,1,-,5.0
"Laverde, Jayden",,,,,,,,,,-,-,2,2,-,1,1,,1,,,,-,-,7.0
"McDonald-Tipungwuti, Anthony",1,-,2,-,-,2,-,1,-,1,-,-,1,-,1,-,4,1,1,-,-,3,-,18.0
"McGrath, Andrew",-,1,-,1,1,-,-,1,-,-,2,-,-,-,1,-,-,-,1,-,1,-,1,10.0
"McKenna, Conor",1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,1,1,1,7.0
"McKernan, Shaun",-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,,-,1,1,-,2.0
"McNiece, Ben",,,,,,,,,-,-,-,,,,,,,1,,-,,,,1.0
"Merrett, Zach",-,-,-,1,1,-,-,2,-,1,-,2,1,1,-,1,1,1,1,1,-,-,-,14.0
"Mutch, Kobe",,,-,,,,,,,,,,,,,,,,,,,,,
"Myers, David",1,-,,-,-,-,,-,,,,,,,,,,,,-,,,,1.0
"Parish, Darcy",,3,1,1,-,-,-,1,-,-,-,2,-,-,-,-,1,-,-,,1,-,1,11.0
"Redman, Mason",,,,-,1,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4.0
"Ridley, Jordan",-,,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Saad, Adam",-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,2,-,,1,-,-,5.0
"Shiel, Dylan",-,-,-,1,4,1,1,-,-,-,,-,-,-,-,-,-,-,1,-,2,-,-,10.0
"Smith, Devon",1,1,1,-,,1,1,-,,,,,,,,,,,,,,,,5.0
"Snelling, Will",,,,,,,,,,,,,,,,,-,-,1,,,,-,1.0
"Stringer, Jake",-,-,1,3,-,2,-,-,-,-,,-,,,1,-,1,1,-,-,-,,-,9.0
"Zaharakis, David",-,-,2,1,,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,,,7.0
"Zerk-Thatcher, Brandon",,,,,,,,,,,,,,,,,,,,,-,,,
Totals,5,6,14,14,13,7,4,8,7,4,5,8,8,7,6,5,11,10,5,1,9,7,5,169.0
Opponent,GW,SK,ME,BL,NM,CW,GE,SY,FR,RI,CA,HW,WC,GW,SY,NM,AD,GC,PA,WB,FR,CW,WC,
