Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bell, Peter",-,2,-,1,2,2,1,2,2,3,1,2,1,1,-,2,-,-,1,-,1,1,25.0
"Black, Heath",,,,3,2,10,5,1,2,4,1,3,3,5,2,1,4,1,3,6,,,56.0
"Browne, Andrew",1,3,-,,,,,,,,,,,,,,,,,,,-,4.0
"Campbell, Adam",,,,-,,,-,-,-,,,,,,,,,,,,,,
"Carr, Josh",1,-,3,3,1,-,2,6,,1,3,2,1,-,1,1,1,2,-,2,-,,30.0
"Carr, Matthew",,2,-,-,1,1,-,-,2,-,2,-,-,2,,1,2,-,,-,,,13.0
"Collard, Clayton",,,,,,,,,-,,,,,,,,,,,,,,
"Cook, Troy",,,-,,-,1,,,1,-,,-,,,,,,,,-,-,-,2.0
"Crowley, Ryan",1,1,3,1,3,2,5,1,-,1,,-,,,1,2,4,1,3,2,-,-,31.0
"Dodd, Steven",7,,5,2,2,1,-,-,3,5,1,4,5,5,9,3,,,,,3,,55.0
"Drum, Marcus",,,,,,,,,,,,,,,,-,-,,,,,2,2.0
"Duffield, Paul",1,-,,,,,1,1,,,,,,,,1,1,,,,,,5.0
"Dunn, Ryley",,,,,,,,,,,,,,,,,,,,,,-,
"Farmer, Jeff",,,,,,,,,,,,,-,-,,,-,-,-,1,-,1,2.0
"Foster, Andrew",,,,,,,,,,,,,,,,,,,1,,-,-,1.0
"Gilmore, Daniel",,2,1,-,1,,-,,,,,,2,,-,3,1,1,2,1,1,2,17.0
"Grover, Antoni",6,3,4,1,3,3,3,2,3,1,5,3,5,2,-,4,1,3,-,1,1,,54.0
"Haddrill, Robert",,,,,,,,,,,,,,,,,,,,,,2,2.0
"Hasleby, Paul",1,1,3,3,1,1,2,,1,1,1,1,1,1,1,1,-,1,4,2,-,,27.0
"Hayden, Roger",3,2,2,5,7,7,1,3,2,5,3,1,4,3,4,-,2,3,3,5,1,2,68.0
"Headland, Des",1,1,1,1,2,-,-,-,2,-,-,1,2,4,-,-,2,,,,,,17.0
"Ibbotson, Garrick",,,,,,,,,,,1,,,,,,,,,,,,1.0
"Johnson, Michael",,,,,2,2,3,5,2,3,3,4,4,5,6,-,3,2,3,3,-,5,55.0
"Longmuir, Justin",-,,1,,,,,,,,,,,,,,,,,,,,1.0
"McManus, Shaun",1,-,-,2,-,2,1,-,2,1,-,-,2,1,1,-,1,3,1,1,-,-,19.0
"McPharlin, Luke",4,4,1,2,1,1,3,5,7,3,-,,3,1,-,5,3,4,-,1,-,2,50.0
"Mundy, David",1,1,3,4,4,2,3,2,2,2,-,5,2,3,-,5,2,5,6,-,6,1,59.0
"Murphy, Ryan",-,,,,,,,,,,,,-,,-,,,-,-,-,,-,
"OBrien, Brock",,,,,,,,,,,,,,,,,,,,,,3,3.0
"Parker, Shane",2,1,4,2,,4,,,,,,,1,1,,,,,,,,,15.0
"Pavlich, Matthew",-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,2,1,2,8.0
"Peake, Brett",1,-,,,,,,,1,-,-,1,,,,,,1,2,1,-,,7.0
"Sandilands, Aaron",2,1,1,-,3,3,1,2,2,1,1,-,,2,-,,-,,,,,,19.0
"Schammer, Byron",,,,,,,,,,,,,-,2,1,,,-,-,,-,-,3.0
"Solomon, Dean",-,1,1,3,-,-,,-,1,-,-,-,-,4,1,-,-,2,-,3,3,,19.0
"Tarrant, Chris",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Thornton, Scott",,,,,,,,,-,4,1,1,1,-,3,3,3,4,1,4,3,2,30.0
"Walker, James",-,4,1,1,2,,-,-,,,-,3,,,4,,,,,,,,15.0
"Warnock, Robert",,,,,,1,,-,,,1,1,2,1,,2,,-,1,-,2,-,11.0
"Webster, Luke",,-,,1,1,2,-,-,,1,,,,,,,,,,,,,5.0
Totals,33,29,34,35,38,45,32,30,35,36,24,32,40,43,34,34,30,34,31,35,22,25,731.0
Opponent,PA,ES,WC,ME,AD,BL,HW,GE,SK,CW,RI,WB,CA,SY,KA,AD,GE,WC,ES,SK,ME,PA,
