Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Ballantyne, Hayden",1,,2,2,-,-,1,2,5,2,-,-,-,5,1,,,-,-,3,1,,2,1,2,30.0
"Barlow, Michael",-,-,-,-,-,-,-,1,1,1,1,-,,1,1,1,1,1,-,1,-,-,1,-,1,12.0
"Bradley, Kepler",-,2,-,1,-,,,,,,,,,,,,,,,,,,,,,3.0
"Clarke, Zac",,,,,,,,1,-,-,-,-,-,1,-,-,1,1,-,-,1,,-,-,-,5.0
"Crichton, Jesse",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Crowley, Ryan",1,-,-,2,-,1,-,-,1,-,1,1,-,-,1,-,-,-,1,-,1,-,-,1,1,12.0
"Crozier, Hayden",,1,,,,-,-,,3,1,-,1,-,,,,,,,,,-,,,,6.0
"Dawson, Zac",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Duffield, Paul",1,-,1,-,,1,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,3.0
"Faulks, Peter",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Forster, Alex",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Fyfe, Nat",-,1,2,-,-,,,1,1,-,-,2,-,1,1,-,2,-,1,1,-,,-,2,3,18.0
"Griffin, Jonathon",-,1,-,-,-,2,-,,,,,,,,,,,,,,,,,,,3.0
"Hannath, Jack",,,,,-,1,1,-,1,-,2,1,-,,,-,,,,,-,1,,,,7.0
"Hill, Stephen",-,-,-,-,1,,,,,-,1,-,-,-,-,1,2,1,,-,1,,-,-,-,7.0
"Ibbotson, Garrick",,,,,-,-,-,1,1,-,-,-,-,-,-,-,-,,,,,,,,,2.0
"Johnson, Michael",-,-,-,-,-,1,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,,,-,-,6.0
"Mayne, Chris",3,-,2,2,1,1,2,2,3,1,2,1,1,2,1,-,2,1,1,2,-,,1,2,2,35.0
"McPharlin, Luke",-,-,-,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,
"Mellington, Josh",,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
"Michie, Viv",,,,,,,,,,,,,-,,,,,,,,,,,,,
"Moller, Craig",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Mundy, David",-,-,-,-,-,-,-,-,2,-,2,,,-,-,-,1,2,-,-,-,,-,-,-,7.0
"Mzungu, Tendai",1,1,-,-,-,2,1,-,3,-,-,1,1,-,1,2,-,1,2,-,-,1,-,-,2,19.0
"Neale, Lachie",,,,1,-,,,,,,,,,,,1,-,1,-,-,-,-,-,-,-,3.0
"Pavlich, Matthew",1,3,-,,,,,,,,,,,3,3,,,,1,3,3,2,2,3,3,27.0
"Pearce, Clancee",-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,,,,-,,,,3.0
"Pearce, Danyle",-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,3.0
"Sandilands, Aaron",,,,,,,,,,,,,,-,-,,1,2,-,1,,-,-,-,-,4.0
"Sheridan, Tom",,,,,,,,,,,,,-,-,1,-,,1,1,-,-,-,-,,,3.0
"Silvagni, Alex",,,,,,-,4,-,2,,-,,,,-,-,,,-,1,,-,,,,7.0
"Simpson, Josh",,,,,,,,,,,,,,,,,,,,,,2,,,,2.0
"Smith, Tanner",,,,-,,,,,,,,,,,,,,,,,,,,,,
"Spurr, Lee",-,-,-,-,-,-,-,-,-,-,-,2,,-,-,-,-,-,2,-,-,,-,-,-,4.0
"Suban, Nick",1,-,-,-,2,-,-,1,-,-,1,-,-,-,,,-,1,-,-,-,,-,1,1,8.0
"Sutcliffe, Cam",-,-,-,-,,1,-,-,-,-,,,,,1,-,-,-,1,,1,-,-,-,-,4.0
"Taberner, Matthew",,,,,,,,,,,,-,1,,,,-,,,,,-,,,,1.0
"Walters, Michael",1,2,3,1,2,-,2,1,,,,-,-,2,3,1,2,2,2,1,1,,1,2,2,31.0
"de Boer, Matt",1,2,-,-,-,1,-,-,-,-,1,1,-,-,-,1,2,-,1,1,-,-,-,1,-,12.0
Totals,11,13,11,9,8,11,12,13,24,5,11,11,4,15,15,8,14,14,13,14,9,7,7,13,17,289.0
Opponent,WC,WB,ES,HW,RI,GC,CW,SY,ME,AD,BL,NM,GE,SK,WC,RI,AD,CA,GW,ME,PA,SK,GE,SY,HW,
