Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Apeness, Michael",,,,,,,,,,,,,,,-,-,,,,,,,,,
"Ballantyne, Hayden",-,-,-,2,2,,1,2,2,-,1,-,-,-,2,-,,-,-,,1,1,-,,14.0
"Barlow, Michael",4,1,,,,,3,7,8,1,3,3,4,7,5,3,3,2,4,3,,6,3,5,75.0
"Clarke, Zac",,,,-,1,1,1,-,1,2,-,2,1,-,2,6,2,-,2,1,1,3,1,3,30.0
"Crowley, Ryan",-,1,1,2,-,2,3,2,1,1,1,3,3,3,2,-,3,4,2,2,2,1,2,3,44.0
"Crozier, Hayden",,,-,-,,-,1,1,,,,,,,,,,,2,-,1,-,-,-,5.0
"Dawson, Zac",-,-,,-,1,-,-,,-,-,-,-,-,1,1,-,-,1,2,-,-,-,-,-,6.0
"Duffield, Paul",-,1,-,1,1,-,3,-,-,1,-,1,1,1,3,1,2,-,2,-,-,1,1,1,21.0
"Duffy, Max",,,,,,,,,,,,,,,,,,,1,-,,,,,1.0
"Fyfe, Nat",9,7,,,9,10,3,6,4,2,4,8,11,3,6,8,2,13,10,5,,,7,7,134.0
"Griffin, Jonathon",,,,,,,,,,,,,,,,,-,,,,,,,,
"Hannath, Jack",-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Hill, Stephen",2,4,6,7,9,6,,-,5,3,3,3,2,1,,,,2,2,5,6,-,2,3,71.0
"Ibbotson, Garrick",,,-,,,,,,,2,-,2,-,1,1,,,2,,,-,-,1,-,9.0
"Johnson, Michael",1,-,1,-,-,1,-,1,-,-,1,,,,,-,-,-,-,-,-,-,,,5.0
"Mayne, Chris",1,-,-,,-,1,-,1,2,1,1,1,1,1,1,-,-,-,-,-,2,1,1,1,16.0
"McPharlin, Luke",-,-,1,-,-,-,-,,,-,-,,,,-,,-,-,-,,,,,,1.0
"Morabito, Anthony",,,,,,,,,,,,,,,-,1,-,,,,,,,,1.0
"Mundy, David",2,8,9,1,4,4,4,8,6,3,5,5,7,6,5,9,4,3,4,9,8,6,8,7,135.0
"Mzungu, Tendai",1,4,3,2,1,1,1,-,2,1,2,-,4,1,-,2,2,-,,3,-,2,4,1,37.0
"Neale, Lachie",-,,1,8,6,6,4,4,3,5,1,2,4,2,5,3,3,1,5,5,7,6,8,7,96.0
"Pavlich, Matthew",1,-,-,-,2,-,-,-,-,-,-,1,-,1,,1,1,1,-,-,,2,-,-,10.0
"Pearce, Clancee",,,,3,-,-,-,1,,,,,1,1,-,2,,,,,,,,,8.0
"Pearce, Danyle",2,3,4,2,-,6,5,1,1,2,1,-,7,2,3,3,5,3,2,3,1,3,-,1,60.0
"Sandilands, Aaron",2,5,1,2,6,-,2,3,5,4,4,1,3,4,2,-,,-,3,2,4,3,3,1,60.0
"Sheridan, Tom",1,-,-,,,-,,,2,1,-,-,,,,,,,,,,,,,4.0
"Silvagni, Alex",,,,,,,,1,-,,,1,-,,,,,,,-,-,,-,,2.0
"Simpson, Josh",,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Spurr, Lee",-,1,-,1,-,-,-,-,-,1,-,1,-,1,-,-,-,2,1,-,-,-,-,-,8.0
"Suban, Nick",,3,1,3,-,4,1,1,1,2,2,-,1,1,4,6,1,3,3,,-,-,,-,37.0
"Sutcliffe, Cam",-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Sylvia, Colin",,,,,,,,,,,,-,-,1,-,2,1,,,,,,,,4.0
"Taberner, Matthew",,,,-,-,,,,,,,,,1,,,1,,,-,-,1,1,-,4.0
"Walters, Michael",3,1,1,,,,,,,,,,,,,,,,,-,-,1,-,-,6.0
"de Boer, Matt",4,4,7,4,1,-,1,1,3,,,,,,,,2,1,3,,2,,,3,36.0
Totals,33,43,36,39,43,42,33,41,46,32,29,35,50,39,42,47,32,38,48,38,35,37,42,43,943.0
Opponent,CW,GC,HW,ES,SY,NM,WC,PA,GE,WB,AD,RI,BL,WC,ME,GW,SK,CA,GE,HW,BL,PA,SY,PA,
