Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Ballantyne, Hayden",-,1,,,1,-,3,1,1,1,3,-,1,1,-,,,,,,,,-,-,13.0
"Ballard, Jacob",,,,,,,,,,,,,,,,,,,,,,-,,,
"Barlow, Michael",-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,1,1,-,-,1,-,-,-,1,9.0
"Blakely, Connor",,,,,,,,,,,,,,,,,,,,,,-,,,
"Clarke, Zac",-,-,-,-,1,1,-,-,-,-,,,-,-,,,,,,,,-,-,,2.0
"Crozier, Hayden",,,-,,,,,,,-,2,-,,,-,-,1,-,-,-,,-,,,3.0
"Dawson, Zac",,,,,,,,,,,,,,,,,-,,,-,-,,-,-,
"Duffield, Paul",-,-,-,-,-,-,-,-,-,-,,,-,-,,,,,,,1,-,,,1.0
"Duffy, Max",,,,,,,,,,,,,,,,,,,,,,-,,,
"Fyfe, Nat",1,1,1,2,-,2,1,1,1,-,-,-,-,1,1,1,,,1,-,,,-,-,14.0
"Grey, Brady",,,,,,,,,,,,,,,,,,,,,,-,,,
"Griffin, Jonathon",,,,,,,,,,,,,,,-,-,-,-,-,-,-,,,1,1.0
"Hannath, Jack",,,,,,,,,,,1,-,,,,,,,,,,-,,,1.0
"Hill, Stephen",-,1,-,1,-,-,1,2,-,-,1,-,-,-,1,-,1,-,-,1,1,,-,-,10.0
"Hughes, Ethan",,,,,,,,,,,,,,,,,,,,,,-,,,
"Ibbotson, Garrick",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Johnson, Michael",-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,,-,-,
"Langdon, Ed",,,,,,,,,,,,,,,,,,,,,1,1,,,2.0
"Mayne, Chris",-,1,-,2,1,-,-,-,-,-,,1,2,-,1,2,1,-,1,1,1,,2,1,17.0
"McPharlin, Luke",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,
"Mundy, David",1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,4.0
"Mzungu, Tendai",,,,-,,,,,,,-,,,-,,,-,-,-,1,-,-,-,-,1.0
"Neale, Lachie",-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,1,1,2,1,-,-,-,-,10.0
"Pavlich, Matthew",-,1,3,1,1,2,2,1,-,2,2,2,1,2,5,-,2,-,-,,-,,1,-,28.0
"Pearce, Alex",,,,,,-,-,,,,-,-,-,-,-,-,-,2,1,-,,-,,,3.0
"Pearce, Clancee",-,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,,,,,-,-,-,,1.0
"Pearce, Danyle",-,-,-,-,1,-,1,1,2,-,-,-,-,-,-,2,1,-,-,-,1,,1,-,10.0
"Sandilands, Aaron",-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2,-,-,,-,-,4.0
"Sheridan, Tom",-,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2.0
"Silvagni, Alex",,,,,,,,,,,,,,,,,,-,-,,,,,,
"Smith, Tanner",,,,,,,,,,,,,,,,,,,,,,-,,,
"Spurr, Lee",-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,-,-,,1,-,2.0
"Suban, Nick",2,1,-,1,1,-,1,1,-,1,-,-,-,-,1,-,1,-,2,1,-,1,-,-,14.0
"Sutcliffe, Cam",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,1,-,1,1,-,,-,-,3.0
"Taberner, Matthew",,1,2,-,-,-,-,1,-,-,-,,-,,1,-,,,,,,2,,-,7.0
"Walters, Michael",2,2,2,1,-,1,-,-,-,3,1,-,-,-,3,-,-,1,1,-,,,-,2,19.0
"Weller, Lachie",,,,,,,,,,,,,,,,,-,-,,,,-,,,
"de Boer, Matt",-,-,-,-,-,-,,,,,,1,-,-,-,-,-,-,1,-,-,-,-,-,2.0
Totals,6,10,8,8,7,6,9,11,5,7,13,7,5,6,14,7,10,4,12,8,5,5,6,5,184.0
Opponent,PA,GE,WC,SY,ME,ES,WB,NM,AD,RI,GC,CW,BL,HW,CA,RI,GW,SK,WC,NM,ME,PA,SY,HW,
