Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Balic, Harley",,,-,3,,2,1,,,,,,,,,,,,,,,,6.0
"Ballantyne, Hayden",,,,,,,,,,,,,6,3,-,1,4,-,1,1,-,4,20.0
"Bennell, Harley",,,,,,,,,,,,,,,,,,,,,1,3,4.0
"Blakely, Connor",-,2,1,4,1,2,1,2,5,3,3,4,-,,1,3,1,1,,,,,34.0
"Collins, Sam",,,,,,,,,,,,3,,,,,,,,,,2,5.0
"Cox, Brennan",,,,,,,,,,,,2,3,3,2,2,,1,2,1,2,1,19.0
"Crozier, Hayden",,,2,-,2,2,2,3,3,2,2,1,1,2,1,3,2,1,-,,3,4,36.0
"Darcy, Sean",,,,,,,,,,,,,3,3,5,2,3,1,,1,3,,21.0
"Dawson, Zac",1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Deluca, Josh",,,,,,,,,,,,,4,,,,4,,,3,3,,14.0
"Fyfe, Nat",6,3,5,6,3,5,3,2,5,13,5,4,,2,2,3,3,4,2,4,5,4,89.0
"Grey, Brady",,,3,3,2,2,-,1,1,1,7,-,,3,2,,,2,-,,,,27.0
"Griffin, Jonathon",4,3,,,,,,,,-,6,2,,,,,,,1,,,-,16.0
"Hamling, Joel",2,2,1,3,2,3,-,-,1,4,1,1,1,3,3,-,2,1,2,4,1,1,38.0
"Hill, Bradley",3,5,1,5,3,2,3,4,3,5,-,3,3,5,1,3,4,3,1,2,4,3,66.0
"Hill, Stephen",-,6,4,-,1,,,,3,2,2,3,5,,-,4,3,1,4,3,5,6,52.0
"Hughes, Ethan",,,3,3,2,2,1,3,3,2,3,,,-,2,1,3,2,2,2,3,1,38.0
"Ibbotson, Garrick",-,2,1,1,3,5,2,3,1,6,,,,,,,,,,,,,24.0
"Johnson, Michael",6,3,2,3,2,-,1,4,2,4,3,2,5,2,2,1,1,2,3,2,1,3,54.0
"Kersten, Shane",6,-,2,3,2,1,2,-,6,1,-,3,3,,1,1,1,1,2,2,,3,40.0
"Langdon, Ed",2,3,2,-,4,7,3,3,2,,-,,,,,,,,,,,,26.0
"Logue, Griffin",,,1,-,1,3,,,,,,,3,3,2,2,1,2,-,1,1,,20.0
"McCarthy, Cam",3,-,7,3,1,2,3,1,-,1,2,5,2,3,,,4,2,3,6,1,,49.0
"Mundy, David",2,-,1,1,2,-,3,3,3,1,2,1,2,4,,2,3,2,1,-,2,1,36.0
"Neale, Lachie",6,2,4,-,4,3,-,3,5,4,-,5,5,2,4,4,2,2,2,-,,1,58.0
"Nyhuis, Ryan",,,,,,,,,,,,,,,2,3,1,,,,5,,11.0
"Pearce, Danyle",1,1,,,,,,2,4,3,,,,,,,,,2,5,,,18.0
"Ryan, Luke",,,,,,,,,,,1,-,4,3,-,6,,1,2,4,4,2,27.0
"Sandilands, Aaron",3,4,4,6,5,-,1,1,6,,,,,-,,,,,,,,,30.0
"Sheridan, Tom",,,2,1,1,3,,,,,,2,-,-,-,,,,,,,3,12.0
"Spurr, Lee",1,1,3,3,2,4,2,1,4,2,1,3,1,3,,2,-,,,,,,33.0
"Suban, Nick",3,4,,,,,,,,,,,5,4,5,4,2,1,2,4,2,1,37.0
"Sutcliffe, Cam",2,3,,,,,1,2,3,1,1,2,,,,,,1,3,2,5,4,30.0
"Taberner, Matthew",,,,,,,5,3,3,6,7,,,,,,,,,3,2,4,33.0
"Tucker, Darcy",1,1,,,1,1,1,1,,1,2,8,3,3,1,2,-,-,2,2,4,-,34.0
"Walters, Michael",1,3,1,5,2,2,4,3,4,3,5,4,6,4,1,2,4,,,,,,54.0
"Weller, Lachie",1,1,4,4,8,5,3,1,3,2,1,1,1,3,1,2,4,2,-,1,4,1,53.0
Totals,54,49,54,57,54,56,42,46,70,67,54,59,66,58,38,53,52,33,37,53,61,52,1165.0
Opponent,GE,PA,WB,ME,NM,WC,ES,RI,CA,AD,CW,BL,GE,SK,NM,WC,HW,GW,GC,SY,RI,ES,
