Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,Tot
"Bailey, Joe",,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Bauer, Don",-,-,,-,-,-,-,-,-,,-,-,-,-,,,-,-,-,
"Brown, Doug",1,4,1,1,3,-,-,,2,1,2,1,3,-,1,1,2,1,1,25.0
"Brown, Jim",,,,-,,-,-,-,-,,,,,,,,,,,
"Brown, Kevin",-,,,,,,,,,,,,,,,,,,,
"Card, George",1,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,1.0
"Elliott, Alan",1,,,,2,2,-,,,,,-,-,,,,,,,5.0
"Fitzgerald, Jim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Flanagan, Fred",3,-,3,1,-,2,1,1,-,-,-,-,-,,-,-,1,-,1,13.0
"Glenister, Norm",1,-,1,-,,2,3,2,2,6,1,,,,,2,3,1,3,27.0
"Gniel, George",-,-,-,-,-,,,,-,-,-,-,1,-,-,-,-,-,-,1.0
"Grant, Jack",-,-,,1,-,2,,,,,,6,1,1,-,,,,,11.0
"Harwood, Bill",,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hovey, Jim",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hunt, Percy",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,3,3.0
"Icke, Bill",,,-,-,-,-,-,-,-,-,,,,-,-,-,-,1,-,1.0
"Jerram, Doug",1,-,-,-,,,,,,,,,,,,,,,,1.0
"Lindsay, Alwyn",-,1,-,,,,-,,,-,-,-,-,,-,,,-,-,1.0
"Mahon, Geoff",-,-,-,1,-,-,1,-,3,3,1,-,,,,,,,,9.0
"Marsham, Alan",-,,,,,,,,,,,,,,,,,,,
"McGlynn, Mick",,,,,,,,-,-,,,,,,,-,1,-,-,1.0
"Monahan, Andy",,,,,,,,,,,,,,-,,,,,1,1.0
"Morrow, Tom",-,-,-,1,-,1,-,-,2,-,-,-,3,1,1,-,-,,,9.0
"Muller, Jack",1,-,1,-,-,1,2,1,1,3,1,-,1,3,2,,2,,2,21.0
"Munday, Jim",-,2,3,1,1,-,2,1,,-,,,,1,-,-,,,,11.0
"Park, Keith",,,-,,,-,,-,-,-,-,,-,-,-,-,,,,
"Pike, Frank",,,,,-,,,-,,,,,,,,,,,,
"Powell, Les",,,,,,,1,-,,,,,,,,,,,,1.0
"Rayson, Alan",,,-,-,,,,,,,,,-,1,1,,,-,,2.0
"Renfrey, Russell",1,2,-,3,1,2,-,2,2,1,-,3,1,2,1,-,4,-,3,28.0
"Scott, Norm",,,,,-,-,,,,-,-,-,-,-,-,-,-,-,-,
"Sing, Jack",,-,-,-,-,,,,,,,,,-,,-,,,,
"Tomlinson, Bill",,,,,,,,,,,,,-,-,-,2,-,2,-,4.0
"White, Lindsay",,5,-,,4,,,,1,4,1,3,,,,3,-,1,3,25.0
"Whitten, Jack",,,,,,,,,,-,1,2,1,,,,-,1,,5.0
"Wynne, Bob",2,1,,2,,,,,,,,,,,,,,,,5.0
Totals,12,15,9,11,11,13,10,7,13,18,7,15,11,9,6,8,13,7,17,212.0
Opponent,ME,HW,FI,NM,SK,RI,CW,FO,CA,ES,SM,ME,HW,FI,NM,SK,RI,CW,FO,
