Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Adams, Robert",,,,,,,,-,,,-,-,-,-,1,-,-,,-,,,,1.0
"Ainsworth, Geoff",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,,-,-,
"Andrews, Gareth",3,1,2,-,,1,-,-,2,-,-,3,2,1,-,2,1,2,-,1,,,21.0
"Bates, Jeff",,,,,,,,,,,,,,,,,,,,-,1,-,1.0
"Closter, Wayne",-,-,-,-,,,,,,,,,,,,-,-,-,-,-,1,-,1.0
"Colley, Tim",,,,,-,,,,,,,,,,1,-,-,-,,,,,1.0
"Evans, Phil",,,,,,-,1,2,,-,-,3,-,-,-,1,-,1,-,-,-,-,8.0
"Farman, Terry",,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Gilmore, Tony",-,,,,,,-,,,-,-,-,-,-,-,,,,,,,,
"Gladman, Ken",-,-,,-,2,2,-,1,-,-,-,-,,,,-,,,,-,-,-,5.0
"Goggin, Bill",1,1,1,1,3,2,4,-,-,1,1,-,2,2,1,-,-,1,-,2,2,1,26.0
"Hampshire, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Harris, David",1,1,-,-,,,,,,,,,,,,,,,,,,,2.0
"Higgins, Kevin",1,2,-,,,,,,,,,,,,,,,,,,,,3.0
"Kline, Jeff",,,,,-,,,-,-,-,,,,,,,,,,,,,
"Linke, Peter",,,,,,,,,,,,,,,,,,-,-,-,-,-,
"McCarthy, Shane",,,,,,,,,,,,,,,,,,,,,-,-,
"Nankervis, Bruce",,,,,,,,-,-,-,1,-,-,-,-,-,-,,,-,-,-,1.0
"Nankervis, Ian",3,3,4,2,-,3,2,3,1,2,-,1,-,4,2,1,1,-,-,1,3,2,38.0
"Newland, Ken",3,-,1,2,1,1,2,-,-,2,1,-,2,1,1,1,-,,,,,,18.0
"Newman, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Palfreyman, Stewart",-,-,-,-,-,1,-,,,1,-,-,1,-,-,,-,-,-,,,,3.0
"Polinelli, Tony",,,,,1,1,-,-,-,,,,-,-,-,-,-,2,-,,,,4.0
"Reid, Gordon",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Rosenow, Geoff",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,1.0
"Ryan, Bill",-,-,-,5,-,2,1,4,3,3,3,5,2,5,-,1,1,5,,2,1,1,44.0
"Scarlett, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Smith, Phil",,,,,,,4,4,1,1,,2,,,,,,,,1,2,2,17.0
"Stephenson, Doug",,,,,,,,,,,,,,,,,,-,1,,,,1.0
"Stevens, Phil",-,-,-,-,-,-,,,-,-,-,-,-,-,-,,,-,-,-,1,-,1.0
"Strahan, Hugh",3,1,-,-,-,-,-,-,-,,-,-,2,-,,-,,-,2,,,,8.0
"Wade, Doug",6,3,7,4,5,5,,,3,3,5,,,7,2,9,4,2,2,3,4,-,74.0
"Wright, Jim",,,2,-,-,-,1,,,,,,,,,,,,,-,-,,3.0
Totals,21,12,17,14,14,18,15,14,10,13,11,14,11,20,8,15,7,13,5,10,16,6,284.0
Opponent,HW,CA,FI,CW,ES,FO,RI,SK,SM,ME,NM,HW,CA,FI,CW,ES,FO,RI,SK,SM,ME,NM,
