Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ainsworth, Geoff",3,3,4,3,3,-,3,-,4,-,,,-,,,,,,,,,,23.0
"Andrews, Gareth",4,1,,9,11,4,4,,,,,,,,,,,,,,,,33.0
"Armour, David",,,,,,,,3,2,,,,,,,,,,,,,,5.0
"Barkley, David",,,,,,,,,,,,,,,4,,,,-,1,3,2,10.0
"Blake, Rod",,,,,4,5,4,5,4,8,6,7,4,4,,,2,5,3,3,5,3,72.0
"Browne, Mark",6,5,6,1,2,,,,,,6,,-,,,,-,2,2,2,6,1,39.0
"Browne, Ricky",1,4,2,4,2,2,,,4,1,,-,1,,5,3,2,4,1,2,2,1,41.0
"Cassidy, Jeff",,,,,,,,,,,,-,,,-,,,,,,,,
"Clarke, David",,,1,5,6,9,8,6,,,,5,1,7,,3,7,4,6,5,2,7,82.0
"Closter, Wayne",5,7,5,,,5,8,1,5,6,2,5,3,2,7,-,,-,3,,,,64.0
"Crawford, Leigh",5,7,5,7,3,3,4,3,4,4,,4,2,,5,,,,,3,,,59.0
"Davidson, Garry",,,,,,,,,,,,,,,,,,,,8,3,1,12.0
"Davis, Harvey",,,,,,,,,,5,1,,,,,,,4,1,5,-,1,17.0
"Deeath, Rex",,,,-,,,,,-,,-,-,,,,,,6,2,,,,8.0
"Donohue, Larry",1,,,,,,,,,,,,,,,1,,,,,,,2.0
"Doyle, Peter",,2,5,1,1,8,2,-,,,,,,,-,,4,3,-,,3,2,31.0
"Eddy, Barry",,-,,,,,,,,,-,2,,1,4,3,3,,,,,,13.0
"Evans, Tim",,,,,-,5,1,5,7,2,2,,,1,5,4,,,,,,,32.0
"Hampshire, Ian",8,12,5,4,,1,2,,7,,12,10,8,6,7,2,,,,,,,84.0
"Hawkins, Jack",1,6,5,4,8,1,1,6,3,5,2,4,3,3,4,4,1,2,3,1,3,2,72.0
"Higgins, Kevin",3,6,3,5,3,3,7,5,8,2,3,7,5,2,3,3,4,1,2,2,5,3,85.0
"Hunt, Rex",,,,,,,,10,14,8,10,10,5,11,13,8,8,19,7,7,8,9,147.0
"Lewtas, Ian",,,,,,,,,,,,,,,,,1,6,2,,,,9.0
"Linke, Graeme",,,-,,,,,-,,3,3,3,1,4,5,2,4,3,,,,,28.0
"Lynch, Chris",1,3,,,,,,,,,,,,-,,,,,,,,,4.0
"Miller, Keith",-,,3,,,,,,,,,,,,,,,,,,,,3.0
"Nankervis, Bruce",1,4,2,1,1,4,5,5,5,3,4,5,4,5,,6,5,5,6,2,2,4,79.0
"Nankervis, Ian",1,3,8,3,4,2,2,-,6,1,3,3,2,4,7,3,6,1,6,3,5,5,78.0
"Neal, Robert",,,,,,,,,,,,,,,2,5,5,1,4,3,5,4,29.0
"Newland, Ken",5,9,6,,4,7,3,5,4,4,2,6,1,,,10,2,,,,-,3,71.0
"Newman, Sam",4,7,10,2,6,3,6,2,,6,7,9,4,11,11,7,7,3,3,5,5,6,124.0
"Preen, John",1,,,,,,,,,,,,,,,,,,,,,,1.0
"Sarah, Paul",2,1,5,-,3,1,4,-,2,5,4,6,2,5,6,3,2,4,1,3,2,3,64.0
"Scale, Doug",,,,,,,,,,,,,,,,,,,,-,-,,
"Scarlett, John",,6,1,3,4,3,1,2,3,1,5,,-,3,,,1,1,1,1,6,3,45.0
"Sheehan, Kevin",,,,-,-,1,-,,,-,-,2,1,2,,,,,,,,,6.0
"Stevens, Phil",2,2,4,2,,,,,1,,,,,7,3,-,,,,,,3,24.0
"Turner, Michael",,,,3,2,3,3,2,3,3,,,,,,,,,,,,,19.0
"Whatman, Robert",,,,,,,,,,,,,,4,2,1,2,,,2,,,11.0
"Woolnough, Michael",2,2,4,1,3,,3,5,3,7,5,6,1,1,5,5,4,-,2,1,4,6,70.0
Totals,56,90,84,58,70,70,71,65,89,74,77,94,48,83,98,73,70,74,55,59,69,69,1596.0
Opponent,FO,CA,ME,SK,ES,RI,NM,CW,SM,HW,FI,FO,CA,SK,ME,ES,RI,NM,CW,SM,HW,FI,
