Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Ablett, Gary",1,-,-,2,3,,2,1,-,4,1,1,-,1,-,1,3,2,1,-,1,2,-,-,1,27.0
"Bartel, Jimmy",2,2,1,2,2,-,-,1,-,-,-,3,-,2,2,-,-,,-,-,1,-,-,-,1,19.0
"Blake, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,-,-,-,,,1.0
"Byrnes, Shannon",4,2,-,1,-,2,1,2,1,-,2,4,1,2,2,-,,1,-,2,-,,1,1,3,32.0
"Chapman, Paul",1,1,2,2,-,1,1,2,1,1,-,-,,-,-,-,-,-,1,-,-,-,1,2,-,16.0
"Corey, Joel",-,-,-,-,,,,,,,,,,-,,-,1,-,-,,-,-,-,-,-,1.0
"Djerrkura, Nathan",,,-,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, Mitch",-,1,-,1,,1,,-,,,,,,-,-,,,,,,,,,,,3.0
"Enright, Corey",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Gamble, Ryan",,,-,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Hawkins, Tom",3,1,2,2,1,2,1,2,1,4,,,,,,,,1,-,-,2,4,3,1,-,30.0
"Hogan, Simon",,,,,1,-,-,1,,-,-,-,,-,-,-,,,,,,-,,,,2.0
"Hunt, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,1.0
"Hunt, Taylor",,,,,,,,,,,1,2,-,-,,,,,,-,-,-,,,,3.0
"Johnson, Steve",2,2,2,4,1,5,6,5,2,2,3,6,1,,,,3,5,3,5,1,3,-,1,1,63.0
"Kelly, James",1,-,-,-,-,-,-,,-,-,-,-,,-,1,-,-,1,1,-,-,-,-,-,-,4.0
"Laidler, Jeremy",,,,,,,,,,,,,,,,,,,,-,,,,,,
"Ling, Cameron",-,-,-,-,-,-,1,1,-,1,,-,1,,1,-,1,-,-,,,-,1,-,-,7.0
"Lonergan, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,-,,-,-,1.0
"Mackie, Andrew",-,-,-,-,1,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,,,4.0
"Menzel, Daniel",,,,,,,,,,,,,,,,,,,,-,1,-,,,,1.0
"Milburn, Darren",-,,,-,1,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,-,-,3.0
"Mooney, Cameron",2,5,,7,1,4,2,3,4,3,2,,3,,,2,1,4,1,4,4,2,2,1,1,58.0
"Motlop, Steven",,-,,,,,,,,,,,,,,,,,,,,,,,,
"Ottens, Brad",1,3,,2,-,1,,,,,,,,,-,-,-,-,-,1,,-,-,1,1,10.0
"Podsiadly, James",,,5,5,4,3,2,,3,4,3,5,-,6,1,-,2,,-,2,3,,,2,4,54.0
"Rooke, Max",,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Scarlett, Matthew",-,-,,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Selwood, Joel",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,,-,-,1,4.0
"Simpson, Dawson",,,-,,,,,,,,-,,,,,,,,,,,,,,,
"Stokes, Mathew",,,,,,,,-,-,2,-,1,3,1,1,1,2,-,3,1,1,-,-,3,1,20.0
"Taylor, Harry",-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,1.0
"Varcoe, Travis",,,,,,-,1,-,1,-,-,2,-,1,2,-,2,-,2,2,2,-,-,1,1,17.0
"West, Trent",,,,,,,,,,,,-,-,5,,,,-,,,,,,,,5.0
"Wojcinski, David",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,1.0
Totals,17,18,12,28,16,20,17,20,13,23,13,24,10,19,11,5,15,15,14,17,16,12,8,13,15,391.0
Opponent,ES,HW,FR,PA,CA,RI,SY,BL,CW,ME,WC,ES,SK,NM,HW,AD,BL,SY,CW,WB,CA,WC,SK,FR,CW,
