Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,SF,PF,GF,Tot
"Ablett, Gary",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,
"Atkins, Tom",-,-,-,-,,,,,,-,-,-,-,-,-,-,,-,,,,
"Bews, Jed",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Blicavs, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Clark, Jordan",-,,,,,,-,,,,,,-,,,,,,,,,
"Close, Brad",,,,,,,,-,-,-,-,,-,-,-,-,,,,,,
"Constable, Charlie",,,,,,,,-,-,,,,,,,,,,,,,
"Dahlhaus, Luke",-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,
"Dangerfield, Patrick",-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,3,-,-,-,8.0
"Duncan, Mitch",2,1,-,-,-,-,,1,-,1,-,-,2,1,2,1,-,-,-,1,-,12.0
"Fogarty, Lachie",,,,,,,,-,-,-,,-,,,-,-,,,,,,
"Fort, Darcy",-,,,-,-,-,-,,,,,,,,,,,,,,,
"Guthrie, Cameron",-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,1,5.0
"Guthrie, Zach",-,,,,,,,,,-,,,,,-,,,,,,,
"Hawkins, Tom",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2.0
"Henderson, Lachie",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henry, Jack",-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Jarvis, Ben",,,,,,,,,,,,,,,,-,,,,,,
"Jenkins, Josh",,,,,,,,,,,,,,,-,,,,,,,
"Kolodjashnij, Jake",,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Menegola, Sam",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Miers, Gryan",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Narkle, Quinton",-,-,-,,-,-,,,,,,,,,,,,,,,,
"OConnor, Mark",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3.0
"Parfitt, Brandan",,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Ratugolea, Esava",-,-,-,-,-,-,-,-,-,,,,-,,,-,-,,,,,
"Rohan, Gary",-,-,-,-,-,-,-,-,-,,-,-,-,2,2,,-,-,-,-,-,4.0
"Selwood, Joel",-,-,-,-,-,-,-,,,-,-,-,,,,,-,-,-,-,-,
"Simpson, Sam",,,,,,-,-,-,-,1,,-,,,,,,,-,-,-,1.0
"Stanley, Rhys",,-,-,,,,,,,-,-,-,-,-,,,,-,-,-,-,
"Steven, Jack",,,-,-,-,,-,,,-,-,,2,-,,,-,,,,,2.0
"Stewart, Tom",-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Taylor, Harry",-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Tuohy, Zach",-,-,-,-,-,-,-,-,-,-,1,-,,-,,-,-,-,-,-,-,1.0
Totals,3,1,1,1,2,0,0,1,0,2,1,2,6,5,5,5,1,3,1,1,1,42.0
Opponent,GW,HW,CA,ME,GC,BL,CW,FR,WC,NM,SK,PA,AD,WB,ES,RI,SY,PA,CW,BL,RI,
