Player,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,Tot
"Ablett, Gary",23,34,,26,30,20,41,31,32,38,34,24,34,3,27,36,34,,28,39,28,43,605.0
"Ablett, Nathan",,,,,,,,,,,,,,,,,,,,10,12,,22.0
"Bennell, Harley",17,16,,12,19,,,,24,,,,,24,12,17,16,21,12,18,15,23,246.0
"Bock, Nathan",22,22,18,11,,17,8,24,21,14,21,24,19,18,21,18,28,27,27,29,18,18,425.0
"Brennan, Jared",10,18,21,23,23,30,13,23,15,17,12,17,27,20,13,19,17,21,21,22,13,14,409.0
"Brown, Campbell",12,21,,,,,11,14,19,8,13,9,14,17,16,23,15,2,,,,,194.0
"Caddy, Josh",,,,,,,,,,,,,,,,,,,,,10,16,26.0
"Coad, Michael",,20,14,,,,,,,,,,,,,,,,,,,,34.0
"Day, Sam",,,,,,7,10,9,9,8,3,,6,,,,,,,,,,52.0
"Daye, Joseph",,,,,,10,9,,,,,,,,,,,,7,13,,,39.0
"Dixon, Charlie",7,3,10,18,3,,,10,,,,5,,6,8,,,,7,,,,77.0
"Fraser, Josh",13,,20,17,8,,,,12,20,14,14,14,,14,19,13,12,19,16,,12,237.0
"Gillbee, Jacob",,,,,,,,,,,,,,,,,,,,,,8,8.0
"Gorringe, Daniel",,15,9,3,,1,,,,,13,,6,12,,,,,,,,,59.0
"Harbrow, Jarrod",19,23,12,22,23,21,25,26,19,13,22,25,16,25,17,14,27,23,18,25,24,11,450.0
"Harris, Daniel",30,16,20,20,17,23,,9,15,17,16,,,,,,,10,,,,,193.0
"Hickey, Tom",,,,,,,,,,,,,,,,,,,,14,5,,19.0
"Hine, Taylor",,,,,,,,,3,,,,,,,,,,,,,,3.0
"Hunt, Karmichael",5,10,9,7,6,4,8,12,,,11,13,9,7,,,5,,,9,4,13,132.0
"Hutchins, Jack",,,,6,11,7,,,,,18,10,10,,,,,,,,,,62.0
"Iles, Sam",,,,17,15,16,22,14,18,17,21,24,22,23,23,21,,11,23,,20,,307.0
"Jolly, Hayden",,,,,,,,,,,,14,20,22,12,,17,13,,,,,98.0
"Krakouer, Nathan",8,9,,,,16,16,14,9,9,9,12,,,,12,10,6,8,,,,138.0
"Liddy, Rex",,,,,,,,,,5,8,,,,6,5,,,,,,,24.0
"Lock, Marc",8,,,,,,,,,,,,,,,,,,,,,,8.0
"Lynch, Tom",,,,,,17,19,16,5,6,15,10,,5,14,9,9,14,9,,,,148.0
"Magin, Alik",13,6,7,,,,,,,,,,,,,,,,,,,,26.0
"Matera, Brandon",14,10,12,21,7,10,12,9,,,,,8,9,,,,,,,18,26,156.0
"May, Steven",,,,,16,,15,13,12,6,,,,,,,8,12,20,8,,,110.0
"McKenzie, Trent",16,13,20,18,17,14,15,14,20,20,15,,24,22,21,17,17,20,12,10,17,17,359.0
"Nicholls, Tom",,,,,,,11,,,,,,,,,,,,,,,,11.0
"Patrick, Liam",,,,,7,10,2,,,,,,,,,,,,,,,,19.0
"Prestia, Dion",15,20,10,,,,,9,10,19,11,22,15,18,18,16,22,,9,21,24,21,280.0
"Rischitelli, Michael",31,17,24,31,19,29,21,22,25,27,21,27,,18,24,18,22,22,20,24,30,25,497.0
"Russell, Luke",,,11,5,11,,,,,9,12,5,10,11,,,,,,14,15,15,118.0
"Shaw, Matt",,,7,,11,11,21,15,,,8,12,6,,8,13,4,,15,18,14,15,178.0
"Smith, Zac",16,10,11,9,9,22,20,14,21,20,,13,11,10,15,11,12,8,8,,10,18,268.0
"Stanley, Danny",13,14,19,22,18,13,28,19,11,25,22,19,23,23,21,23,24,18,15,33,22,20,445.0
"Swallow, David",17,21,19,21,19,21,19,17,18,15,,21,28,22,24,22,21,20,19,9,25,15,413.0
"Tape, Seb",11,8,20,11,13,,10,,6,7,,,8,,,,,19,11,12,7,,143.0
"Taylor, Jeremy",,,,,,,,,,,,,,,,,17,18,,,,,35.0
"Thompson, Rory",,,,,,,,,,,,,,16,8,11,14,6,,11,12,10,88.0
"Tippett, Joel",,,,,,,,,,,,,,,,,,,,7,,4,11.0
"Toy, Josh",12,,16,11,14,9,,,,,,,,,12,12,,,,,,7,93.0
"Weller, Maverick",,12,11,17,,,,13,15,15,17,6,,,,16,13,17,13,11,15,12,203.0
"Wilkinson, Joel",,,,,,,,,,,,10,13,17,11,11,,11,11,,,,84.0
Totals,332,338,320,348,316,328,356,347,339,335,336,336,343,348,345,363,365,331,332,373,358,363,7552.0
Opponent,CA,WB,ME,PA,ES,BL,AD,GE,WC,NM,HW,WB,FR,SY,RI,CW,SK,GE,BL,AD,ME,HW,
