Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ablett, Gary",3,3,9,3,2,5,3,3,2,3,3,5,4,11,4,,,,,,,,63.0
"Bennell, Harley",,,,,,,3,2,2,,1,1,1,1,3,-,4,3,5,4,3,3,36.0
"Broughton, Greg",1,4,2,2,3,3,3,-,-,-,-,-,-,3,1,1,2,1,2,,,2,30.0
"Cameron, Clay",3,-,1,1,,,,,,1,1,,,,,,1,,,,2,2,12.0
"Day, Sam",4,3,4,3,4,2,1,3,2,2,1,1,1,1,1,4,3,1,-,3,3,1,48.0
"Dixon, Charlie",2,-,,,,,2,-,3,2,-,4,1,1,1,2,1,,,-,,,19.0
"Gorringe, Daniel",,,,,,,,,,,,,,,,,,1,2,3,,,6.0
"Hall, Aaron",-,2,1,9,2,3,2,-,5,3,,1,,,1,3,2,4,1,,,,39.0
"Harbrow, Jarrod",3,4,1,5,-,1,4,-,-,4,3,1,2,4,5,5,1,2,5,2,3,3,58.0
"Herbert, Louis",,,,,,,,,,,,,,,,,1,-,,1,,,2.0
"Hunt, Karmichael",,,,,,,,,,,3,,,,,,,,,,,,3.0
"Hutchins, Jack",,,,1,1,-,,,,,,,,,,,,,,,,,2.0
"Kolodjashnij, Kade",,6,5,2,-,1,3,,1,-,1,2,5,1,1,1,,,3,6,2,2,42.0
"Lemmens, Sean",1,4,1,2,3,3,4,1,3,1,,,,,2,2,5,4,3,4,2,2,47.0
"Leslie, Jack",,,,,,,,,,,,,,,,,,,,,2,-,2.0
"Lonergan, Jesse",,,,,,,,,,,,,,1,1,2,3,-,4,2,-,1,14.0
"Lynch, Tom",-,2,2,1,2,2,-,3,1,3,2,1,1,3,2,5,5,3,3,4,4,-,49.0
"Martin, Jack",-,,,,,,,,,,,,3,2,2,2,4,3,2,3,2,1,24.0
"Matera, Brandon",4,1,2,,-,-,-,1,3,-,2,1,-,,,,,,3,1,2,2,22.0
"May, Steven",5,5,5,2,2,3,1,4,3,4,4,1,3,-,5,1,2,2,2,,,,54.0
"McKenzie, Trent",2,6,1,-,3,1,5,2,-,2,1,2,3,4,2,,,2,2,1,2,,41.0
"Murphy, Tom",,,,,,,,,,,,,,,,1,,,,,,,1.0
"Nicholls, Tom",4,1,5,4,5,,-,,,,,,,,,,,,,,,,19.0
"OMeara, Jaeger",4,1,2,2,5,2,4,5,2,4,2,2,2,2,-,3,3,3,2,3,3,2,58.0
"Prestia, Dion",1,2,6,6,7,6,2,-,6,4,1,2,-,1,2,1,3,1,1,3,3,3,61.0
"Rischitelli, Michael",4,5,2,4,3,-,3,2,2,3,-,-,2,4,-,1,,1,-,1,2,1,40.0
"Russell, Luke",,,-,-,4,2,-,1,1,1,2,1,4,1,,,1,,,,,,18.0
"Sexton, Alex",,,,,,,,1,4,3,,1,2,-,-,3,3,2,1,1,1,2,24.0
"Shaw, Matt",1,4,1,3,-,2,1,-,1,5,3,2,-,3,,-,1,2,2,,-,1,32.0
"Smith, Zac",,,,,,,,3,5,1,1,1,-,3,3,1,1,,,,,,19.0
"Stanley, Danny",2,5,1,3,1,2,2,2,-,1,1,3,5,3,5,2,4,1,4,3,3,1,54.0
"Sumner, Timmy",2,2,,,,1,,,,,,,,,,,,1,,3,-,,9.0
"Swallow, David",2,-,2,3,1,6,5,3,1,4,2,2,5,6,2,1,5,2,5,9,2,2,70.0
"Tape, Seb",,,,,,,,,,,,,,,,,,,,-,2,1,3.0
"Thompson, Rory",,1,-,4,1,-,1,-,,,1,-,1,-,-,-,2,2,2,-,-,1,16.0
"Warnock, Matthew",-,,1,-,1,3,,,,,,,,,,,,,,,,2,7.0
Totals,48,61,54,60,50,48,49,36,47,51,35,34,45,55,43,41,57,41,54,57,43,35,1044.0
Opponent,RI,FR,BL,HW,ME,GW,NM,SK,WB,AD,SY,WC,GE,HW,CW,WB,BL,SK,CA,PA,ES,WC,
