Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ah Chee, Callum",,,,,,,-,2,2,1,1,1,-,,-,2,3,,1,-,-,-,13.0
"Ainsworth, Ben",1,-,-,-,1,-,2,1,1,3,-,-,-,1,,,,,,-,-,,10.0
"Ballard, Charlie",,,,,,,-,1,-,1,2,-,-,-,1,-,1,,,,,,6.0
"Barlow, Michael",,,,,,1,,,,,,,,,,,,,,,1,2,4.0
"Bowes, Jack",2,3,,-,-,-,-,-,3,-,1,-,,,,,,1,-,2,2,1,15.0
"Brodie, Will",,,,,,,,,,-,1,,,,1,1,-,-,-,1,,,4.0
"Crossley, Brayden",,,,,,,2,3,2,,,,,-,1,-,2,,,1,2,1,14.0
"Dawson, Jacob",,,,,,,,,,,,,1,1,,,,,1,,,,3.0
"Day, Sam",1,1,1,1,1,2,-,2,,-,-,1,-,,,,,,,,,,10.0
"Fiorini, Brayden",-,2,-,1,-,-,,,,,,,,,,,,-,4,2,2,1,12.0
"Hall, Aaron",,-,-,1,,,,2,1,-,,,,,,,,,,,,,4.0
"Hanley, Pearce",,,1,,,,,,,,,,,,,,,,-,-,,,1.0
"Harbrow, Jarrod",-,1,-,-,-,-,1,-,2,1,3,1,-,1,-,-,1,1,-,-,1,1,14.0
"Heron, Jacob",,,,,,,,,2,-,1,,,,,,-,2,-,,1,-,6.0
"Holman, Nick",2,1,-,-,4,-,1,1,4,1,3,1,4,1,2,2,2,1,-,1,1,1,33.0
"Joyce, Jesse",-,-,1,3,2,1,1,,,-,1,2,1,1,2,-,-,1,,-,-,-,16.0
"Kolodjashnij, Kade",-,1,-,-,,,,,,,,,,,,,-,-,1,-,,,2.0
"Lemmens, Sean",,,,,,,,,,,,2,-,-,1,2,-,-,1,,1,-,7.0
"Leslie, Jack",,,,,,,,-,-,,-,1,-,,,,,,-,-,-,-,1.0
"Lonergan, Jesse",,,,,1,1,,,,,,,,,,,-,-,2,,,,4.0
"Lynch, Tom",3,4,2,1,1,-,,,,-,-,2,-,,,,,,,,,,13.0
"Lyons, Jarryd",1,2,3,3,-,3,1,1,-,,,2,1,1,-,4,-,-,,-,-,1,23.0
"Macpherson, Darcy",-,-,2,1,2,,,,,,,,,,,,,,,,,,5.0
"Martin, Jack",1,3,2,4,-,-,1,2,,1,3,1,3,1,-,2,,,,,,,24.0
"May, Steven",1,1,1,-,-,-,,-,2,1,,,,2,1,-,2,2,,-,-,1,14.0
"Miller, Touk",3,-,3,-,3,1,1,2,2,6,-,-,5,1,1,1,2,1,2,-,3,1,38.0
"Powell, Wil",,,,,,,,,,,,,,-,4,-,3,-,1,2,,,10.0
"Rischitelli, Michael",-,-,1,-,-,,1,-,1,-,1,-,3,-,-,-,1,-,-,-,-,1,9.0
"Rosa, Matt",3,,,,1,-,1,,-,,,,,,,,,,,,,,5.0
"Scheer, Brad",,,,,,,1,1,-,,-,,,,,,,,,,1,2,5.0
"Schoenfeld, Josh",,,,,,,,,,,,2,1,1,1,-,,,,,,-,5.0
"Sexton, Alex",-,1,-,1,-,1,1,-,1,-,2,-,-,-,-,-,2,1,-,-,1,-,11.0
"Spencer, Max",,,,,,-,1,,,,,,,,,,,,-,,,,1.0
"Swallow, David",1,2,1,1,1,2,2,-,3,2,-,1,1,2,1,2,,1,,3,-,3,29.0
"Thompson, Rory",-,-,1,-,-,-,2,-,1,-,-,-,,-,-,1,-,-,,,,,5.0
"Weller, Lachie",-,-,-,-,1,-,1,1,1,1,-,1,1,-,-,-,1,1,2,-,3,2,16.0
"Witts, Jarrod",2,2,1,2,3,2,2,1,6,2,1,2,-,-,-,-,1,1,-,3,1,-,32.0
"Wright, Peter",,,,,,,,,,,,,3,1,-,1,-,2,-,,,,7.0
"Young, Aaron",1,-,2,-,2,-,2,1,2,-,3,1,-,-,1,2,4,1,-,2,-,-,24.0
Totals,22,24,22,19,23,14,24,21,36,20,23,21,24,14,17,20,25,16,15,17,20,18,455.0
Opponent,NM,CA,FR,WC,BL,AD,WB,ME,PA,GE,GW,SK,HW,CW,NM,ES,SY,CA,ME,RI,BL,GE,
