Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ah Chee, Callum",,,,,,,,,,,,,2,,,,,,,,,,2.0
"Ainsworth, Ben",1,,,-,-,1,1,1,1,1,,,,,,,,,-,-,-,-,6.0
"Ballard, Charlie",2,2,-,1,-,-,1,-,-,-,-,2,-,1,1,1,2,,-,-,1,3,17.0
"Bowes, Jack",-,1,-,-,1,1,2,1,-,4,-,,,,,,,,-,1,2,2,15.0
"Brodie, Will",,,,,1,1,,,,,,2,1,-,-,-,1,,,,,,6.0
"Burgess, Chris",-,1,1,2,-,,,,,-,-,1,,,,,2,1,-,-,1,-,9.0
"Collins, Sam",2,2,1,-,-,1,1,2,1,,,,,,,,,,,,,,10.0
"Corbett, Josh",,,,,,1,-,-,-,1,2,2,,,2,-,,,,,,,8.0
"Dawson, Jacob",,,,,,,,,,,,,,,,,1,1,-,-,1,-,3.0
"Day, Sam",,,,,,,,,,,,,-,-,-,-,-,1,2,-,-,1,4.0
"Ellis, Corey",,,,,,,,,,,,,-,-,,,-,-,,,,,
"Fiorini, Brayden",-,-,-,1,-,-,-,,-,-,-,-,1,-,-,1,-,1,-,2,-,1,7.0
"Graham, Caleb",,,,,,,,,,,,,,,,,,,,1,-,-,1.0
"Hanley, Pearce",1,-,1,-,1,3,,-,,,,,,2,2,1,1,-,-,-,1,2,15.0
"Harbrow, Jarrod",-,2,1,-,1,2,1,-,2,1,,-,1,-,2,-,1,2,-,3,1,-,20.0
"Heron, Jacob",,,,,,,,,,,,,,,-,-,1,-,,-,,,1.0
"Holman, Nick",,2,-,1,1,3,-,1,2,-,1,2,-,,,,,,,,,,13.0
"Hombsch, Jack",1,-,-,-,1,-,-,-,2,-,3,2,-,2,-,1,-,-,,,,,12.0
"Horlin-Smith, George",2,,,,-,-,2,,,,-,,-,,,,,,,,2,,6.0
"Joyce, Jesse",,-,2,-,-,1,-,,2,-,-,2,1,-,1,1,1,-,,,,,11.0
"King, Ben",,,,,,,,,-,-,2,-,-,-,-,2,1,-,-,-,-,1,6.0
"Lemmens, Sean",,,,,,,,-,,,,,,,,-,1,1,1,1,3,1,8.0
"Lukosius, Jack",-,1,1,-,-,-,,1,-,-,-,1,2,2,1,-,1,-,-,1,-,-,11.0
"Macpherson, Darcy",2,-,3,1,-,1,-,2,4,-,1,1,2,-,2,1,2,-,1,2,-,-,25.0
"Martin, Jack",1,1,3,3,2,2,-,-,1,1,2,2,-,1,1,,,,1,,,,21.0
"Miles, Anthony",-,-,3,1,,,1,-,1,-,1,2,1,1,1,2,,-,3,2,,,19.0
"Miller, Touk",3,-,2,2,2,-,-,2,,,,-,,-,-,3,-,-,3,-,-,1,18.0
"Murdoch, Jordan",1,-,-,-,-,-,-,-,1,1,-,1,,,,,,,,,-,-,4.0
"Powell, Wil",-,1,1,-,,,1,-,1,1,-,2,1,1,-,,,,,,,,9.0
"Rischitelli, Michael",,,,,,,,,,,,,,,,-,-,-,-,2,1,-,3.0
"Scheer, Brad",,,,,,,,,,,,,,1,1,-,,,,,,,2.0
"Schoenfeld, Josh",,,,,,,,,,,1,,,,,,,,,,,,1.0
"Sexton, Alex",1,-,1,1,1,-,2,-,1,1,2,1,1,1,1,1,2,1,1,1,1,-,21.0
"Swallow, David",-,-,4,-,2,1,2,2,3,1,2,2,-,1,-,1,-,-,2,2,-,2,27.0
"Weller, Lachie",1,1,-,,,,,1,1,-,-,1,-,-,1,-,,2,1,1,-,2,12.0
"Witts, Jarrod",-,1,2,-,1,2,1,2,-,1,-,1,-,1,3,2,-,1,1,1,1,1,22.0
"Wright, Peter",-,-,1,-,1,-,-,1,-,-,1,-,-,1,,,1,-,1,,,,7.0
"Young, Aaron",,,,,,,-,,,,,,,,,,,,,,,-,
Totals,18,15,27,13,15,20,15,16,23,13,18,27,13,15,19,17,18,11,17,20,15,17,382.0
Opponent,SK,FR,WB,CA,AD,BL,WC,ME,PA,GE,GW,NM,SK,SY,RI,AD,CA,ES,CW,BL,HW,GW,
