Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ah Chee, Callum",,,,,,,,,,,,,-,,,,,,,,,,
"Ainsworth, Ben",1,,,1,-,-,1,2,1,-,,,,,,,,,-,1,2,-,9.0
"Ballard, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Bowes, Jack",-,-,1,1,1,-,1,1,-,-,1,,,,,,,,-,-,-,-,6.0
"Brodie, Will",,,,,-,-,,,,,,-,-,1,1,-,-,,,,,,2.0
"Burgess, Chris",1,2,2,-,-,,,,,-,-,-,,,,,-,-,-,-,-,1,6.0
"Collins, Sam",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
"Corbett, Josh",,,,,,2,3,2,1,1,1,1,,,-,1,,,,,,,12.0
"Dawson, Jacob",,,,,,,,,,,,,,,,,-,-,-,-,-,-,
"Day, Sam",,,,,,,,,,,,,1,2,1,2,1,2,2,2,1,2,16.0
"Ellis, Corey",,,,,,,,,,,,,1,-,,,-,1,,,,,2.0
"Fiorini, Brayden",1,-,-,-,-,1,-,,-,1,-,-,1,1,-,-,-,-,-,-,-,-,5.0
"Graham, Caleb",,,,,,,,,,,,,,,,,,,,-,-,-,
"Hanley, Pearce",-,-,-,-,-,-,,-,,,,,,-,-,-,-,-,-,-,-,-,
"Harbrow, Jarrod",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Heron, Jacob",,,,,,,,,,,,,,,-,-,-,-,,-,,,
"Holman, Nick",,-,-,1,1,1,1,-,-,-,1,2,-,,,,,,,,,,7.0
"Hombsch, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Horlin-Smith, George",-,,,,-,-,-,,,,2,,-,,,,,,,,-,,2.0
"Joyce, Jesse",,-,-,-,-,1,-,,-,-,-,1,-,-,-,-,-,-,,,,,2.0
"King, Ben",,,,,,,,,-,-,3,2,3,1,-,-,4,4,2,-,2,3,24.0
"Lemmens, Sean",,,,,,,,2,,,,,,,,-,-,-,1,-,-,-,3.0
"Lukosius, Jack",1,-,1,-,-,-,,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,4.0
"Macpherson, Darcy",-,1,-,2,-,1,-,-,-,-,-,-,-,2,1,-,-,1,1,-,1,3,13.0
"Martin, Jack",-,3,2,-,-,-,-,-,-,-,1,-,-,-,1,,,,1,,,,8.0
"Miles, Anthony",1,-,1,-,,,1,-,1,-,-,-,1,-,1,-,,1,-,-,,,7.0
"Miller, Touk",-,-,-,-,-,-,-,-,,,,-,,-,-,-,-,1,-,-,-,-,1.0
"Murdoch, Jordan",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,
"Powell, Wil",-,-,1,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,1.0
"Rischitelli, Michael",,,,,,,,,,,,,,,,-,-,1,-,1,1,-,3.0
"Scheer, Brad",,,,,,,,,,,,,,2,-,-,,,,,,,2.0
"Schoenfeld, Josh",,,,,,,,,,,1,,,,,,,,,,,,1.0
"Sexton, Alex",-,3,2,1,1,3,1,-,1,3,-,-,-,-,-,1,1,-,1,1,-,2,21.0
"Swallow, David",2,2,1,-,-,1,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,1,11.0
"Weller, Lachie",-,-,-,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Witts, Jarrod",-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,3.0
"Wright, Peter",-,2,1,2,4,2,1,1,-,-,1,1,-,3,,,2,1,-,,,,21.0
"Young, Aaron",,,,,,,-,,,,,,,,,,,,,,,1,1.0
Totals,7,13,12,8,7,12,9,8,4,8,11,8,8,12,7,4,9,13,8,5,7,13,193.0
Opponent,SK,FR,WB,CA,AD,BL,WC,ME,PA,GE,GW,NM,SK,SY,RI,AD,CA,ES,CW,BL,HW,GW,
