Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,Tot
"Ainsworth, Ben",-,-,-,-,-,-,-,-,1,1,-,-,1,2,-,,-,5.0
"Anderson, Noah",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Ballard, Charlie",,1,2,2,2,3,-,1,-,1,3,2,-,1,-,1,1,20.0
"Bowes, Jack",1,1,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,6.0
"Brodie, Will",-,,,,,,,,,,,,,,,,,
"Budarick, Connor",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,,2.0
"Collins, Sam",3,-,1,2,2,1,1,1,1,1,-,-,2,-,2,-,1,18.0
"Corbett, Josh",,,,,,,,,,,-,2,1,2,3,-,-,8.0
"Day, Sam",-,-,-,-,2,1,-,-,1,1,2,1,1,3,1,1,-,14.0
"Ellis, Brandon",1,,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Farrar, Jy",,,,,,,,,,,,,,,,,-,
"Fiorini, Brayden",-,-,,,,-,,,,,-,-,,,,,,
"Flanders, Sam",,,,,,,,,,,-,1,-,-,-,,,1.0
"Graham, Caleb",-,,,,,,,,,,,1,-,-,1,-,2,4.0
"Greenwood, Hugh",-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,4.0
"Hanley, Pearce",,1,1,-,-,1,-,-,-,,,,,,,,,3.0
"Harbrow, Jarrod",,-,-,1,-,-,-,-,-,1,-,,-,,,-,-,2.0
"Holman, Nick",-,-,-,-,-,-,-,-,-,-,,-,,,,-,,
"Joyce, Jesse",-,,,,,,,,,,,,,,,,,
"King, Ben",1,2,1,-,1,1,-,1,1,1,-,1,-,3,2,-,-,15.0
"Lemmens, Sean",1,1,,,,,,,,-,-,,-,,,-,,2.0
"Lukosius, Jack",1,-,1,-,-,-,-,-,1,2,-,1,1,1,-,-,1,9.0
"Macpherson, Darcy",-,-,-,-,-,-,-,-,-,,,,,-,-,-,,
"Miller, Touk",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Powell, Wil",,-,-,-,-,,-,-,1,1,-,2,-,-,1,-,-,5.0
"Rankine, Izak",,,,,,-,1,1,-,1,1,-,-,-,-,-,-,4.0
"Rowell, Matt",-,-,-,-,-,,,,,,,,,,,,,
"Sexton, Alex",,-,-,-,-,-,-,-,1,-,,-,,-,-,1,-,2.0
"Sharp, Jeremy",,,,,,,,,,-,,,,,,,-,
"Swallow, David",1,,-,-,1,-,-,2,-,-,-,,-,-,-,-,-,4.0
"Weller, Lachie",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Witts, Jarrod",-,-,3,2,1,-,2,1,-,-,-,-,-,-,-,-,-,9.0
Totals,9,7,11,11,9,9,5,7,9,11,7,11,6,12,11,4,5,144.0
Opponent,PA,WC,AD,FR,GE,ME,SY,WB,GW,SK,ES,RI,CA,NM,BL,CW,HW,
