Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,Tot
"Ainsworth, Ben",3,9,7,5,2,1,7,2,2,8,4,9,2,4,8,,7,80.0
"Anderson, Noah",6,7,5,2,8,10,3,2,10,7,6,15,1,10,13,8,9,122.0
"Ballard, Charlie",,2,4,3,4,2,3,7,4,1,-,3,3,1,5,1,1,44.0
"Bowes, Jack",9,3,6,6,7,9,6,4,3,5,3,5,6,8,6,4,5,95.0
"Brodie, Will",10,,,,,,,,,,,,,,,,,10.0
"Budarick, Connor",5,6,5,1,2,5,2,5,3,3,1,-,1,3,4,,,46.0
"Collins, Sam",4,2,5,1,1,7,2,6,5,7,2,2,3,6,6,5,4,68.0
"Corbett, Josh",,,,,,,,,,,4,2,2,2,4,3,-,17.0
"Day, Sam",6,10,1,5,6,3,2,2,3,8,3,1,5,7,6,4,7,79.0
"Ellis, Brandon",6,,4,7,7,3,4,8,7,11,6,3,4,6,7,10,6,99.0
"Farrar, Jy",,,,,,,,,,,,,,,,,3,3.0
"Fiorini, Brayden",5,7,,,,4,,,,,3,1,,,,,,20.0
"Flanders, Sam",,,,,,,,,,,5,4,1,1,3,,,14.0
"Graham, Caleb",1,,,,,,,,,,,2,1,3,4,1,2,14.0
"Greenwood, Hugh",9,5,4,4,7,9,9,9,5,11,7,5,4,10,14,9,9,130.0
"Hanley, Pearce",,1,5,3,3,5,2,3,4,,,,,,,,,26.0
"Harbrow, Jarrod",,4,2,2,1,5,3,3,5,6,1,,4,,,4,3,43.0
"Holman, Nick",5,2,6,8,6,6,3,7,8,10,,6,,,,6,,73.0
"Joyce, Jesse",5,,,,,,,,,,,,,,,,,5.0
"King, Ben",2,1,6,5,-,-,-,1,2,1,1,3,3,2,-,2,4,33.0
"Lemmens, Sean",3,6,,,,,,,,4,3,,3,,,-,,19.0
"Lukosius, Jack",2,2,4,2,2,4,7,3,4,8,3,6,4,3,3,1,1,59.0
"Macpherson, Darcy",5,8,11,3,3,2,5,2,4,,,,,2,9,4,,58.0
"Miller, Touk",11,10,10,8,8,13,11,14,4,6,4,13,7,12,7,12,13,163.0
"Powell, Wil",,12,9,10,3,,3,3,7,5,2,3,4,5,7,8,14,95.0
"Rankine, Izak",,,,,,4,4,4,4,4,4,5,2,4,6,3,4,48.0
"Rowell, Matt",13,15,10,10,1,,,,,,,,,,,,,49.0
"Sexton, Alex",,2,1,3,1,2,5,2,1,-,,2,,1,2,4,2,28.0
"Sharp, Jeremy",,,,,,,,,,4,,,,,,,5,9.0
"Swallow, David",4,,5,7,10,7,13,5,5,14,7,,4,10,6,7,12,116.0
"Weller, Lachie",6,11,9,7,3,7,8,4,6,8,8,9,4,9,8,11,8,126.0
"Witts, Jarrod",3,5,5,4,4,5,8,5,4,4,5,3,4,7,2,5,-,73.0
Totals,123,130,124,106,89,113,110,101,100,135,82,102,72,116,130,112,119,1864.0
Opponent,PA,WC,AD,FR,GE,ME,SY,WB,GW,SK,ES,RI,CA,NM,BL,CW,HW,
