Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,Tot
"Ainsworth, Ben",1,2,-,-,2,-,1,,,-,-,-,-,-,1,7.0
"Anderson, Noah",-,-,-,2,-,-,-,-,3,-,-,1,-,2,2,10.0
"Andrew, Mac",,,,-,-,1,,,-,1,-,,1,-,2,5.0
"Atkins, Rory",,,,,,,1,-,-,-,-,2,-,-,-,3.0
"Ballard, Charlie",1,-,-,1,-,1,2,1,-,-,1,1,1,-,1,10.0
"Berry, Tom",,,,,,,,1,2,1,-,-,-,,,4.0
"Casboult, Levi",-,1,-,1,,-,,1,,-,-,-,2,-,-,5.0
"Chol, Mabior",-,,,,-,2,-,-,1,,,,,,,3.0
"Collins, Sam",1,1,-,2,-,-,1,2,-,-,-,1,-,-,-,8.0
"Constable, Charlie",-,1,,,,,,,,,,,,,,1.0
"Davies, Alex",-,,,,,,-,2,2,1,-,-,1,,,6.0
"Day, Sam",,,,,,,,,1,-,,,,,,1.0
"Ellis, Brandon",,,,,1,-,-,1,-,-,,,,1,-,3.0
"Farrar, Jy",2,,2,,,,,,,,2,-,,,,6.0
"Fiorini, Brayden",-,1,,,2,1,1,1,-,1,-,-,-,1,-,8.0
"Flanders, Sam",-,-,1,,,,,-,,,,,,1,1,3.0
"Hollands, Elijah",-,-,-,1,,,,,,,,,,,,1.0
"Holman, Nick",1,1,1,-,1,-,2,,,-,1,-,2,-,1,10.0
"Humphrey, Bailey",,,,1,1,1,-,3,-,-,-,2,1,-,-,9.0
"Jeffrey, Joel",-,2,1,-,,,,,,,-,1,-,,,4.0
"King, Ben",-,-,1,2,-,2,3,2,-,3,1,6,-,1,1,22.0
"Lemmens, Sean",,,,,2,1,-,1,-,-,,,,,,4.0
"Long, Ben",-,-,1,-,-,1,-,-,,,-,1,-,-,-,3.0
"Lukosius, Jack",2,2,-,-,1,2,1,1,-,-,1,-,2,1,-,13.0
"Macpherson, Darcy",1,-,1,2,-,-,-,-,-,3,-,3,1,-,2,13.0
"Miller, Touk",2,2,1,1,2,1,,,,,,,,,,9.0
"Moyle, Ned",,,,-,-,,,,,,,,,,,
"Oea, Hewago",,,-,-,,,,,2,,,,,-,-,2.0
"Powell, Wil",,,-,1,1,-,1,-,1,3,-,2,-,1,1,11.0
"Rosas, Malcolm",,2,1,-,-,-,1,-,-,-,1,1,1,1,-,8.0
"Rowell, Matt",4,1,1,3,2,1,2,2,1,-,4,5,1,1,2,30.0
"Sexton, Alex",,-,-,1,-,,-,,,,,,-,,,1.0
"Swallow, David",1,1,2,1,-,-,-,1,-,1,1,3,2,-,-,13.0
"Tsitas, James",,,,,,,,-,-,,,,,,,
"Uwland, Bodhi",1,1,,,,,,,,,,-,,,,2.0
"Weller, Lachie",,-,-,-,-,1,-,,,,,,,-,2,3.0
"Witts, Jarrod",4,-,2,,,2,2,4,1,2,1,-,4,1,-,23.0
Totals,21,18,15,19,15,17,18,23,14,16,13,29,19,11,16,264.0
Opponent,SY,ES,GE,SK,FR,NM,RI,ME,WC,BL,WB,AD,CA,HW,CW,
