Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Ash, Lachie",83,81,86,78,83,88,83,86,88,80,82,82,-,-,81,78,,82,81,81,88,87,77,83,75.6/2174:45
"Briggs, Kieren",,,,,,,,,59,,,,65,66,,,,,,69,,69,,,65.6/414:15
"Brown, Callum",,,,,,,,,,,-,,,,,,,,,71,,,,,34.5/89:56
"Bruhn, Tanner",75,63,,,,63,,68,32,,,,,,,,75,61,23,63,65,63,23,58,56.4/916:22
"Buckley, Jack",77,80,84,83,87,83,95,87,91,90,84,96,91,93,4,,,,,,,,,,82.1/1542:34
"Buntine, Matt",,,82,81,37,,43,,85,81,90,,,,,,,,,78,,,,,72.4/729:29
"Coniglio, Stephen",86,83,31,,,,,,,,,,,,,,85,,,,,17,73,82,65.0/576:15
"Cumming, Isaac",83,84,83,79,78,78,82,77,79,81,81,83,77,87,82,81,81,81,81,84,81,82,60,81,80.3/2405:26
"Daniels, Brent",,67,80,83,81,81,10,,,,,,,77,75,74,80,80,80,59,,,,,71.6/1143:02
"Davis, Phil",89,86,18,,,,,,,,,,86,78,89,82,85,92,62,,,,,82,76.9/1051:49
"Finlayson, Jeremy",,,,69,73,79,85,83,,83,86,79,81,84,81,45,70,,,,,,,,76.7/1241:07
"Flynn, Matt",68,79,77,,,79,,,72,69,78,73,75,73,75,,55,,,,,,,,72.7/1097:06
"Green, Tom",68,,78,63,64,65,79,76,71,75,75,78,61,,73,72,82,70,70,,,,56,,70.9/1596:48
"Greene, Toby",89,91,95,90,93,88,88,93,94,,,86,87,89,88,98,,,90,90,,89,89,,90.4/2036:10
"Haynes, Nick",89,81,91,82,86,9,,,,85,87,80,92,85,90,85,88,87,88,83,83,86,87,88,82.4/2165:31
"Hill, Bobby",66,74,75,68,58,80,72,73,76,83,82,75,68,75,77,67,,,,,,,,55,71.9/1536:56
"Himmelberg, Harry",89,92,91,92,91,92,96,90,93,93,86,95,95,91,91,89,95,89,90,90,90,92,89,89,91.2/2734:13
"Hogan, Jesse",,,,,,,84,,73,,,,,,,87,85,85,82,,88,86,81,,83.4/927:52
"Hopper, Jacob",83,83,88,75,84,79,81,75,85,86,81,79,81,80,78,83,78,78,73,,76,79,77,81,80.2/2303:02
"Idun, Connor",78,,90,83,85,85,87,82,85,89,87,85,88,89,89,87,84,86,83,81,83,85,82,79,84.8/2442:38
"Keeffe, Lachlan",86,92,95,94,95,92,92,97,,,,,,,,,,,,,,,,,92.8/932:39
"Kelly, Josh",82,87,91,86,89,84,85,84,77,82,90,85,85,79,82,81,56,86,84,,82,84,82,90,83.2/2390:43
"Kennedy, Adam",,,,,,,,,,,,81,81,76,83,83,91,83,,,82,82,,,82.4/912:54
"Lloyd, Daniel",,,,,,,,72,81,80,76,81,85,84,82,80,84,87,85,,81,89,81,86,82.1/1637:17
"Mumford, Shane",,,,85,88,,78,80,,68,60,72,,,77,78,,77,79,,76,,85,88,77.9/1349:57
"OHalloran, Xavier",-,,87,90,81,77,84,87,88,-,78,-,,,,,83,77,82,79,80,66,,,66.6/1423:08
"Peatling, James",,,,,,,,,,,,,,,,,,,70,82,82,,,11,60.8/304:05
"Perryman, Harry",81,82,,,,81,73,80,50,,,,85,86,86,86,79,77,81,81,79,87,88,83,80.3/1794:36
"Reid, Sam",85,80,,,43,,72,,,78,84,91,81,83,81,83,87,84,67,,,,76,,78.3/1458:36
"Riccardi, Jake",,,,90,81,77,,,83,85,89,,,,,,,-,,84,-,,,,66.4/747:02
"Shipley, Nick",,-,66,-,,,,,,,,,,,,,,,,22,,,,,22.8/113:52
"Sproule, Zach",,89,,,,,,76,,75,85,,,,,,23,,,83,66,64,78,70,70.9/889:32
"Stein, Jake",,,,,,,,,,,,83,,,,,,,,88,95,77,88,86,86.1/647:12
"Stone, Conor",,,,70,68,78,,-,,,,,,,,,,,,,,,,78,58.8/371:20
"Taranto, Tim",89,79,82,86,80,85,80,82,81,78,81,78,85,83,82,82,77,83,80,87,83,81,86,84,82.3/2466:47
"Taylor, Sam",95,94,94,93,92,93,96,92,91,93,,,,,,96,96,88,97,98,85,97,96,95,93.8/2228:27
"Ward, Callan",79,68,84,79,82,85,81,84,86,78,74,77,81,75,73,74,83,77,78,78,85,78,79,82,79.2/2374:11
"Whitfield, Lachie",,,,,,,75,77,81,87,83,85,86,89,82,29,,90,92,84,91,87,91,83,81.8/1728:21
"de Boer, Matt",79,83,50,,,,,,,,,77,82,78,,,,,,85,78,75,77,85,77.1/1067:02
Totals,,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,SK,FR,ME,CW,SY,WB,AD,ES,RI,WC,BL,NM,CA,HW,ME,GC,SY,ES,PA,GE,RI,CA,SY,GE,
