Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Angwin, Ryan",,,,,,-,-,-,-,-,-,-,-,-,-,
"Ash, Lachie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bedford, Toby",,,,,,,-,-,-,-,-,2,1,-,-,3.0
"Briggs, Kieren",,,,,,,,,,1,-,1,-,1,-,3.0
"Brown, Callum",,,,,,,-,-,-,,-,-,-,2,1,3.0
"Buckley, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cadman, Aaron",,,,,-,-,-,-,1,-,2,-,,-,,3.0
"Callaghan, Finn",-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,3.0
"Coniglio, Stephen",1,-,1,-,-,-,-,2,2,-,1,1,1,2,-,11.0
"Cumming, Isaac",-,-,-,-,-,-,-,-,,,,,,,-,
"Daniels, Brent",1,-,-,1,,1,-,1,-,1,-,-,,,,5.0
"Fahey, Josh",,,,,,,,,,,-,-,1,,,1.0
"Fleeton, Cameron",,,,,,,,,-,-,,,,,,
"Flynn, Matt",1,-,-,-,-,-,-,1,-,,,,,,,2.0
"Green, Tom",-,-,-,-,-,,-,1,-,-,-,-,-,-,-,1.0
"Greene, Toby",4,2,-,2,2,1,-,,,1,2,-,2,1,1,18.0
"Hamilton, Cooper",,-,1,-,-,,,,,,,,,,,1.0
"Haynes, Nick",-,-,-,-,-,-,-,-,-,-,,,-,-,-,
"Himmelberg, Harry",-,1,-,-,3,2,1,-,-,-,,-,-,-,-,7.0
"Hogan, Jesse",1,4,-,1,4,-,-,3,-,2,2,1,-,,-,18.0
"Idun, Connor",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Keeffe, Lachlan",,,,,,,,,,,-,-,-,1,-,1.0
"Kelly, Josh",-,,-,1,-,1,-,1,-,-,,,,-,-,3.0
"Kennedy, Adam",-,-,,-,-,-,,,,,,,,,,
"Lloyd, Daniel",1,-,-,1,2,,,-,1,,1,2,1,1,-,10.0
"OHalloran, Xavier",,,,,-,-,1,1,3,-,-,2,1,-,-,8.0
"Peatling, James",1,1,1,,-,1,-,-,2,-,-,,,,,6.0
"Perryman, Harry",-,,,,,1,-,-,-,1,-,-,-,-,-,2.0
"Riccardi, Jake",1,1,1,1,,,,,,-,-,-,1,2,1,8.0
"Rowston, Harry",,1,-,-,1,-,-,,,,,,-,,,2.0
"Stone, Conor",,-,-,-,,,,,,,,,,,,
"Taylor, Sam",-,-,-,-,-,-,,,,,,,,-,-,
"Ward, Callan",2,1,1,1,1,1,,-,1,-,-,1,-,-,-,9.0
"Wehr, Jacob",-,-,,,,,,,,,,,,,,
"Whitfield, Lachie",-,,-,-,-,-,-,-,-,-,-,-,1,-,,1.0
Totals,13,12,5,8,13,8,2,10,11,6,8,10,9,10,4,129.0
Opponent,AD,WC,CA,ES,HW,BL,SY,WB,CW,SK,GE,RI,NM,FR,ME,
