Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Angwin, Ryan",,,,,,5,2,3,1,-,2,3,2,-,-,18.0
"Ash, Lachie",1,4,-,-,4,-,2,4,-,2,4,2,2,-,-,25.0
"Bedford, Toby",,,,,,,1,3,1,2,1,3,3,7,1,22.0
"Briggs, Kieren",,,,,,,,,,1,3,-,4,5,-,13.0
"Brown, Callum",,,,,,,1,1,1,,1,3,3,2,4,16.0
"Buckley, Jack",3,-,-,1,3,-,1,2,-,1,1,1,-,1,-,14.0
"Cadman, Aaron",,,,,2,1,1,-,-,1,1,-,,-,,6.0
"Callaghan, Finn",1,5,2,4,5,3,2,4,2,2,3,7,2,8,5,55.0
"Coniglio, Stephen",9,5,7,5,3,3,5,3,7,6,2,3,1,7,4,70.0
"Cumming, Isaac",1,1,3,1,2,-,1,2,,,,,,,2,13.0
"Daniels, Brent",3,4,2,6,,2,5,2,2,3,2,4,,,,35.0
"Fahey, Josh",,,,,,,,,,,-,2,2,,,4.0
"Fleeton, Cameron",,,,,,,,,1,-,,,,,,1.0
"Flynn, Matt",-,5,1,1,-,2,2,2,6,,,,,,,19.0
"Green, Tom",4,3,7,3,2,,3,3,6,2,2,8,7,2,2,54.0
"Greene, Toby",5,3,2,6,6,5,6,,,7,4,4,6,4,7,65.0
"Hamilton, Cooper",,1,2,2,1,,,,,,,,,,,6.0
"Haynes, Nick",2,-,-,1,-,5,-,-,-,-,,,-,3,1,12.0
"Himmelberg, Harry",2,1,2,-,-,1,3,7,4,1,,4,2,1,2,30.0
"Hogan, Jesse",2,1,2,3,2,2,-,3,-,2,5,1,2,,1,26.0
"Idun, Connor",1,2,-,-,2,-,-,-,-,1,1,1,-,3,-,11.0
"Keeffe, Lachlan",,,,,,,,,,,-,1,3,4,-,8.0
"Kelly, Josh",5,,6,6,5,4,2,3,3,4,,,,5,6,49.0
"Kennedy, Adam",4,1,,-,1,-,,,,,,,,,,6.0
"Lloyd, Daniel",2,4,2,4,2,,,2,1,,1,7,5,2,2,34.0
"OHalloran, Xavier",,,,,4,5,3,3,4,4,3,4,6,5,3,44.0
"Peatling, James",3,3,1,,1,2,3,2,4,1,1,,,,,21.0
"Perryman, Harry",-,,,,,5,1,4,3,3,2,2,1,2,-,23.0
"Riccardi, Jake",3,3,4,1,,,,,,1,2,-,3,3,3,23.0
"Rowston, Harry",,1,4,-,-,2,1,,,,,,2,,,10.0
"Stone, Conor",,1,1,1,,,,,,,,,,,,3.0
"Taylor, Sam",2,1,-,-,1,-,,,,,,,,-,-,4.0
"Ward, Callan",5,3,5,3,1,1,,1,-,4,4,7,5,2,3,44.0
"Wehr, Jacob",2,-,,,,,,,,,,,,,,2.0
"Whitfield, Lachie",-,,1,2,5,3,3,3,3,1,6,3,2,2,,34.0
Totals,60,52,54,50,52,51,48,57,49,49,51,70,63,68,46,820.0
Opponent,AD,WC,CA,ES,HW,BL,SY,WB,CW,SK,GE,RI,NM,FR,ME,
