Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Angus, Geoff",,,5,2,3,6,4,-,2,-,3,3,3,-,2,1,-,-,1,,35.0
"Arthur, Graham",2,6,3,-,,,3,,,-,3,2,2,1,2,2,-,,3,2,31.0
"Beck, Ken",4,1,2,5,1,,,,,,-,1,-,2,1,2,1,2,3,-,25.0
"Blood, Michael",1,-,1,2,1,2,-,-,-,2,1,-,2,-,-,-,-,1,-,2,15.0
"Bremner, Ian",1,,,3,2,4,1,2,1,-,1,1,1,1,-,3,4,-,2,2,29.0
"Bussell, Norm",2,1,1,4,1,1,2,2,1,1,1,1,1,2,2,1,-,,,,24.0
"Chilton, Peter",-,-,-,,,,,-,3,2,-,-,,,-,3,1,2,3,1,15.0
"Crimmins, Peter",1,2,2,1,1,6,-,-,-,1,1,-,3,1,1,2,1,1,4,1,29.0
"Crowe, Vin",1,-,,,,,,,,,,,,-,-,,,,,,1.0
"Devenish-Meares, Rochford",,-,1,2,3,3,-,-,-,,,,,,,,,,,,9.0
"Ferguson, Neil",,,,,,1,-,2,3,1,2,-,3,4,1,5,4,2,-,2,30.0
"Fisher, John",1,1,3,1,1,1,,,,,,,2,-,3,-,1,1,,-,15.0
"Francis, Michael",,,,,,,,,,,,,,,,,,,,-,
"Gardner, John",3,-,1,4,1,5,2,-,,-,,-,,,,,,,,,16.0
"Gay, Terry",,4,-,2,2,,,1,3,-,2,1,4,1,2,-,1,-,1,1,25.0
"Growcott, Ross",,,,,,,,2,4,,-,,,,,,,-,-,-,6.0
"Heath, Kevin",,,,,,,,,,,,,,,,,,,-,-,
"Horkings, Ray",,,,,,,-,,,,,,,,,,,,,,
"Hudson, Peter",1,3,2,6,3,3,1,2,5,2,1,,-,-,2,1,1,3,6,1,43.0
"Jenkins, Dennis",1,-,1,3,,,,,,,,,,,,,,,,,5.0
"Johnson, Ted",,1,1,3,-,1,-,2,-,2,1,1,-,1,2,1,4,1,,,21.0
"Keddie, Bob",,-,4,2,1,4,2,3,3,4,2,-,2,2,1,1,3,3,5,3,45.0
"Law, Ian",,,,,,,,,,,,,,,,,,1,-,,1.0
"Meagher, Des",2,1,4,4,3,5,2,5,2,2,6,2,2,2,-,2,3,1,2,4,54.0
"Morton, Lance",,,-,,1,1,-,,,,,,-,1,1,1,-,1,2,2,10.0
"Murphy, Glenn",,,,,,,4,1,1,-,-,,-,,,,,,,-,6.0
"Olsson, Rod",3,1,,4,3,3,1,2,1,-,3,-,4,3,3,3,2,-,3,-,39.0
"Parkin, David",1,1,1,2,2,2,1,4,2,1,2,,-,2,,1,1,3,7,2,35.0
"Pleitner, Bryan",,,,,,,,,,,,1,,,,,,,,,1.0
"Poole, Reg",2,,1,2,,1,,,,,,1,,,,,,,,,7.0
"Scott, Don",1,4,2,2,1,2,1,-,-,1,6,1,-,1,2,2,2,-,-,,28.0
"Smith, Jim",-,,,,1,-,,,-,,,,,,,,,,,,1.0
"Tolson, Paul",1,-,,,,,,,,-,,-,,,,,,,,,1.0
"Wilson, Ray",1,,,,-,6,1,1,-,-,2,1,1,1,1,-,3,-,3,-,21.0
Totals,29,26,35,54,31,57,25,29,31,19,37,16,30,25,26,31,32,22,45,23,623.0
Opponent,ES,SM,FO,CA,CW,GE,ME,RI,FI,NM,SK,ES,SM,FO,CA,CW,GE,ME,RI,FI,
