Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,GF,Tot
"Ablett, Geoff",2,1,1,2,4,-,1,1,4,5,-,2,1,3,2,3,2,,3,2,,2,1,1,43.0
"Bevan, Wayne",,,,,,,,,,,,,,1,,,,,,,,,,,1.0
"Bremner, Ian",4,1,1,3,3,2,3,2,4,-,-,3,3,4,2,,,,2,4,2,-,2,3,48.0
"Cooke, Michael",,,,,,,,,,,,,,,,,,,,,,,1,-,1.0
"Crimmins, Peter",3,2,1,2,5,5,2,,,,,,,,,,,,,,,,,,20.0
"De Wolde, Alle",-,1,4,3,4,1,3,3,4,-,-,-,,,,,,,,,1,,,,24.0
"DiPierdomenico, Robert",,,,,,,,,,,,,,,,,,-,,,,,,,
"Douge, Brian",,,,,,,,,,,,,-,-,-,,1,1,,-,,1,,,3.0
"Goad, Alan",6,2,,,,,7,,2,,,,,,,1,-,,5,7,5,,,,35.0
"Harrison, Glenn",,-,-,2,2,3,2,2,2,,,,,,,,,,,,,,,,13.0
"Heath, Kevin",4,3,5,3,,,4,,,,,,,,,,,,,,-,,,,19.0
"Hendrie, John",3,1,5,3,3,2,2,3,3,4,-,3,3,3,3,5,1,5,3,1,3,3,5,7,74.0
"Jaworskyj, Bohdan",4,4,5,3,2,2,7,5,1,6,-,1,4,3,4,4,3,4,4,4,1,5,2,1,79.0
"Jones, Bernie",,,,,2,2,-,5,3,2,-,4,1,2,1,-,3,3,4,1,-,2,-,5,40.0
"Knights, Peter",1,3,3,1,3,-,1,1,4,1,-,1,-,,1,2,2,1,3,1,-,-,6,-,35.0
"Lynn, Gerry",,,,,,,,,,,,,,,,,,,,1,,,,,1.0
"Martello, Alan",2,3,3,1,1,2,2,3,2,2,-,1,1,3,1,-,1,1,2,3,1,2,-,2,39.0
"Matthews, Kelvin",3,2,4,5,2,3,6,2,-,4,-,3,-,3,3,4,2,1,2,-,5,6,3,2,65.0
"Matthews, Leigh",2,4,1,1,4,2,4,1,1,1,-,-,2,,3,5,1,4,5,2,-,4,2,1,50.0
"McCarthy, Gerald",,,,,-,1,,-,,1,-,2,-,1,2,1,1,4,1,-,2,2,-,,18.0
"Meagher, Des",-,,,,,,,,,,,,,,,,,,,,,,2,-,2.0
"Moncrieff, Michael",4,2,1,1,1,-,,-,-,-,-,1,1,-,3,-,1,-,1,2,-,3,1,-,22.0
"Moore, Kelvin",-,1,4,-,2,3,2,-,1,1,-,-,-,1,2,1,1,1,5,1,-,-,1,-,27.0
"Murphy, Shane",,,,,,,,,,,,,,,,,,,,,,2,3,2,7.0
"Petch, Len",2,3,2,-,,,,,,,,,,1,,3,,,,,,-,,,11.0
"Polkinghorne, David",,,,,,,,,,,-,,,-,,-,1,1,-,,,,,,2.0
"Rice, Leon",1,4,4,,,,,,1,4,-,3,1,2,-,1,,,,,,4,,-,25.0
"Rowlings, Barry",,,,-,,,2,-,1,1,-,1,1,1,-,4,1,-,1,2,2,-,2,3,22.0
"Scott, Don",3,3,1,4,3,6,9,5,7,2,-,7,3,,4,,4,2,3,2,2,4,5,9,88.0
"Scrimshaw, Ian",,,-,3,3,-,,-,,-,,-,,1,1,1,1,1,2,3,-,,,,16.0
"Steel, Kelvin",,,,,,,,,,,,,1,,,,,2,,,,,,,3.0
"Trott, Stuart",,,,,6,4,-,3,1,2,-,-,2,2,2,1,3,1,3,,1,-,1,-,32.0
"Tuck, Michael",1,1,4,-,2,1,1,2,2,6,-,2,-,3,-,-,-,2,4,4,2,4,1,2,44.0
"Welsh, Peter",-,2,1,1,-,1,3,1,2,1,-,-,2,1,2,2,2,1,2,1,1,,1,1,28.0
Totals,45,43,50,38,52,40,61,39,45,43,0,34,26,35,36,38,31,35,55,41,28,44,39,39,937.0
Opponent,NM,SK,RI,SM,ME,CA,FI,GE,FO,CW,ES,NM,SK,SM,RI,ME,CA,FI,GE,FO,CW,ES,NM,NM,
