Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Abbott, Paul",,,,,,,,,,,,,-,3,,,,,,,,,,,,3.0
"Allender, Stephen",2,,,,,,,2,,,,,,,,,,,,,,,,,,4.0
"Ayres, Gary",9,18,14,12,5,,8,12,17,11,21,15,10,26,22,15,14,17,16,,,13,,7,12,294.0
"Bennett, James",,,,,,,,,,,,,,,-,,,,,,,,,,,
"Brereton, Dermott",13,16,12,8,12,7,10,15,14,9,8,12,4,18,7,15,6,11,5,12,13,8,7,10,11,263.0
"Buckenara, Gary",,,,,,,,,,,,,,,,,,,,,,7,,,,7.0
"Byrne, Michael",12,7,7,11,7,8,11,5,16,14,10,6,12,7,9,6,6,12,5,4,14,3,14,7,7,220.0
"Curran, Peter",,7,8,9,7,6,7,8,8,5,,2,3,9,13,18,6,13,5,12,14,10,11,2,3,186.0
"DiPierdomenico, Robert",5,9,10,13,22,20,16,19,14,21,20,17,13,12,,16,9,7,17,12,16,10,11,17,9,335.0
"Eade, Rodney",13,14,9,14,,13,8,8,20,10,11,17,14,11,12,18,9,17,11,13,,,3,10,5,260.0
"Fowler, Grant",,,,,,6,,,,,,,,,,,,,,,,,,,,6.0
"Greene, Russell",14,18,12,13,12,18,12,18,21,24,15,17,12,23,15,27,20,24,8,20,11,21,22,6,19,422.0
"Judge, Ken",18,11,14,9,15,12,17,5,12,5,7,8,11,8,3,1,,12,6,10,14,21,9,10,7,245.0
"Kennedy, John",11,9,14,14,12,15,11,15,13,10,14,5,12,18,9,13,5,11,14,11,-,,,,,236.0
"Knights, Peter",8,5,,16,,,,,4,,,,,,,,,,,,,,,,,33.0
"Langford, Chris",13,7,11,10,5,,,7,5,6,8,1,8,9,8,13,16,8,4,6,7,11,17,5,,185.0
"Lester-Smith, Rod",,,8,8,,9,,,,,,,,,6,3,11,5,16,13,12,24,16,13,10,154.0
"Loveridge, Richard",,,,,,,,,,,,,16,16,15,21,11,19,19,17,11,30,15,10,16,216.0
"Matthews, Leigh",11,12,13,24,20,7,20,11,8,13,17,9,9,25,17,11,8,9,18,9,,13,15,8,11,318.0
"McCarthy, Michael",6,9,12,2,9,1,1,,,1,3,6,9,7,5,12,14,10,7,8,12,13,2,2,5,156.0
"McGrath, Shane",,,,,,,,,,,,,,,,,,,,,3,,,,,3.0
"Mew, Chris",13,14,11,10,9,,6,14,13,13,11,16,6,14,4,19,9,7,,9,9,12,16,9,12,256.0
"Moore, Kelvin",,,,,18,3,,,3,1,,9,,,,,,,-,,11,4,,,,49.0
"Morris, Russell",4,,,,10,10,5,6,8,9,3,16,11,10,7,7,,3,11,6,15,14,11,,,166.0
"Morrissey, James",,,,,,,,,,,,,,,,,,,3,,,,,,,3.0
"OHalloran, David",11,16,10,7,,3,10,8,8,5,,,,,,,6,8,2,5,,,8,8,6,121.0
"Paton, Ian",,4,,,5,,,,,,3,,,,,,,,,4,4,3,2,,7,32.0
"Polkinghorne, David",,6,9,4,18,9,1,,,,7,12,8,3,,,4,,,,,,8,,,89.0
"Robertson, Colin",6,,10,14,12,12,13,11,12,11,10,8,11,9,13,9,15,14,,11,14,14,11,12,6,258.0
"Russo, Peter",,,,,,,9,13,22,23,5,,,,10,12,12,9,15,19,11,,,15,8,183.0
"Schwab, Peter",14,8,5,12,10,15,15,8,13,16,4,14,14,13,13,7,15,12,11,15,13,5,9,13,12,286.0
"Shields, Russell",,,,,,,,,,,8,,,,,,,,,,,,,,,8.0
"Tuck, Michael",14,10,18,21,22,18,16,14,10,14,13,19,17,13,24,15,,,,,,9,11,11,7,296.0
"Wallace, Terry",28,16,3,,24,18,10,18,,,,13,,,,,8,,,,20,,,11,16,185.0
Totals,225,216,210,231,254,210,206,217,241,221,198,222,200,254,212,258,204,228,193,216,224,245,218,186,189,5478.0
Opponent,SY,ES,ME,SK,FO,RI,FI,CA,NM,GE,CW,ES,ME,SK,FO,RI,FI,CA,NM,SY,CW,GE,CA,ES,ES,
