Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R16,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Abbott, Paul",1,-,1,,-,-,1,-,-,1,1,-,-,,,,,,,,,,1,2,-,1,9.0
"Ayres, Gary",-,-,-,1,,-,-,,-,-,2,1,1,-,-,-,1,1,1,1,4,3,-,4,2,1,23.0
"Brereton, Dermott",1,,,,3,-,3,1,3,1,1,1,1,2,2,2,4,2,1,4,-,1,3,2,3,1,42.0
"Buckenara, Gary",,2,,1,2,-,,,,,,,,-,3,1,1,-,-,1,2,-,1,2,5,-,21.0
"Collins, Andrew",,,,1,,1,2,3,,,,,,,,,,,,,,-,1,-,,1,9.0
"Condon, Anthony",,,,,,,,,,,-,,-,,,,-,,-,,,,,,,,
"Curran, Peter",2,-,2,1,1,-,1,1,6,1,2,-,1,-,-,-,1,1,4,-,1,-,1,3,-,2,31.0
"Dear, Greg",-,2,-,-,3,-,-,5,1,1,1,-,3,1,1,-,-,1,3,1,1,-,1,-,-,2,27.0
"Dear, Paul",,,,,,,,,,,,,-,1,,,,,,1,3,-,-,1,-,1,7.0
"DiPierdomenico, Robert",2,-,-,-,1,1,1,1,-,-,,2,2,3,5,-,2,-,5,,2,1,2,2,-,5,37.0
"Dunstall, Jason",1,1,1,4,-,-,-,3,-,-,1,1,1,1,1,-,2,1,-,1,1,-,-,1,,,21.0
"Eade, Rodney",1,2,1,4,1,1,-,2,3,,2,-,3,,,,,,3,1,,,1,3,,,28.0
"Greene, Russell",1,1,2,3,2,-,-,-,1,-,1,3,1,-,1,1,-,-,,,,,,,-,-,17.0
"Handley, Robert",,,,-,-,,,,,,,,,,,,,,,,,,,,,,
"Harding, Paul",,,,,,1,-,,,,,,,,1,2,1,-,,,,,,,,,5.0
"Jencke, Ray",2,-,2,,4,2,1,3,2,-,1,2,1,2,1,2,1,1,1,1,-,1,-,-,-,3,33.0
"Kennedy, John",-,1,1,-,1,2,1,1,1,2,-,-,2,1,-,2,1,2,2,2,2,4,4,2,1,-,35.0
"Langford, Chris",2,-,1,3,2,-,-,1,1,3,-,1,3,2,1,-,2,2,1,-,2,2,-,2,2,-,33.0
"Lester-Smith, Rod",,,,,,,,,-,-,,,,1,-,-,3,3,-,2,-,-,,,,,9.0
"Loveridge, Richard",1,1,2,1,3,2,2,2,1,1,1,2,2,-,1,1,4,-,1,3,4,,,1,-,,36.0
"Mew, Chris",4,4,2,-,,,2,2,2,2,1,1,1,4,-,3,,,2,1,1,3,1,,3,2,41.0
"Morris, Russell",-,1,2,6,2,2,3,1,2,2,4,2,,-,2,4,4,2,2,2,3,3,3,-,1,-,53.0
"Morrissey, James",,-,-,-,-,,,-,1,-,1,-,,,,,,,,,,,,,,,2.0
"Platten, John",4,1,-,1,2,-,3,2,5,1,1,5,2,1,3,5,6,2,2,2,3,5,2,3,2,1,64.0
"Pritchard, Darrin",,,,,,,,-,,-,1,-,2,-,2,1,3,-,1,-,2,-,,,-,-,12.0
"Russo, Peter",3,,,,-,,,3,,,,,,,,,,-,1,2,-,-,1,3,1,-,14.0
"Schwab, Peter",-,1,-,-,3,3,,,4,2,,-,3,5,-,1,1,-,,5,3,-,1,2,4,-,38.0
"Symonds, Tony",-,,-,,,,-,,,,,,,,,,,,,,,,,,,,
"Tuck, Michael",2,-,-,2,2,1,1,1,1,4,2,1,2,2,1,3,-,1,3,1,3,1,-,-,4,4,42.0
"Wittman, Chris",,1,1,1,,,,,,,-,,,,,,,,,,,,,,,,3.0
Totals,27,18,18,29,32,16,21,32,34,21,23,22,31,26,25,28,37,19,33,31,37,24,23,33,28,24,692.0
Opponent,CA,RI,CW,FO,WC,FI,SY,GE,ES,SK,NM,BB,ME,CA,RI,FO,CW,WC,FI,SY,ES,GE,SY,CA,ME,CA,
