Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Barker, John",,,,,,,,,,1,,,,,-,1,-,,,1,-,,3.0
"Barlow, Kris",1,-,1,-,-,1,,,,,,,,-,1,1,1,-,-,2,-,2,10.0
"Bowyer, Glen",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Chick, Daniel",-,2,1,1,1,-,-,,,2,-,-,-,-,1,2,-,1,4,1,4,1,21.0
"Collica, Michael",-,-,1,-,1,-,-,-,-,-,1,1,1,2,-,-,1,-,1,-,-,1,10.0
"Cox, Adrian",-,,,,,,-,-,-,,,,,,,,,,,,,,
"Crawford, Shane",1,2,3,4,1,2,3,1,2,1,1,1,2,4,4,-,2,2,1,1,1,-,39.0
"Croad, Trent",3,2,2,1,3,-,-,4,1,-,-,5,2,1,2,-,,1,1,-,-,-,28.0
"Dennis, Matthew",,,,,,,,,,-,-,,-,,,,,,,,,,
"Dixon, Ben",-,-,-,,-,2,,,1,-,1,-,1,,,,-,-,1,-,-,1,7.0
"Graham, Mark",1,2,2,1,1,2,-,2,-,,2,1,1,1,2,1,,,,,,,19.0
"Harford, Daniel",2,-,-,1,-,4,1,2,2,-,1,1,1,2,2,-,,1,-,2,-,1,23.0
"Hassall, Jon",1,-,-,1,1,,,-,,,,,-,1,2,-,-,,,,,-,6.0
"Hay, Jonathan",4,-,-,2,2,2,1,1,1,-,1,-,-,-,1,-,-,1,-,-,-,3,19.0
"Holland, Nick",5,3,3,1,-,5,-,1,3,1,1,-,2,1,1,1,,1,1,2,1,1,34.0
"Krummel, Brendan",,,-,-,1,2,3,1,,-,1,-,-,-,,,,,,,,,8.0
"Lekkas, Angelo",1,2,2,2,4,-,1,-,2,2,1,1,-,1,-,1,2,-,-,-,1,1,24.0
"Lloyd, Brad",,,,,,,,,,,,,,,2,2,-,,,,,,4.0
"Lord, Aaron",1,1,2,1,1,1,-,1,1,,1,-,-,1,-,1,2,2,1,-,-,-,17.0
"McCabe, Luke",2,1,1,1,1,1,1,1,-,-,-,1,1,1,-,-,1,1,-,1,1,-,16.0
"OFarrell, Brett",,-,-,-,1,,,,,,,,,,,,,,,,,,1.0
"Obst, Chris",,,,,,-,-,-,1,2,,,,,,,-,,,,,,3.0
"Rawlings, Jade",,,,,,,,,,,,,,,,,-,-,-,-,1,-,1.0
"Robran, Jonathon",-,-,,-,-,3,-,-,1,-,1,-,,1,,,-,-,1,1,-,-,8.0
"Rock, Anthony",,,,,,1,1,,1,1,1,2,1,-,1,,-,-,-,-,1,-,10.0
"Salmon, Paul",2,3,-,2,-,2,3,2,1,3,1,2,-,2,3,4,3,,,,,,33.0
"Smith, Joel",,-,-,-,-,-,,1,,1,1,2,,1,1,1,,3,-,1,2,2,16.0
"Tallis, Rayden",,,,,,,,-,2,,,,,,,,,-,1,-,-,,3.0
"Taylor, Richard",-,1,2,1,-,1,1,1,1,1,1,-,1,1,1,1,-,2,2,1,-,-,19.0
"Thompson, Nathan",-,,,,,-,1,-,-,-,-,-,1,1,-,1,-,-,1,-,1,-,6.0
"Treleven, Craig",1,-,1,1,1,,-,1,1,1,,,,,,-,3,1,-,-,-,-,11.0
"Turvey, Nathan",,,,,,,,,,,,1,1,,-,-,-,-,-,,,,2.0
"Vandenberg, Richard",1,1,-,-,,,-,1,1,,-,-,1,-,,,,,,,,,5.0
"Woods, Tony",-,1,2,-,1,-,1,,1,2,-,1,-,1,2,-,1,-,-,1,-,3,17.0
Totals,26,21,23,20,20,29,17,20,23,18,16,19,16,22,26,17,16,16,15,14,13,17,424.0
Opponent,CW,AD,FR,ME,WC,GE,SY,KA,ES,RI,WB,SK,PA,CA,BL,CW,AD,FR,ME,WC,GE,SY,
