Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Barker, John",-,2,1,1,1,1,-,-,1,-,,3,1,2,2,3,-,3,1,2,1,2,1,1,29.0
"Barlow, Kris",-,1,-,-,1,2,-,1,9,1,1,3,4,4,3,1,,,-,3,2,1,-,,37.0
"Bateman, Chance",,,1,-,,,,,,,,,,,,,,,,-,,,,,1.0
"Bowyer, Glen",,,,,,2,4,-,-,2,1,1,-,1,-,1,-,3,2,2,1,-,-,1,21.0
"Chapman, Nathan",,,,,,,,,,,,4,-,1,,,,,,,,,,,5.0
"Chick, Daniel",1,1,1,2,1,1,5,4,4,2,3,1,1,11,6,4,4,5,6,-,5,9,5,5,87.0
"Collica, Michael",-,2,4,1,3,1,,,,,3,-,,,,,,,,,,,,,14.0
"Crawford, Shane",2,7,2,5,4,2,4,1,,,4,4,2,3,2,1,3,3,2,3,,2,1,2,59.0
"Croad, Trent",1,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,,-,-,-,,1,2,1,9.0
"Dixon, Ben",,1,-,1,2,-,-,-,-,1,1,-,1,3,-,1,1,-,-,1,2,1,1,-,17.0
"Graham, Mark",1,1,2,-,2,1,2,-,1,1,1,1,-,1,-,1,1,2,1,1,1,2,2,1,26.0
"Harford, Daniel",1,1,-,1,-,5,2,6,4,-,3,2,2,1,3,3,1,,,2,2,-,2,3,44.0
"Hay, Jonathan",3,1,,-,1,,1,4,2,-,,,,1,-,1,-,-,,2,-,-,2,-,18.0
"Holland, Nick",2,1,1,1,,,-,1,1,1,1,-,-,-,2,1,1,1,2,3,1,2,-,2,24.0
"Johnson, Brett",,,,,,,,,,,,,,,,2,3,-,,,-,1,,1,7.0
"Krummel, Brendan",,,2,1,,,,,,,,,,,,,,,,,,,,,3.0
"Lekkas, Angelo",3,5,2,,,,,1,1,3,5,3,-,2,3,,3,2,3,,-,2,3,4,45.0
"Lord, Aaron",1,,,,1,-,,,,,,,,,,,-,-,1,-,,,,,3.0
"McCabe, Luke",1,1,,2,1,1,4,1,2,-,-,4,1,1,3,2,2,4,-,1,1,,-,-,32.0
"McPharlin, Luke",,,,,-,-,,,,,,,,,,-,-,,,,,,,,
"Obst, Chris",-,-,,,,,,,,,,,,,,,,,,,,,,,
"Picioane, Lance",,,,,,,,,,,,,2,1,-,3,3,-,1,2,2,2,1,1,18.0
"Rawlings, Jade",-,-,-,3,-,1,1,4,1,-,2,,,,1,-,1,-,1,2,1,1,1,1,21.0
"Rock, Anthony",1,1,2,1,-,1,1,3,1,-,2,1,2,1,1,-,2,-,4,-,2,-,5,1,32.0
"Rode, Steven",,,,,2,,,,,,,,,,,,,,,,,,,,2.0
"Salmon, Paul",-,1,-,-,1,1,2,-,-,-,1,1,1,1,1,1,-,-,1,-,-,2,-,-,14.0
"Smith, Joel",-,-,-,4,2,-,,,,,-,3,-,-,-,,,,1,1,1,2,1,2,17.0
"Tallis, Rayden",,4,-,-,-,3,1,-,1,1,2,1,2,1,1,1,2,2,3,1,-,-,2,-,28.0
"Taylor, Richard",2,,-,1,3,1,2,-,-,1,2,3,1,3,-,,,3,3,,,,,,25.0
"Thompson, Nathan",-,-,-,,,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,4,9.0
"Treleven, Craig",,,,,,,2,,1,2,,,,,,,,,,,-,,,,5.0
"Vandenberg, Richard",,,4,-,2,2,-,-,1,1,2,1,-,,,3,1,1,1,,,,,,19.0
"Woods, Tony",1,1,1,4,,,1,1,2,2,2,1,1,2,1,1,-,-,5,1,-,4,3,4,38.0
"Young, Barry",2,-,,,6,1,2,2,-,1,-,,,,,,,,,,3,1,1,1,20.0
Totals,22,31,23,28,33,26,35,30,33,19,38,39,21,40,29,31,28,29,38,27,25,36,33,35,729.0
Opponent,CW,CA,BL,ES,PA,AD,WB,KA,GE,WC,RI,FR,SY,SK,ME,CW,CA,BL,ES,PA,AD,WB,GE,KA,
