Player,R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R18,R19,R20,R21,R22,R23,R24,QF,SF,PF,Tot
"Bailey, Max",,,,,,,,-,-,-,,-,-,-,-,-,-,-,1,-,1,,-,1,-,3.0
"Bateman, Chance",1,1,-,-,3,1,-,1,-,,,,-,-,,,,,1,-,,-,-,2,-,10.0
"Birchall, Grant",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,-,-,-,3.0
"Breust, Luke",,,,,,,2,1,-,3,1,4,-,2,-,3,1,2,2,2,2,5,-,,,30.0
"Bruce, Cameron",-,1,-,-,-,,,,,,,,,,,,,,-,-,-,-,,,,1.0
"Burgoyne, Shaun",3,4,1,1,1,-,-,1,-,2,-,-,-,-,-,-,-,1,-,-,1,,-,1,-,16.0
"Cheney, Kyle",,,,,,,,,,-,,,1,-,-,-,-,-,,,,-,,,,1.0
"Ellis, Xavier",,,1,-,-,-,,,,,,,,,-,1,1,,,,,-,,,,3.0
"Franklin, Lance",2,2,5,6,3,3,5,6,3,,4,3,,1,3,5,-,3,8,4,5,,4,4,3,82.0
"Gibson, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gilham, Stephen",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
"Guerra, Brent",,,1,-,1,-,-,-,2,-,-,,-,-,1,-,-,-,-,-,2,-,-,-,1,8.0
"Hale, David",-,-,1,-,2,,-,,,,,1,2,1,3,1,3,1,1,-,1,-,-,2,-,19.0
"Hodge, Luke",,-,2,-,-,1,-,2,2,1,-,1,1,-,1,2,,-,1,-,1,,2,1,1,19.0
"Johnson, Paul",,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
"Ladson, Rick",-,1,-,-,-,-,,,,,,-,,,,,-,1,,,,-,,,,2.0
"Lewis, Jordan",-,-,-,1,-,-,1,-,-,-,1,-,2,,,1,-,1,2,-,-,,1,1,1,12.0
"Lisle, Jordan",,,,,,,,,,-,,-,-,-,,,,,,,,1,,,,1.0
"Milne, Riley",,,,,,,,,,,,,,,-,,,,,,,,,,,
"Mitchell, Sam",-,-,,-,-,1,-,-,2,1,-,-,-,2,-,1,2,-,2,-,,-,-,-,1,12.0
"Murphy, Tom",,,,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Osborne, Michael",1,1,1,,,,1,1,1,2,1,1,3,-,1,2,1,-,,,1,2,-,1,-,21.0
"Puopolo, Paul",,,,,,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,-,3,1,8.0
"Renouf, Brent",-,-,-,-,-,3,,,,,1,,,,,,,,,,,,,,,4.0
"Rioli, Cyril",-,1,,-,-,,,1,1,5,1,2,2,,,3,2,1,6,-,1,,1,1,1,29.0
"Roughead, Jarryd",2,2,3,1,3,-,1,1,2,1,-,,,,,,,,,,,,,,,16.0
"Savage, Shane",1,-,2,-,1,2,2,-,-,,1,4,3,-,-,-,,,,,-,-,,,,16.0
"Schoenmakers, Ryan",,,,,,,,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,
"Sewell, Brad",-,-,-,-,-,1,1,-,-,-,1,-,-,,,-,-,1,1,-,-,,-,-,-,5.0
"Shiels, Liam",-,1,-,-,-,1,1,1,-,-,-,-,3,1,1,-,-,-,1,-,-,-,-,1,-,11.0
"Smith, Isaac",,,,,,1,-,,,,,2,3,-,1,1,1,3,2,2,-,3,1,-,-,20.0
"Stratton, Ben",-,-,-,,,,,,,,,,,,,,,,,,,-,,-,-,
"Suckling, Matt",-,2,-,-,-,,-,-,-,-,-,1,2,-,-,,1,-,1,-,-,-,-,1,-,8.0
"Whitecross, Brendan",-,,,,,1,-,-,-,1,1,-,1,1,3,-,-,1,1,2,1,3,-,-,-,16.0
"Young, Clinton",2,-,-,-,1,-,,,,1,1,,,-,-,,,,,,,,,,,5.0
Totals,12,16,17,10,15,15,14,15,13,17,13,19,23,9,16,20,13,15,31,10,16,16,9,19,9,382.0
Opponent,AD,ME,RI,WC,GE,PA,SK,SY,WB,FR,GE,GC,ES,CW,BL,ME,FR,NM,PA,CA,WB,GC,GE,SY,CW,
