Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Brand, Kaiden",,2,1,,,,,,1,,,1,,,,,-,3,2,2,3,1,,,16.0
"Breust, Luke",-,-,1,3,-,-,1,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,-,-,10.0
"Burgoyne, Shaun",1,-,,,,2,2,3,-,1,2,1,-,,,,,1,-,-,1,-,3,2,19.0
"Burton, Ryan",-,2,1,,1,2,2,2,3,3,2,2,1,3,2,4,3,4,4,1,2,6,6,1,57.0
"Ceglar, Jonathon",,,,,,,,,,-,1,-,,-,-,-,2,1,-,-,,,1,,5.0
"Cousins, James",,,,,-,-,-,,-,,,,,,,,,,,,,,,,
"Duryea, Taylor",1,2,5,3,1,3,3,-,3,3,2,1,-,-,-,-,,,,,,,,1,28.0
"Frawley, James",8,,2,-,3,2,-,2,,3,3,,2,3,3,4,3,2,3,2,4,,4,2,55.0
"Glass, Conor",,,,3,1,,,,,,,,,3,,,,,,,1,,,,8.0
"Gunston, Jack",1,-,3,1,1,-,-,-,1,-,-,5,1,,-,1,1,-,-,3,2,-,1,-,21.0
"Hardwick, Blake",3,3,2,3,-,2,-,-,2,3,2,-,2,-,3,1,3,2,2,7,3,1,5,1,50.0
"Henderson, Ricky",2,1,3,-,1,1,,2,2,5,2,1,2,2,2,2,2,1,-,-,,-,1,1,33.0
"Howe, Daniel",2,2,2,2,-,-,-,-,,,1,-,-,3,3,-,1,,,,,,1,4,21.0
"Impey, Jarman",-,2,-,2,-,-,-,2,2,1,2,2,6,3,-,3,3,2,2,2,3,3,2,1,43.0
"Langford, Will",,,1,,,1,,-,,,,1,-,-,,,,,,,,,,,3.0
"Lewis, Mitch",,,,,,,,,1,-,,,,,,,,,,,,,,,1.0
"McEvoy, Ben",2,1,-,1,2,2,-,1,1,-,-,1,-,-,2,,,,,,-,-,-,-,13.0
"Miles, Teia",,,,,,,,,,,,,,,1,2,-,4,2,4,4,3,,,20.0
"Mirra, David",,,,6,3,3,,,2,3,,,,,,,,,,,,2,,4,23.0
"Mitchell, Tom",2,-,3,-,1,3,5,-,1,3,1,1,4,3,1,1,1,2,1,6,2,3,4,2,50.0
"Morrison, Harry",,,1,2,1,1,-,-,1,-,-,-,-,2,-,-,-,,1,2,2,4,1,1,19.0
"Nash, Conor",,,,,,,,,,,,,,,,,,,,-,1,-,1,-,2.0
"OBrien, Tim",5,1,-,-,-,1,-,-,,,-,,-,3,,1,,,,,,,,,11.0
"OMeara, Jaeger",3,1,1,5,1,-,3,4,,-,4,2,1,2,-,-,,-,2,-,3,-,2,,34.0
"ORourke, Jonathan",,,,,,,,,,,,,,,1,,1,1,,,,,,,3.0
"Pittonet, Marc",,,,,,,,,,,,,,,,,,,,-,-,,,,
"Puopolo, Paul",-,-,1,1,,,,,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,5.0
"Rioli, Cyril",-,-,-,-,,,,,,,,,,,,,,,,,,,,,
"Roughead, Jarryd",-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,1,,,-,-,1,5.0
"Schoenmakers, Ryan",1,-,,,,,,,,,,,,,,,-,-,-,1,-,-,,-,2.0
"Shiels, Liam",-,-,1,-,2,,1,-,-,1,-,3,2,-,3,1,-,-,1,1,1,1,-,1,19.0
"Sicily, James",4,3,,7,7,,5,6,1,3,1,3,8,3,8,7,,,,,,,8,4,78.0
"Smith, Isaac",3,1,2,-,-,2,3,1,1,2,1,-,-,-,1,1,-,2,3,-,2,3,5,3,36.0
"Stratton, Ben",3,1,4,-,2,2,-,1,1,-,3,4,2,2,4,-,1,3,5,1,1,3,1,,44.0
"Whitecross, Brendan",,,,,,,-,-,,,,,,,,-,-,1,-,,,,,,1.0
"Worpel, James",,,,,,-,-,,-,,,,,,,,-,-,-,2,-,2,-,1,5.0
Totals,41,22,34,39,27,27,25,24,24,31,28,29,31,35,35,29,21,29,30,35,36,32,46,30,740.0
Opponent,CW,GE,RI,ME,NM,SK,ES,SY,BL,WC,PA,AD,GC,GW,WB,BL,CA,FR,ES,GE,SK,SY,RI,ME,
