Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Bahen, Gerry",,,-,-,-,1,-,-,-,-,,,,,,,,,1.0
"Bourke, Bill",,,-,-,,,,,,-,,,,,,-,-,,
"Brooker, Bob",-,-,1,-,,-,-,-,-,2,,,,,1,1,-,1,6.0
"Clark, Jack",-,-,,,,,,,,,,,,,,,,,
"Condon, Don",1,-,,,,,,,,,,,,,,,,,1.0
"Cuffe, Jack",-,,,,,,,,,,,,,,,,,,
"Doolan, Neil",,,,,,,,,,,,,-,,,,,,
"Dynon, Kevin",,,-,1,-,-,-,1,-,-,-,-,2,2,-,1,-,-,7.0
"Edwards, Jack",,,,,,,,,,-,,,-,-,-,-,-,-,
"Fletcher, Ron",,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Foote, Les",2,-,1,-,-,,2,-,-,,1,-,-,-,-,-,-,-,6.0
"Francis, Leo",-,-,-,,-,-,,,,,,,,,,,,,
"Jarrard, Ted",-,-,-,-,-,-,-,-,,,,,,,,,,,
"Jeeves, Frank",-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,4.0
"Johnson, Percy",,,,,,,,,,,-,1,-,-,1,-,-,-,2.0
"Kelly, Pat",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lawrence, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3.0
"Lineen, Jock",,-,,,,,,,,,,,,,,,,,
"Malone, Jim",1,,,2,-,,-,,,-,-,-,,,,,,,3.0
"Marchesi, Gerald",1,-,,,,-,1,-,-,-,,,,,,,,,2.0
"Martyn, Bryan",,-,,,,,,,,,,,-,-,,,,,
"McCorkell, Jock",,,,,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2.0
"McKenzie, Keith",1,-,,-,-,-,1,-,-,,-,-,-,-,1,-,-,-,3.0
"McMahon, Kevin",,-,-,1,-,-,,-,3,-,-,-,-,-,-,2,-,-,6.0
"Milroy, Bill",-,,,,,,,,,,,,,,,,,,
"Mogg, Les",-,-,-,-,-,-,-,,-,-,2,-,-,1,-,1,1,-,5.0
"Parkes, Eric",,,-,-,,,,-,-,-,-,-,-,-,-,,-,-,
"Reeves, John",1,-,-,-,-,-,4,2,1,,1,1,,-,1,-,-,1,12.0
"Reeves, Les",-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Robb, Tim",,,,,3,1,4,3,-,-,1,,3,,,-,-,2,17.0
"Shipp, Laurie",-,,-,,,,,,,,-,-,,,,,,,
"Skalberg, Oscar",,,-,,,,,,,,,,,-,-,-,-,-,
"Smith, Kevin",,3,1,4,3,6,-,5,-,-,1,-,,1,1,2,,,27.0
"Spencer, Jock",-,3,1,4,7,3,-,3,3,3,4,3,5,4,10,-,,4,57.0
"Thomas, Bill",,,,,,,,,,,,-,-,-,,,,,
"Thornton, Col",-,2,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,2,8.0
Totals,7,8,5,12,14,11,12,14,8,5,11,6,10,10,15,10,3,11,172.0
Opponent,CW,SK,FO,SM,HW,GE,FI,ME,ES,CA,RI,CW,SK,FO,SM,HW,GE,FI,
