Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Aylett, Allen",3,3,2,3,-,2,-,1,1,2,1,1,2,1,1,1,3,3,3,33.0
"Brady, John",-,-,-,-,-,-,-,-,2,2,1,-,,1,3,-,1,2,-,12.0
"Brooker, Bob",,,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,,1,5.0
"Doolan, Neil",,-,,-,1,,-,-,3,1,-,-,,-,2,-,-,-,-,7.0
"Dynon, Kevin",1,-,-,-,-,,1,1,,-,,,,,,,,1,-,4.0
"Eastmure, Gerald",,,,,,,-,-,-,1,3,2,-,-,-,-,2,,-,8.0
"Easton, Kevin",,,,,-,,,,,,,,,,,,2,1,,3.0
"Edwards, Jack",-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"English, Garry",,,,-,,,,,,,,,,,,,,,,
"Files, Roy",,,,,,,,,-,-,,,2,-,2,3,,,,7.0
"Grambeau, Mick",2,-,1,1,-,,3,-,4,1,,1,-,3,1,2,-,1,1,21.0
"Grant, Reg",-,-,,,,,,-,,,,,,-,-,-,,,,
"Hamilton, Peter",-,-,-,-,-,-,-,-,-,,-,,,,,-,-,-,,
"Icke, Laurie",-,,,,,-,-,-,-,-,-,-,-,-,-,-,,,-,
"Jeeves, Frank",,,,,,-,,,,,,,,,,,,,,
"Johnson, Brian",-,2,1,-,,,,-,,,,,,,,,,-,-,3.0
"Johnson, Percy",-,1,-,,-,-,,,,,,,,-,-,,,-,-,1.0
"Jones, Ian",,,,,,,,,,,,-,-,-,-,-,,,,
"Kelly, Pat",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,
"Larsen, Ted",-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lawrence, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,3.0
"Lineen, Jock",-,-,-,-,-,,,,-,-,1,-,-,-,-,-,-,-,-,1.0
"Mantello, Albert",,,,,,-,-,,,,-,,-,,,,,,,
"Marchesi, Gerald",-,,3,3,1,-,,,-,1,-,-,,,,,-,-,-,8.0
"Martyn, Bryan",1,-,-,-,1,,,,,-,1,,,,,,,,,3.0
"McLean, Tom",,,,,,-,-,,,,,-,,,,,,-,,
"McMahon, Kevin",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Mogg, Les",,1,3,1,,2,1,1,-,-,-,-,-,-,-,-,1,-,-,10.0
"OHalloran, Jack",-,-,-,-,1,-,,,,,,,-,,,,-,,,1.0
"Parkes, Eric",,,-,,-,,,,-,-,-,-,-,-,-,-,-,,,
"Reeves, John",,-,,,-,-,-,,,,,,-,,,,,,,
"Russell, James",,,,,,,,,,,-,-,,,,,,,,
"Smith, Kevin",-,,,1,,-,,,1,,,,-,,,,,,,2.0
"Spencer, Jock",8,2,3,-,1,3,4,3,,,2,-,1,,,,4,6,1,38.0
"Templar, Len",,,-,-,-,1,-,3,2,1,1,2,-,-,-,3,1,5,5,24.0
"Walker, Graham",,,,,,,,-,,,,,,,,,,,,
Totals,15,9,13,11,5,8,9,10,13,9,11,6,5,8,10,9,14,19,11,195.0
Opponent,RI,GE,FI,HW,FO,SM,SK,ES,CW,CA,ME,RI,GE,FI,HW,FO,SM,SK,ME,
