Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Baker, Phil",3,-,,,,,,,7,1,,,2,,-,,,,6,7,6,10,3,3,4,5,57.0
"Blight, Malcolm",,7,,4,5,,,,6,4,9,14,3,14,5,2,13,2,3,-,,,,,,,91.0
"Briedis, Arnold",2,6,7,7,6,16,6,5,,1,4,10,5,12,3,6,1,7,,8,8,2,4,1,-,3,130.0
"Burns, John",3,1,1,4,1,,1,3,4,5,6,2,-,2,5,1,,-,1,,,2,4,1,4,1,52.0
"Cable, Barry",3,-,1,1,2,1,-,-,,,1,2,3,,,2,2,,1,1,3,1,1,-,3,2,30.0
"Chisnall, Peter",,,,,,,,,-,-,1,2,,1,-,,,,1,1,3,1,3,2,-,,15.0
"Cowton, Gary",1,5,4,2,-,3,-,5,,6,,,,,4,,,-,4,4,4,5,2,4,1,2,56.0
"Davis, Barry",6,5,,,3,7,3,3,9,2,6,6,7,8,8,4,2,5,4,3,9,5,3,3,2,-,113.0
"Dawson, Mark",,,,,,,,,2,,,,,,,,,,,,3,,,,,,5.0
"Dench, David",,2,-,2,2,3,2,-,,,2,3,2,3,2,1,1,1,6,-,2,4,5,4,2,2,51.0
"Doolan, Vin",,,,,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Farrant, Garry",-,2,3,1,1,2,8,3,-,4,4,-,3,3,7,3,3,1,3,4,-,,,-,-,-,55.0
"Feltham, Paul",2,3,6,4,5,-,2,1,2,3,,4,-,6,6,1,7,3,1,6,6,3,5,2,-,3,81.0
"Goodingham, Barry",3,4,5,4,,,,5,12,6,6,7,6,7,7,,,5,7,8,5,3,5,4,3,2,114.0
"Greig, Keith",3,3,5,4,5,3,4,2,,2,8,2,9,1,,9,8,-,1,1,1,2,8,1,1,3,86.0
"Gumbleton, Frank",4,7,3,3,5,3,2,3,2,1,,,,-,1,3,-,5,1,,,4,6,1,,,54.0
"Henshaw, Ross",1,,-,,,,,4,1,,,,,,,,-,,,,,,,,,,6.0
"Kekovich, Sam",,,,5,5,6,1,3,2,1,-,7,-,3,-,,11,2,,,6,2,3,-,,2,59.0
"Michalczyk, Dick",,,,,,,,,,,2,2,2,1,7,3,5,1,,,,,,,,,23.0
"Montgomery, Ken",,1,2,8,3,1,7,6,6,3,8,3,2,-,6,4,1,1,3,5,2,7,3,1,3,1,87.0
"Moylan, John",,,,,,1,,,,3,4,3,2,-,,,,,,,,,,,,,13.0
"Muir, Russell",3,,2,2,,3,,,1,,,,,,,,,,,,,,,,,,11.0
"Munari, Dennis",,,,,,,,,,,,,,,1,-,,,,,,,,,,,1.0
"Nolan, Mick",,,,,1,3,2,,,1,,,,,,2,4,,,7,8,4,2,3,,,37.0
"Pagan, Denis",,1,3,3,2,,2,2,,,,,,,,,,-,-,-,1,1,1,-,1,-,17.0
"Perry, John",1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Peterson, Robert",1,2,4,1,2,2,6,,,4,2,,,2,1,-,-,,,-,,,,,-,1,28.0
"Rantall, John",1,3,5,6,-,1,5,4,6,-,3,6,4,4,,3,4,3,2,4,5,5,3,9,7,5,98.0
"Ryan, Phil",6,2,5,5,6,5,7,3,3,,1,2,,,,1,2,,3,,,,,,1,1,53.0
"Schimmelbusch, Wayne",9,3,7,4,2,4,3,4,4,5,6,7,2,8,5,3,2,5,3,5,2,2,3,3,-,4,105.0
"Smith, Brad",2,,,,,3,2,1,1,,4,4,4,4,1,3,6,2,1,3,2,-,-,,6,6,55.0
"Smith, Rob",,,,,,,,,-,,2,1,,,,,,,,,,,,,,,3.0
"Taylor, Peter",,,-,,,,,,,,,,,,,,,,,,,,,,,,
"Wade, Doug",6,7,6,8,4,3,3,2,4,8,,,3,5,5,4,3,3,4,5,7,3,3,1,4,2,103.0
"Zantuck, Shane",,,,,,,,,,,,,,,,,,2,,,,,,,,,2.0
Totals,60,64,69,78,60,70,66,59,72,60,79,87,60,84,74,55,75,48,55,72,83,66,67,43,42,45,1693.0
Opponent,SM,FO,FI,CA,ME,SK,GE,RI,ES,CW,HW,SM,FO,CA,FI,ME,SK,GE,RI,ES,CW,HW,HW,RI,HW,RI,
