Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,GF.1,Tot
"Alves, Stan",,,,,,,4,,-,2,-,3,2,2,2,,1,,3,2,,,1,2,3,1,1,29.0
"Baker, Phil",2,5,4,2,2,1,,,2,-,2,3,3,,,,4,6,2,5,2,6,,2,3,4,1,61.0
"Blight, Malcolm",2,4,1,,5,4,4,5,4,4,7,3,,2,3,6,4,6,3,,6,3,-,6,3,2,3,90.0
"Boyse, Maurice",,,,,,,,,,,,,,,,,,1,4,,-,-,,,,,,5.0
"Briedis, Arnold",3,1,,2,-,4,4,-,3,,,5,2,6,-,1,1,,3,2,4,2,2,4,-,3,4,56.0
"Briedis, Robert",,,,,,,,,,,,,,,,,,,,,-,,,,,,,
"Byrne, John",4,1,-,4,5,-,4,3,,,-,4,2,2,2,-,,,3,2,3,3,7,3,3,3,3,61.0
"Cable, Barry",1,-,6,,,1,-,-,1,2,2,2,4,1,2,1,5,3,3,3,2,2,1,-,1,1,2,46.0
"Cassin, John",6,3,6,3,4,4,3,3,6,4,7,5,6,1,4,9,4,4,5,5,4,3,4,6,5,4,2,120.0
"Cowton, Gary",4,1,3,2,2,,-,,3,3,1,3,2,3,-,,,,,4,3,1,2,3,2,2,6,50.0
"Crosswell, Brent",3,1,4,3,1,1,7,-,4,5,4,4,2,5,6,2,1,,,,2,6,2,2,1,4,1,71.0
"Davis, Craig",,,,,,,,,,,,,,,,,,,,1,2,-,1,1,,,,5.0
"Dawson, Mark",,,,,1,5,4,2,7,1,3,3,3,,,,,,,,,,,,,,,29.0
"Dench, David",3,1,2,1,2,2,2,-,,-,4,1,,1,1,3,2,4,2,1,2,1,1,3,3,1,2,45.0
"Frazer, John",,,,2,,,1,1,1,5,2,,,,,,,,,-,,,,,,,,12.0
"Good, Kerry",,,,,,,,,,3,3,,,,1,2,,,,,,,,,,,,9.0
"Greig, Keith",2,2,4,-,5,3,,,,,,-,1,,,,,,,,,,,,,,,17.0
"Gumbleton, Frank",1,2,1,-,2,-,-,2,2,-,,,2,2,-,,,,,,,1,1,1,3,-,2,22.0
"Henshaw, Ross",1,-,-,2,1,1,,-,-,-,2,-,3,-,-,-,,3,-,1,,-,-,,2,-,-,16.0
"Icke, Stephen",1,1,2,2,1,1,,2,-,-,3,3,1,3,-,3,2,1,1,2,3,2,4,8,4,7,-,57.0
"Jarrott, Alan",,,,,,,,,,,,,,,,,2,2,2,3,4,1,2,-,,,,16.0
"Keenan, Peter",1,,,,,,,1,-,,,1,,,,,1,-,3,2,1,2,,-,1,2,2,17.0
"May, Tony",,,1,,,,,,,,,,,,-,,,,,,,,,,,,,1.0
"McCann, Stephen",,,,,,,,,,2,-,,,,,,,,,,,,,,-,-,2,4.0
"Melrose, Graeme",1,2,3,2,4,2,3,3,2,1,4,4,2,2,5,2,4,2,-,,,,,,,,,48.0
"Montgomery, Ken",1,1,1,-,,,,,,,,1,3,3,4,3,2,3,1,1,2,1,1,2,1,1,2,34.0
"Moore, Terry",,-,2,2,,2,3,3,5,4,5,2,1,2,5,3,,9,,,,,1,,,,,49.0
"Moylan, John",,,-,-,1,,-,-,1,1,1,,,,,,,,1,-,-,,,,,,,5.0
"Munari, Dennis",,,,,,,,,,,,,,-,,3,1,,,,,,,,,,,4.0
"Nettlefold, Bill",,,,,,,,,,,,3,,5,3,2,-,-,,-,,,,,-,2,2,17.0
"Nolan, Mick",1,8,5,4,4,1,1,,,,,,3,3,4,6,6,6,5,6,6,4,2,-,,,,75.0
"Ramsay, Roy",2,1,,,1,2,1,-,,,,,,,,3,1,1,,,,,,,,,,12.0
"Scanlon, Glen",,,,2,,,4,3,7,,,,,,,,,,,,,,,,,,,16.0
"Schimmelbusch, Wayne",3,2,2,2,2,2,1,3,4,4,4,3,8,5,,4,3,2,3,3,5,3,4,-,2,-,2,76.0
"Smith, Rob",,,,,,,,,,,,,,,,,,-,,,,,-,,,,,
"Sutton, Darryl",,,,,1,3,-,2,1,2,2,,4,,,,2,2,-,,,,,1,2,1,-,23.0
"Tanner, Xavier",1,2,2,1,3,-,,,,,,,-,2,1,2,2,5,2,-,3,-,1,1,1,1,2,32.0
"Williams, Mark",,,,,,,,,,,,,,,,5,,,,,,,,,,,,5.0
Totals,43,38,49,36,47,39,46,33,53,43,56,53,54,50,43,60,48,60,46,43,54,41,37,45,40,39,39,1235.0
Opponent,HW,CW,ME,FO,ES,RI,GE,CA,FI,SK,SM,HW,CW,FO,ME,ES,RI,GE,CA,FI,SK,SM,HW,RI,HW,CW,CW,
