Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,GF,Tot
"Alves, Stan",-,1,,,,,,,,,,,,,,,,,,,,3,5,2,2,13.0
"Baker, Phil",,1,-,2,3,1,,,,,2,1,2,,,,1,2,3,-,,,3,,1,22.0
"Blight, Malcolm",5,8,4,-,-,5,4,2,2,5,4,,3,2,3,6,4,4,1,2,1,1,2,4,1,73.0
"Boyse, Maurice",,,,,,,,,,,1,-,-,1,4,1,2,-,2,1,-,1,1,4,2,20.0
"Briedis, Arnold",4,5,2,2,6,3,6,-,,,-,,1,,3,,1,2,3,5,5,4,1,4,1,58.0
"Briedis, Robert",,,,,,,7,4,2,-,,1,,,1,6,,,,,,,,,,21.0
"Burnett, Brendan",,,,,2,1,4,1,-,2,,,,,,,,,,,,,,,,10.0
"Burns, John",4,3,3,,3,6,4,2,2,4,4,3,-,5,,5,6,3,-,1,5,,2,1,,66.0
"Byrne, John",4,1,9,4,2,,,,,,,,,,,,,,,,2,3,2,2,-,29.0
"Cassin, John",3,2,3,7,4,3,4,4,5,5,2,,,5,4,,,,,,3,,5,,1,60.0
"Cowton, Gary",2,1,1,4,2,1,1,-,3,5,,1,3,1,,,,,,4,4,5,4,1,1,44.0
"Crosswell, Brent",,,,,,,,,,,,3,5,-,3,-,1,2,3,-,,1,1,,,19.0
"Cumming, Daryl",,,,,,,,,,,,,,1,,,,,,,,,,,,1.0
"Davis, Craig",,,,,,,4,,1,3,,,,,,,,,-,,,1,,,,9.0
"Dawson, Mark",,,,,,,,,1,,,,,,,,,,-,1,2,,,4,,8.0
"Dench, David",2,1,1,,,,,,,,,,,,,,,,,,,,,,,4.0
"Easton, Stephen",,,,,,,,,,,,,,1,3,,2,-,,,2,,,,,8.0
"Glendinning, Ross",4,3,1,4,3,1,1,3,2,2,,2,2,-,2,3,2,4,4,2,5,1,2,5,-,58.0
"Good, Kerry",,,,,,,2,-,,,-,,,,,1,2,2,1,1,,1,,,,10.0
"Greig, Keith",3,3,1,3,2,4,1,-,3,-,2,3,2,2,1,3,-,4,1,1,2,,2,2,2,47.0
"Gumbleton, Frank",2,-,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Henshaw, Ross",1,1,3,2,,2,,,,3,1,2,2,1,3,1,2,2,2,4,,,,2,-,34.0
"Huppatz, Ray",,,,,,2,3,2,1,5,3,2,1,1,,,,,,,,5,,3,3,31.0
"Icke, Stephen",2,,,2,2,,,,,1,3,3,2,2,3,3,1,3,2,3,2,,3,,,37.0
"Jarrott, Alan",,2,2,3,2,5,-,-,-,2,1,1,-,,2,1,1,1,,,,,2,,,25.0
"Keenan, Peter",2,1,-,3,2,1,1,4,2,-,,,1,2,2,-,,,,,1,-,3,,,25.0
"Law, John",,,,,,,,,,,,,,1,1,,,,,,,,,,,2.0
"McCann, Stephen",2,3,4,3,2,2,,2,4,1,3,5,1,1,2,2,,3,1,,2,4,2,2,2,53.0
"Melrose, Graeme",2,1,1,3,,3,7,2,1,4,3,2,2,,-,2,2,3,3,3,5,2,1,2,2,56.0
"Montgomery, Ken",3,-,1,3,2,-,,-,1,,-,1,-,,,,,,,,,,,1,2,14.0
"Moylan, John",,,,-,,,,,,,1,,,,,1,-,,,,,2,,,,4.0
"Nettlefold, Bill",2,,,,-,-,3,3,-,,,2,,,4,2,6,4,6,2,2,,,-,,36.0
"Nolan, Mick",2,5,2,1,3,1,1,2,3,,3,3,,,,1,5,5,2,4,,3,,4,6,56.0
"Payne, Glenn",,,,,,,,,,,,,,-,,,,,,1,,,,,,1.0
"Podolczak, Roger",,,,,,,,,,,,-,,,,,,,,,,,,,,
"Ramsay, Roy",,,,,,,-,,,,,,,,,-,-,-,-,1,2,-,-,,,3.0
"Schimmelbusch, Daryl",,,-,8,2,,,,,,,,,,,,,,,,,,,,,10.0
"Schimmelbusch, Wayne",4,6,-,2,3,2,1,1,,5,1,3,3,1,-,1,1,1,2,2,3,1,1,2,3,49.0
"Smith, Doug",,,,,,,,,,4,-,,1,,,,,,,,2,4,,2,1,14.0
"Sutton, Darryl",,,-,4,,,,4,1,-,3,4,-,-,4,1,1,1,1,3,3,,-,2,3,35.0
"Tanner, Xavier",,,,,,,,,1,1,,,,4,2,,,,,,,5,,,3,16.0
"Williams, Mark",,,,,2,1,-,,,,,,,,,,,,,,,,,,,3.0
Totals,53,48,38,60,47,44,54,36,35,52,37,42,31,31,47,40,40,46,37,41,53,47,42,49,36,1086.0
Opponent,FO,RI,HW,SK,CW,GE,FI,ME,CA,ES,SM,FO,RI,SK,HW,CW,GE,FI,ME,CA,ES,SM,HW,CW,HW,
