Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Alves, Stan",2,-,1,-,,,2,,1,1,1,2,,,1,1,-,-,2,-,,,-,-,-,14.0
"Baker, Phil",,,1,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
"Blight, Malcolm",4,5,3,1,,3,3,-,-,1,-,,,,,,1,1,1,-,3,-,-,-,1,27.0
"Bond, Shane",,,2,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Boyse, Maurice",,,1,1,3,2,1,-,1,1,-,1,1,,,,,,,,5,,-,1,1,19.0
"Briedis, Arnold",3,-,,,,,,,,1,1,,3,-,-,-,-,,,,,,,,3,11.0
"Bryant, Kevin",-,-,-,-,,-,,,,,-,-,-,4,3,1,-,1,3,1,2,1,1,-,,17.0
"Byrne, John",2,-,1,-,1,,,-,,,,,,,,,,,,,,,,,,4.0
"Cassin, John",2,1,1,1,,1,,,,-,-,,,,,,,,-,-,1,1,-,1,1,10.0
"Cornes, Graham",4,-,,,,,,3,3,2,,,,,,,,,,,,,,,,12.0
"Crosswell, Brent",,,,,,,-,4,3,-,,-,2,1,1,,,,,,2,,,,4,17.0
"Dempsey, Gary",2,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,2,5,-,1,-,-,-,14.0
"Dench, David",-,-,-,-,-,-,-,-,,,,,,,,,,,,,1,3,1,-,-,5.0
"Easton, Stephen",,,-,-,1,,-,,1,-,2,-,-,,,,-,2,1,,,,1,-,-,8.0
"Ebert, Russell",-,-,2,1,2,-,-,-,-,-,-,1,-,1,2,-,-,-,3,2,-,-,2,1,-,17.0
"Glendinning, Ross",-,-,,,3,1,3,,-,1,3,2,1,-,1,2,4,1,3,2,2,2,-,-,,31.0
"Good, Kerry",,,,,,,,2,,,1,-,,,,,,-,3,3,,1,,-,,10.0
"Greig, Keith",-,-,,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,2.0
"Gumbleton, Frank",,,,,,,,,,,,,,,,,,,,-,,,,,,
"Henshaw, Ross",,,,,,,,-,-,,-,-,-,1,-,-,-,-,-,-,-,-,-,,,1.0
"Icke, Stephen",,,-,-,1,-,-,-,-,-,,,,-,-,1,-,-,-,1,-,-,-,-,-,3.0
"Jarrott, Alan",,,,,1,-,-,,,,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3.0
"Law, John",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0
"McCann, Stephen",2,-,-,1,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,7.0
"Melrose, Graeme",5,-,2,1,2,2,1,-,,,,2,2,2,-,3,1,1,-,4,2,1,1,1,1,34.0
"Montgomery, Ken",,,,,-,-,-,,,-,,,,,,,,,,,,,,,-,
"Murphy, John",,,,,,,,,,,,2,,,-,-,,,-,,-,,2,,,4.0
"Nettlefold, Bill",,,1,,-,1,-,-,-,,-,1,-,-,1,3,,2,,,,,,-,,9.0
"Nolan, Mick",,,,,,,,-,,,,,,-,,-,,,,1,-,-,,,,1.0
"Payne, Glenn",-,1,,,-,,,,2,-,1,,,,,,,,,,,,,,,4.0
"Podolczak, Roger",,,,,,,,,,,,3,1,-,-,-,1,-,,,,,,,,5.0
"Ramsay, Roy",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,
"Schimmelbusch, Daryl",,,,,,,,,2,,,,1,-,-,-,-,,,,,-,,,,3.0
"Schimmelbusch, Wayne",-,4,1,1,4,1,1,1,1,-,1,2,1,3,1,2,-,2,-,1,1,3,-,-,-,31.0
"Smith, Doug",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Sutton, Darryl",-,-,1,2,-,-,-,3,-,-,1,2,2,-,-,-,-,-,-,-,-,1,-,1,1,14.0
"Tanner, Xavier",,,,,,,,,-,1,-,,3,1,,,-,-,-,3,,1,-,-,2,11.0
Totals,26,11,17,9,23,12,11,13,16,8,12,18,19,13,11,13,8,10,18,23,19,15,8,5,14,352.0
Opponent,ES,FO,CW,GE,SM,RI,CA,FI,ME,HW,SK,ES,FO,GE,CW,SM,RI,CA,FI,ME,HW,SK,CW,CA,CW,
