Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,R23,R24,QF,PF,Tot
"Allison, Brett",-,-,-,-,,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,1,-,-,-,6.0
"Anderson, Stuart",,,,,-,-,-,,,,,,,,,,,,,,,,,,
"Archer, Glenn",-,-,-,,-,-,-,-,-,2,,,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Barnett, John",,,,,,,,,,,-,-,,,,,,-,-,,,,,,
"Blakey, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3.0
"Campbell, Warren",,,,,,-,-,-,-,-,-,-,-,,,,-,-,-,,,,,,
"Capuano, Mathew",,,,,,,,,,,,-,,,,,,,,-,-,,,,
"Carey, Wayne",3,3,3,-,2,-,-,,,-,-,,,,2,-,-,-,-,-,2,-,-,-,15.0
"Clarkson, Alastair",-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,,-,,,,,
"Crocker, Darren",,,,,,,,,,,2,-,-,-,-,-,-,-,-,-,-,2,-,-,4.0
"Daniltchenko, Jason",-,,,-,,,,,,,,,,,,,,,,,,,,,
"Fairley, Ian",,,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"German, Peter",,,,-,-,,,,,,,-,,,,,,,,-,-,-,,,
"Ishchenko, Alex",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,5.0
"John, Gareth",,,,,-,,,,,,,,,,,,,,,,,,,,
"King, David",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Laidley, Dani",-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4.0
"Longmire, John",,-,-,-,-,-,-,2,-,3,-,-,-,2,-,-,-,-,-,-,-,1,-,-,8.0
"Mann, Peter",-,-,-,,,-,,-,-,-,1,-,-,-,-,-,,,-,,,-,-,-,1.0
"Martyn, Mick",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"McAdam, Adrian",-,-,-,-,-,,-,-,-,-,-,-,,,-,-,,,,-,-,-,-,-,
"McCarthy, Adam",,,,,,,,-,-,-,-,-,-,-,,,,,,,,,,,
"McKernan, Corey",-,-,-,,,1,-,3,-,-,-,-,-,-,-,1,2,-,-,,-,-,-,-,7.0
"Nichols, Trent",-,-,-,-,-,-,-,-,-,1,-,,,,,,-,-,-,-,-,-,-,-,1.0
"Pyman, Robert",,,,,,,,,,,,,-,-,,,,,,,,,,,
"Roberts, Mark",-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,-,
"Rock, Anthony",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"Romero, Jose",-,-,-,-,-,,,-,-,,,,,-,-,-,-,,,-,-,-,-,,
"Schwass, Wayne",-,1,-,-,-,-,2,1,-,-,3,-,-,3,-,2,-,1,1,2,3,-,-,-,19.0
"Sholl, Brad",,,,,,,,,-,,,,,,,,,,,,,,,,
"Sholl, Craig",-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,9.0
"Smith, Ross",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stevens, Anthony",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
Totals,4,6,3,0,2,6,5,6,0,6,6,0,2,6,6,6,5,4,1,2,6,6,0,0,88.0
Opponent,SK,HW,FO,GE,WC,ME,FI,CW,BB,SY,AD,RI,CA,ES,SK,HW,FO,GE,WC,ME,FI,CW,HW,GE,
