Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Abraham, Winston",2,-,1,3,1,3,1,1,1,-,1,-,1,1,2,-,1,2,1,3,,,-,-,2,27.0
"Allison, Brett",,,,-,-,-,,,,,,,,,,,,-,1,1,-,-,2,1,2,7.0
"Anderson, Brady",-,1,,,,,,1,-,,,,,,,1,-,3,-,1,-,,,,,7.0
"Archer, Glenn",,,1,1,2,-,1,1,1,-,2,-,1,-,1,1,-,-,1,-,-,-,1,1,1,16.0
"Bell, Peter",1,-,1,-,3,1,-,5,1,-,4,1,2,1,1,4,1,1,1,1,1,-,-,1,1,32.0
"Blakey, John",3,2,-,-,-,-,1,-,2,-,-,1,1,-,1,1,2,1,1,2,-,2,-,1,1,22.0
"Capuano, Mathew",2,,,,-,-,1,-,1,1,-,,-,,,-,-,6,1,3,2,1,1,-,-,19.0
"Carey, Wayne",-,,,3,,,,1,1,1,2,2,1,2,-,1,1,-,2,1,1,2,1,4,2,28.0
"Clayton, Shane",-,2,-,-,1,2,-,1,-,-,2,1,2,1,2,2,-,3,1,1,-,1,3,3,1,29.0
"Cochrane, Stuart",,,1,-,,,,,,,,,,,,,,,,,,,,,,1.0
"Dhurrkay, Gary",-,4,1,-,-,3,-,,,,-,-,-,1,-,1,-,,,,,,,,,10.0
"Grant, Shannon",-,-,2,-,-,2,4,1,3,-,3,-,-,1,-,2,3,1,,4,-,2,3,-,2,33.0
"Harvey, Brent",-,-,-,-,2,2,-,3,2,2,-,2,-,1,2,-,-,,,1,-,1,-,1,-,19.0
"Hewitt, Evan",,1,,-,-,-,,,,,,,,,,,,,,,,,,,,1.0
"King, David",-,,,,,1,-,2,2,1,-,2,-,1,1,3,1,1,1,-,3,3,2,-,2,26.0
"Kingsley, Kent",,,,,,,,,,2,1,-,2,2,1,-,,,-,,,,,,,8.0
"Lange, Adam",,-,-,,,-,,,,,,,,,,,-,-,,,,,,,,
"Longmire, John",-,-,1,,,,,,,,,,,-,2,-,1,-,,,,,,1,-,5.0
"Martyn, Mick",1,2,2,3,1,-,1,1,-,2,2,-,,,-,,,2,-,-,2,3,-,-,-,22.0
"McCartney, Jason",1,1,2,3,1,-,2,-,-,-,1,1,2,-,2,-,-,1,3,-,1,-,2,3,,26.0
"McKernan, Corey",2,2,1,1,2,-,-,1,1,1,-,2,1,-,-,-,2,-,1,1,,-,3,3,1,25.0
"Mellington, Anthony",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Mooney, Cameron",,,,,,,1,,,,,-,-,-,-,,,,-,2,-,-,-,,-,3.0
"Motlop, Shannon",,,,,,,,,,-,,,,,,,,,,-,1,2,-,-,2,5.0
"Pickett, Byron",2,3,-,-,1,2,1,1,3,1,1,-,1,-,2,1,2,4,3,1,1,2,1,2,3,38.0
"Pike, Martin",-,1,1,-,-,1,-,2,2,1,1,1,,,,,,,,1,-,1,1,-,1,14.0
"Rawlings, Brady",,-,-,,-,-,-,-,-,-,,,-,-,,,1,2,2,,,,,,,5.0
"Roberts, Mark",,,,,,,,,,,-,,,,,,,,,,,,,,,
"Scott, Robert",5,1,-,1,3,1,-,,,,,-,2,-,-,1,2,-,-,,-,,,,,16.0
"Sholl, Craig",1,2,1,-,,,-,-,1,2,1,2,1,-,1,2,-,1,1,,-,2,-,2,1,21.0
"Simpson, Adam",1,2,2,-,2,2,2,1,1,4,1,1,1,-,-,2,2,-,3,-,2,1,3,2,2,37.0
"Stevens, Anthony",-,-,2,1,2,2,1,2,-,-,1,2,4,2,1,1,1,2,-,2,-,1,2,1,2,32.0
"Stevens, Danny",,,,,,,,-,-,,,,,,,,,,,,,1,,,,1.0
"Welsh, Scott",1,1,3,-,-,,-,-,2,-,1,1,1,1,1,-,,,-,-,1,3,-,-,1,17.0
Totals,22,25,22,16,21,22,16,24,24,18,24,19,23,14,20,23,20,30,23,25,15,28,25,26,27,552.0
Opponent,GE,ES,RI,SY,SK,CW,AD,HW,FR,PA,WC,ME,CA,BL,WB,GE,ES,RI,SY,SK,CW,AD,PA,BL,CA,
