Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R22,R23,R24,Tot
"Adams, Leigh",2,-,-,1,-,-,1,-,-,2,1,-,1,3,-,1,-,1,,1,2,-,16.0
"Anthony, Liam",1,1,-,-,1,-,,,-,2,3,-,1,-,-,,,,,,,,9.0
"Atley, Shaun",-,-,1,-,1,-,-,-,-,-,1,-,-,,-,,,,-,,,-,3.0
"Bastinac, Ryan",,,,,,,,,,,-,1,-,-,-,-,2,-,-,-,-,-,3.0
"Black, Aaron",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Campbell, Matt",,,,,,,,,,,,,,,-,3,-,-,5,-,-,-,8.0
"Cunnington, Ben",-,1,-,1,-,-,,-,-,-,-,-,1,-,,,,1,-,,,-,4.0
"Delaney, Luke",,,,,,,,-,-,-,-,-,-,,-,-,,,,,,,
"Edwards, Aaron",3,-,2,,,,6,3,2,1,5,-,2,-,-,2,2,1,-,3,2,2,36.0
"Firrito, Michael",-,-,-,-,1,-,-,-,-,,-,1,-,-,-,-,-,-,-,-,-,-,2.0
"Garlett, Cruize",-,-,-,-,,,-,-,,,,,,,,,,,-,2,-,,2.0
"Goldstein, Todd",,1,-,-,1,-,2,-,-,1,-,-,1,1,1,-,2,-,1,2,-,-,13.0
"Greenwood, Levi",,,,,,,,,-,-,-,-,2,-,-,-,-,-,-,1,-,,3.0
"Grima, Nathan",,-,-,-,-,-,-,,,,,-,-,-,,,,,,-,-,-,
"Hansen, Lachlan",1,2,1,1,2,,2,-,-,1,-,,,1,-,2,-,-,,-,-,,13.0
"Harper, Kieran",,,,,1,1,1,-,,1,,,-,,-,1,2,-,-,2,2,1,12.0
"Harvey, Brent",1,-,2,1,3,-,3,1,-,2,4,1,3,1,2,2,-,1,1,1,-,2,31.0
"Macmillan, Jamie",,,,,-,-,-,-,1,-,,,,,,-,-,,,,,1,2.0
"McIntosh, Hamish",,,,,,,,,,,,,,,,,,,,,,1,1.0
"McKinley, Ben",-,,,,,,,,,,,,,-,,,,,,,,,
"McMahon, Scott",-,-,-,-,-,-,-,-,-,-,1,-,,-,-,1,-,-,-,-,-,-,2.0
"Mullett, Aaron",,,,,,,,,,,,,,,,,,,,-,-,-,
"Pedersen, Cameron",-,,,,,-,,,,-,-,3,2,1,-,2,3,2,1,3,1,,18.0
"Petrie, Drew",,-,1,6,1,3,-,2,3,4,1,3,4,2,-,5,3,2,2,-,2,4,48.0
"Pratt, Daniel",,,,-,-,-,-,-,-,,,,,-,,,,,,,,-,
"Rawlings, Brady",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2.0
"Richardson, Cameron",-,-,-,-,,,,,,,,,-,,,,-,-,1,,,,1.0
"Speight, Ben",,,,,2,1,1,-,-,1,-,,,,,1,,,,,,,6.0
"Swallow, Andrew",-,-,2,2,1,-,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-,1,11.0
"Tarrant, Robbie",-,-,-,1,,,,,,,,,,,,,-,-,-,,,,1.0
"Thomas, Lindsay",4,2,-,-,1,1,-,2,-,-,2,4,1,-,-,,,,-,2,-,2,21.0
"Thompson, Scott",-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Urquhart, Gavin",,,,,,,,,,,,,,,,,,-,,,,,
"Warren, Ben",-,,,,,,,,,,,,,,,-,1,,,,,,1.0
"Wells, Daniel",1,-,2,1,-,1,3,-,1,-,-,1,1,-,-,-,2,-,1,2,1,,17.0
"Wright, Sam",-,-,1,-,3,2,-,,,,,3,,,,,,,,,,,9.0
"Ziebell, Jack",-,-,2,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,,6.0
Totals,13,7,14,14,18,9,19,8,9,18,18,17,21,10,3,21,17,9,13,21,10,15,304.0
Opponent,WC,CW,FR,RI,PA,GE,ME,BL,SY,AD,GC,ES,PA,SK,CW,WB,BL,CA,HW,FR,SK,RI,
