Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Anderson, Jed",,,,,,-,2,1,,,,-,,,,,,,,,,1,4.0
"Atley, Shaun",2,-,-,1,-,-,3,-,-,2,-,3,-,-,1,-,1,1,1,-,1,2,18.0
"Brown, Ben",-,2,-,-,-,-,1,1,-,-,-,-,3,1,-,1,-,2,-,-,1,-,12.0
"Clarke, Ryan",,,-,,,,1,-,-,1,1,-,-,-,,,-,-,-,-,-,2,5.0
"Cunnington, Ben",,1,-,-,1,-,1,-,-,-,-,-,2,,1,-,1,-,-,-,1,-,8.0
"Daw, Majak",,-,,,,,,,,,,,-,1,-,-,-,-,,,,,1.0
"Dumont, Trent",1,-,2,1,1,-,1,-,,-,-,-,1,,1,,-,1,-,2,-,-,11.0
"Durdin, Sam",,,-,,,,,1,,,,,,,,,-,-,-,-,-,1,2.0
"Garner, Taylor",,-,-,-,1,1,,,-,1,-,1,-,-,-,-,-,-,-,1,-,,5.0
"Gibson, Sam",-,1,-,1,-,-,-,1,1,-,1,-,1,1,-,2,1,1,-,-,1,-,12.0
"Goldstein, Todd",-,,-,-,-,1,-,-,1,-,1,1,1,1,1,-,,,-,-,-,-,7.0
"Hansen, Lachlan",-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,,,,-,1.0
"Hibberd, Mitchell",-,,,,,,,,,,,,,-,-,-,,,,,,,
"Higgins, Shaun",1,3,-,1,,1,-,-,1,1,-,-,3,1,-,1,1,1,1,1,2,-,19.0
"Hrovat, Nathan",-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4.0
"Larkey, Nick",,,,,,,,,,,,,,,,,-,,-,,,,
"Macmillan, Jamie",-,-,-,-,1,-,1,-,-,2,-,,-,-,,,,,,,,,4.0
"McDonald, Luke",-,-,1,-,1,-,1,-,1,-,1,-,-,3,-,-,-,-,1,-,-,1,10.0
"McKay, Ben",,,,,,,,,,,,,,,,,,,,,,-,
"Mountford, Declan",2,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,3.0
"Mullett, Aaron",,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Nielson, Dan",,,,,,,,,,,,,,,-,-,-,-,-,-,-,,
"Preuss, Braydon",-,1,-,-,,,,,,,,,,,,,,-,-,-,-,,1.0
"Simpkin, Jy",-,1,,-,-,-,,-,,,,,,,1,-,1,-,,-,-,-,3.0
"Swallow, Andrew",1,-,-,1,-,,,,-,,,,-,1,2,-,2,-,-,-,-,-,7.0
"Tarrant, Robbie",-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,,-,-,-,-,-,3.0
"Thomas, Lindsay",2,1,1,1,-,,,,,,,,,-,1,-,,,,,,1,7.0
"Thompson, Scott",-,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,2.0
"Turner, Kayne",-,-,-,-,1,-,-,-,1,3,1,-,,,,,,,,-,1,3,10.0
"Vickers-Willis, Ed",,,,,-,-,-,-,1,-,-,,,,,,,,,,,,1.0
"Wagner, Corey",,,,,,,-,,,,,,,1,-,-,,,,,,,1.0
"Waite, Jarrad",2,,,,,,1,,1,-,-,-,-,1,,,1,1,,,,,7.0
"Williams, Josh",,,,,,,,,,,,,,,,,-,,-,,,,
"Williams, Marley",-,1,-,-,-,-,-,-,-,-,1,1,-,,,,,,,,,,3.0
"Wood, Mason",,,,,-,-,1,-,1,-,1,-,-,-,,,,,,,,,3.0
"Ziebell, Jack",1,1,-,1,-,2,1,-,-,1,1,-,-,-,-,-,,-,1,,-,,9.0
"Zurhaar, Cameron",,,,,,,,,,,,,,,,-,1,,,2,1,,4.0
Totals,12,13,5,7,6,8,14,4,11,11,8,6,11,11,8,4,9,8,4,7,9,11,187.0
Opponent,WC,GE,GW,WB,FR,GC,AD,SY,ME,CA,RI,SK,WB,GC,FR,PA,ES,ME,CW,HW,SK,BL,
