Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,Tot
"Ahern, Paul",1,,8,4,,6,,,,,,,7,5,,,,31.0
"Anderson, Jed",7,7,8,8,7,,,9,13,11,7,13,14,13,13,14,18,162.0
"Atley, Shaun",9,17,6,12,9,10,7,13,16,10,10,14,16,12,8,6,17,192.0
"Bonar, Aiden",,,4,,,,9,,7,5,4,,,,,3,,32.0
"Brown, Ben",5,8,1,1,4,6,5,5,,-,,,,,,,,35.0
"Campbell, Tom",,,,,,3,,,,,,,,,,,,3.0
"Cunnington, Ben",10,7,,,3,,,,,,,,,,,,,20.0
"Davies-Uniacke, Luke",,,,,,,,4,11,,15,7,15,9,8,5,13,87.0
"Daw, Majak",,,,,,,,,4,10,4,,,2,,,,20.0
"Dumont, Trent",11,18,12,14,13,10,13,16,14,6,14,13,14,10,10,8,15,211.0
"Durdin, Sam",,,,,,,,,,,5,5,,,,,2,12.0
"Garner, Taylor",,,,,,,,,,,,,,,,7,4,11.0
"Goldstein, Todd",4,6,5,6,5,8,6,2,7,5,10,8,5,4,5,2,11,99.0
"Hall, Aaron",6,5,12,8,2,12,14,9,12,7,13,,,7,13,13,12,145.0
"Hayden, Kyron",,6,3,10,6,4,4,4,14,,,,,,,,,51.0
"Higgins, Shaun",16,15,9,19,12,8,25,10,15,16,18,21,19,11,15,13,18,260.0
"Hosie, Lachlan",,,,,,,,,,7,,5,9,2,1,,,24.0
"Larkey, Nick",5,,,,,,,2,2,,3,3,8,2,2,4,3,34.0
"Macmillan, Jamie",9,9,5,,6,3,8,11,11,7,12,,,,,,,81.0
"Mahony, Jack",,,,3,2,5,4,3,8,5,3,6,6,,,,,45.0
"McDonald, Luke",5,6,7,12,9,8,10,11,26,8,21,14,22,11,9,8,15,202.0
"McKay, Ben",,,,,,,4,6,14,9,9,3,5,1,6,2,5,64.0
"Murphy, Tom",4,,,,,,,,,,,8,6,7,,,7,32.0
"Perez, Flynn",,,,,,,,,,,,,,,6,2,12,20.0
"Pittard, Jasper",5,9,11,15,4,9,5,8,11,10,10,,,,,,,97.0
"Polec, Jared",17,14,8,16,7,11,16,11,,10,14,,,,7,9,20,160.0
"Scott, Bailey",,3,,,,4,5,5,10,9,5,4,9,6,10,4,6,80.0
"Simpkin, Jy",12,17,14,13,12,8,5,4,9,13,15,16,8,7,8,6,17,184.0
"Tarrant, Robbie",7,12,8,6,13,-,11,7,10,6,16,,12,7,8,8,6,137.0
"Taylor, Curtis",4,10,7,8,4,2,13,5,1,,,,,,,,,54.0
"Thomas, Tarryn",4,3,4,6,2,8,,,,,,,,,,,,27.0
"Vickers-Willis, Ed",,,,,,,,,,,,5,8,10,9,4,11,47.0
"Walker, Josh",-,4,5,10,5,2,6,5,13,3,7,8,10,3,5,4,5,95.0
"Walker, Will",,,,,,,,,,6,,11,,,,,,17.0
"Williams, Marley",,,,8,10,2,12,,,,,3,13,9,6,,,63.0
"Wood, Mason",,3,6,,,,7,,,,,6,3,6,7,7,,45.0
"Xerri, Tristan",,,,2,3,,,,,,,1,1,,,,,7.0
"Ziebell, Jack",2,9,8,3,,,-,,,,,,,,6,1,5,34.0
"Zurhaar, Cameron",1,4,4,2,8,8,,3,4,5,6,8,7,5,2,9,5,81.0
Totals,144,192,155,186,146,137,189,153,232,168,221,182,217,149,164,139,227,3001.0
Opponent,SK,GW,SY,HW,WB,ES,RI,CA,AD,GE,ME,BL,CW,GC,PA,FR,WC,
